Auto,Run #7
Time (s),Angular Velocity (rad/s)
0.05,0
0.1,0
0.15,0.058
0.2,0.116
0.25,0.116
0.3,0.058
0.35,0
0.4,-0.058
0.45,-0.116
0.5,-0.116
0.55,-0.058
0.6,0
0.65,0
0.7,0
0.75,0
0.8,0
0.85,0
0.9,0
0.95,0
1,0
1.05,0
1.1,0
1.15,0
1.2,0
1.25,0
1.3,0
1.35,0
1.4,0
1.45,0
1.5,0
1.55,0
1.6,0
1.65,0
1.7,0
1.75,0
1.8,0
1.85,0
1.9,0
1.95,0
2,0
2.05,0
2.1,0
2.15,0
2.2,0
2.25,0
2.3,0.058
2.35,0.465
2.4,1.164
2.45,1.745
2.5,1.978
2.55,1.978
2.6,1.978
2.65,1.92
2.7,1.804
2.75,1.745
2.8,1.745
2.85,1.745
2.9,1.745
2.95,1.687
3,1.629
3.05,1.571
3.1,1.513
3.15,1.513
3.2,1.454
3.25,1.396
3.3,1.338
3.35,1.338
3.4,1.338
3.45,1.222
3.5,1.164
3.55,1.164
3.6,1.164
3.65,1.047
3.7,0.931
3.75,0.931
3.8,0.931
3.85,0.873
3.9,0.814
3.95,0.814
4,0.814
4.05,0.698
4.1,0.582
4.15,0.582
4.2,0.582
4.25,0.524
4.3,0.407
4.35,0.349
4.4,0.349
4.45,0.349
4.5,0.291
4.55,0.233
4.6,0.175
4.65,0.116
4.7,0.116
4.75,0.116
4.8,0.116
4.85,0
4.9,-0.116
4.95,-0.116
5,-0.116
5.05,-0.116
5.1,-0.175
5.15,-0.175
5.2,-0.116
5.25,-0.058
5.3,-0.058
5.35,-0.116
5.4,-0.116
5.45,-0.058
5.5,0.058
5.55,0.116
5.6,0.116
5.65,0.116
5.7,0.116
5.75,0.116
5.8,0.058
5.85,0.058
5.9,0.116
5.95,0.116
6,0.058
6.05,0
6.1,-0.058
6.15,-0.116
6.2,-0.116
6.25,-0.058
6.3,-0.058
6.35,-0.116
6.4,-0.116
6.45,-0.058
6.5,0
6.55,0
6.6,0
6.65,0
6.7,0
6.75,0
6.8,0
6.85,0.058
6.9,0.116
6.95,0.116
7,0.058
7.05,0
7.1,0
7.15,0
7.2,0
7.25,0
7.3,0
7.35,0
7.4,0
7.45,-0.058
7.5,-0.116
7.55,-0.116
7.6,-0.058
7.65,0
7.7,0
7.75,0
7.8,0
7.85,0
7.9,0
7.95,0
8,0.058
8.05,0.116
8.1,0.116
8.15,0.058
8.2,0
8.25,0
8.3,0
8.35,0
8.4,0
8.45,0
8.5,0
8.55,0
8.6,0
8.65,-0.058
8.7,-0.116
8.75,-0.116
8.8,-0.058
8.85,0
8.9,0
8.95,0
9,0
9.05,0
9.1,0
9.15,0.058
9.2,0.116
9.25,0.116
9.3,0.058
9.35,0
9.4,0
9.45,0
9.5,0
9.55,0
9.6,0
9.65,0
9.7,0
9.75,0
9.8,-0.058
9.85,-0.116
9.9,-0.116
9.95,-0.058
10,0
10.05,0
10.1,0
10.15,0
10.2,0
10.25,0.058
10.3,0.116
10.35,0.116
10.4,0.058
10.45,0
10.5,0
10.55,0
10.6,0
10.65,0
10.7,0
10.75,0
10.8,0
10.85,0
10.9,0
10.95,-0.058
11,-0.116
11.05,-0.116
11.1,-0.058
11.15,0
11.2,0
11.25,0
11.3,0
11.35,0.058
11.4,0.116
11.45,0.116
11.5,0.058
11.55,0
11.6,0
11.65,0
11.7,0
11.75,0
11.8,0
11.85,0
11.9,0
11.95,0
12,0
12.05,0
12.1,-0.058
12.15,-0.116
12.2,-0.116
12.25,-0.058
12.3,0
12.35,0
12.4,0
12.45,0.058
12.5,0.116
12.55,0.116
12.6,0.058
12.65,0
