Time, Acceleration(m/s²), Acceleration(m/s²), Acceleration(m/s²)
.00, .182, -.172, 10.097
.10, .163, -.201, 10.107
.20, .158, -.177, 10.093
.30, .206, -.177, 10.073
.40, .158, -.163, 10.078
.50, .196, -.187, 10.102
.60, .153, -.211, 10.131
.70, .163, -.211, 10.16
.80, .163, -.249, 10.184
.90, .158, -.235, 10.203
1.00, .172, -.254, 10.164
1.10, .139, -.206, 10.131
1.20, .177, -.177, 10.102
1.30, .148, -.192, 10.097
1.40, .187, -.158, 10.054
1.50, .144, -.187, 10.093
1.60, .158, -.177, 10.117
1.70, .182, -.187, 10.117
1.80, .148, -.196, 10.141
1.90, .182, -.211, 10.141
2.00, .144, -.201, 10.112
2.10, .177, -.177, 10.078
2.20, .168, -.163, 10.064
2.30, .168, -.144, 10.035
2.40, .182, -.172, 10.073
2.50, .144, -.206, 10.169
2.60, .177, -.263, 10.236
2.70, .134, -.263, 10.246
2.80, .153, -.24, 10.232
2.90, .158, -.244, 10.179
3.00, .177, -.206, 10.155
3.10, .163, -.187, 10.121
3.20, .163, -.163, 10.045
3.30, .182, -.134, 10.016
3.40, .163, -.134, 10.059
3.50, .187, -.182, 10.088
3.60, .158, -.211, 10.121
3.70, .168, -.196, 10.15
3.80, .148, -.23, 10.16
3.90, .163, -.225, 10.141
4.00, .177, -.211, 10.145
4.10, .163, -.196, 10.131
4.20, .163, -.182, 10.102
4.30, .158, -.192, 10.097
4.40, 9.609, -6.428, 18.255
4.50, -1.562, -3.707, 10.069
4.60, -1.284, -2.548, 9.029
4.70, -.498, -2.544, 11.113
4.80, -.953, -1.221, 9.767
4.90, -.958, -.877, 10.078
5.00, -1.193, -.584, 10.299
5.10, -.556, -.311, 9.882
5.20, .426, -.311, 9.92
5.30, .953, -.402, 10.241
5.40, .565, -.364, 10.045
5.50, -.206, -.335, 9.992
5.60, -.067, -.417, 10.217
5.70, .704, -.335, 10.112
5.80, .695, -.331, 10.021
5.90, .01, -.398, 10.198
6.00, -.053, -.378, 10.141
6.10, .484, -.331, 10.059
6.20, .599, -.374, 10.16
6.30, .206, -.359, 10.141
6.40, .029, -.354, 10.083
6.50, .321, -.359, 10.15
6.60, .556, -.345, 10.131
6.70, .302, -.35, 10.078
6.80, .364, -.326, 10.04
6.90, .613, -.326, 10.016
7.00, .91, -.364, 10.093
7.10, -.508, -.407, 10.136
7.20, -.307, -.393, 10.15
7.30, .513, -.345, 10.126
7.40, .469, -.383, 10.16
7.50, .489, -.321, 10.078
7.60, .249, -.359, 10.083
7.70, .134, -.35, 10.136
7.80, .345, -.369, 10.145
7.90, .503, -.34, 10.102
8.00, .259, -.364, 10.141
8.10, .172, -.383, 10.136
8.20, .378, -.326, 10.126
8.30, .422, -.345, 10.112
8.40, .292, -.35, 10.126
8.50, .22, -.369, 10.169
8.60, .321, -.369, 10.126
8.70, .398, -.311, 10.083
8.80, .287, -.359, 10.112
8.90, .23, -.354, 10.131
9.00, .354, -.35, 10.097
9.10, .364, -.35, 10.131
9.20, .307, -.369, 10.145
9.30, .278, -.345, 10.097
9.40, .302, -.345, 10.102
9.50, .383, -.354, 10.107
9.60, .297, -.345, 10.126
9.70, .297, -.364, 10.141
9.80, .302, -.364, 10.16
9.90, .364, -.335, 10.107
10.00, .321, -.369, 10.102
10.10, .278, -.345, 10.136
10.20, .345, -.364, 10.126
10.30, .335, -.345, 10.107
10.40, .307, -.345, 10.117
10.50, .311, -.359, 10.102
10.60, .359, -.331, 10.088
10.70, .316, -.378, 10.155
10.80, .326, -.331, 10.097
10.90, .316, -.35, 10.093
11.00, .311, -.359, 10.15
11.10, .345, -.35, 10.107
11.20, .359, -.326, 10.054
11.30, .331, -.34, 10.112
11.40, .311, -.364, 10.141
11.50, .316, -.35, 10.097
11.60, .335, -.35, 10.117
11.70, 1.662, -.235, 9.944
11.80, .714, -.436, 10.198
11.90, .632, -.532, 10.188
12.00, 1.135, -.513, 9.939
12.10, .287, -.742, 10.457
12.20, .426, -.867, 10.667
12.30, .627, -.901, 10.447
12.40, .752, -.833, 10.332
12.50, .283, -.786, 10.126
12.60, .551, -.843, 10.188
12.70, .623, -.958, 10.188
12.80, .584, -1.068, 10.102
12.90, .393, -1.217, 10.059
13.00, .719, -1.293, 10.083
13.10, .92, -1.686, 10.188
13.20, .704, -2.141, 10.136
13.30, .019, -2.505, 10.102
13.40, .733, -2.749, 10.121
13.50, .704, -2.989, 10.083
13.60, .714, -3.157, 9.958
13.70, 1.03, -3.693, 10.164
13.80, .766, -3.842, 9.681
13.90, .896, -4.392, 10.054
14.00, 1.13, -4.986, 10.088
14.10, 1.063, -5.58, 10.121
14.20, 1.054, -6.04, 10.064
14.30, .618, -6.524, 10.04
14.40, .671, -6.443, 10.097
14.50, .905, -7.051, 9.958
14.60, .948, -7.904, 9.997
14.70, 1.241, -8.699, 10.05
14.80, .632, -9.039, 9.82
14.90, .738, -8.876, 10.064
15.00, -.014, -8.162, 10.121
15.10, -.081, -7.228, 10.112
15.20, -.048, -6.462, 10.03
15.30, -.536, -5.427, 10.069
15.40, -.407, -4.354, 10.093
15.50, -.69, -3.243, 10.021
15.60, -.92, -2.242, 10.112
15.70, -.781, -1.38, 10.117
15.80, -.594, -.79, 10.179
15.90, -.536, -.46, 10.255
16.00, -.982, -.345, 10.26
16.10, .374, -.34, 10.198
16.20, 1.274, -.249, 10.112
16.30, .877, -.244, 10.05
16.40, -.22, -.23, 10.016
16.50, -.187, -.283, 10.045
16.60, .733, -.168, 10.093
16.70, .929, -.297, 10.145
16.80, .206, -.254, 10.193
16.90, -.101, -.321, 10.188
17.00, .474, -.259, 10.164
17.10, .795, -.225, 10.131
17.20, .378, -.263, 10.102
17.30, .029, -.23, 10.083
17.40, .307, -.24, 10.054
