;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2007-01-07, 20:44:11.766
;Temperature, -999.00, deg C,  Vbat, 4144, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
0.395324,335,314,-13328
0.410949,233,314,-13138
0.426574,160,310,-13108
0.442199,298,287,-13308
0.457824,264,308,-13192
0.473449,158,337,-13076
0.489074,287,333,-13269
0.520324,312,333,-13253
0.535949,182,328,-13094
0.551574,258,308,-13222
0.567199,317,307,-13263
0.582824,196,319,-13099
0.598449,217,321,-13172
0.614074,291,324,-13281
0.629699,223,328,-13163
0.645324,214,321,-13147
0.660949,271,299,-13224
0.676574,248,278,-13208
0.692199,257,283,-13201
0.707824,271,298,-13170
0.723449,219,305,-13170
0.739074,239,307,-13249
0.754699,246,305,-13190
0.770324,189,305,-13122
0.785949,246,298,-13235
0.801574,303,307,-13245
0.817199,249,330,-13122
0.832824,262,341,-13170
0.848449,307,333,-13258
0.864074,244,326,-13174
0.879699,216,324,-13167
0.895324,255,314,-13231
0.910949,207,305,-13163
0.926574,160,296,-13156
0.942199,217,296,-13213
0.957824,255,317,-13161
0.973449,257,321,-13174
0.989074,324,316,-13245
1.004699,335,324,-13167
1.020324,260,314,-13136
1.035949,287,317,-13253
1.051574,280,333,-13204
1.067199,148,333,-13086
1.082824,169,316,-13211
1.098449,257,308,-13265
1.114074,187,303,-13092
1.129699,205,292,-13138
1.145324,330,324,-13317
1.160949,303,328,-13183
1.176574,241,305,-13076
1.192199,278,330,-13258
1.207824,257,333,-13251
1.223449,151,314,-13094
1.239074,185,301,-13204
1.254699,282,294,-13308
1.270324,248,307,-13144
1.285949,226,299,-13113
1.301574,305,285,-13270
1.317199,312,299,-13217
1.332824,214,330,-13090
1.348449,196,333,-13213
1.364074,253,323,-13320
1.379699,196,341,-13136
1.395324,144,335,-13101
1.410949,266,291,-13326
1.426574,321,280,-13238
1.442199,221,287,-13045
1.457824,312,266,-13254
1.473449,442,262,-13329
1.489074,274,273,-13061
1.504699,223,273,-13160
1.520324,355,294,-13349
1.535949,210,333,-13083
1.551574,103,351,-13067
1.567199,274,342,-13361
1.582824,228,335,-13183
1.598449,76,323,-13003
1.614074,235,305,-13295
1.629699,307,299,-13272
1.645324,142,305,-13011
1.660949,226,316,-13238
1.676574,376,291,-13374
1.692199,248,267,-13076
1.707824,223,296,-13122
1.723449,391,305,-13385
1.739074,285,342,-13169
1.754699,119,373,-13045
1.770324,244,341,-13315
1.785949,258,319,-13233
1.801574,149,316,-13036
1.817199,246,305,-13254
1.832824,316,294,-13308
1.848449,201,303,-13072
1.864074,235,294,-13156
1.879699,376,285,-13322
1.895324,289,308,-13158
1.910949,210,319,-13101
1.926574,312,316,-13283
1.942199,289,317,-13244
1.957824,162,332,-13083
1.973449,192,326,-13201
1.989074,262,299,-13269
2.004699,192,298,-13099
2.020324,189,296,-13163
2.035949,301,287,-13315
2.051574,298,307,-13176
2.067199,251,335,-13111
2.082824,323,342,-13254
2.098449,298,342,-13215
2.114074,189,341,-13110
2.129699,224,328,-13217
2.145324,249,319,-13242
2.160949,196,285,-13119
2.176574,246,273,-13185
2.192199,323,294,-13267
2.207824,280,298,-13156
2.223449,255,296,-13144
2.239074,330,301,-13253
2.254699,312,310,-13215
2.270324,230,337,-13149
2.285949,242,337,-13208
2.301574,221,310,-13186
2.317199,176,321,-13153
2.332824,242,330,-13236
2.348449,253,292,-13199
2.364074,217,276,-13144
2.379699,282,305,-13235
2.395324,299,303,-13222
2.410949,253,303,-13133
2.426574,248,324,-13179
2.442199,260,312,-13258
2.457824,246,305,-13203
2.473449,214,316,-13140
2.489074,242,317,-13203
2.504699,280,307,-13213
2.520324,241,305,-13156
2.535949,255,273,-13203
2.551574,312,257,-13228
2.567199,266,301,-13147
2.582824,248,310,-13174
2.598449,307,312,-13233
2.614074,257,360,-13140
2.629699,191,358,-13153
2.645324,257,314,-13272
2.660949,255,319,-13154
2.676574,171,308,-13094
2.692199,262,278,-13301
2.707824,310,289,-13224
2.723449,176,299,-13028
2.739074,280,294,-13270
2.754699,398,308,-13328
2.770324,169,333,-13004
2.785949,180,321,-13188
2.801574,396,312,-13431
2.817199,205,339,-13036
2.832824,80,337,-13017
2.848449,330,310,-13451
2.864074,264,301,-13186
2.879699,42,299,-12910
2.895324,276,282,-13374
2.910949,410,278,-13369
2.926574,146,303,-12903
2.942199,233,316,-13206
2.957824,462,316,-13474
2.973449,201,324,-13001
2.989074,101,326,-13038
3.004699,374,310,-13479
3.020324,276,312,-13158
3.035949,69,314,-12924
