Auto,Run #5
Time (s),Angular Velocity (rad/s)
0.05,0
0.1,0
0.15,0
0.2,0
0.25,0
0.3,0
0.35,0
0.4,0
0.45,0
0.5,0
0.55,0
0.6,0
0.65,0
0.7,0
0.75,0
0.8,0
0.85,0
0.9,0
0.95,0
1,0
1.05,0
1.1,0
1.15,0
1.2,0
1.25,0
1.3,0
1.35,0
1.4,0
1.45,0
1.5,0
1.55,0
1.6,0
1.65,0
1.7,0
1.75,0
1.8,0
1.85,0
1.9,0
1.95,0
2,0
2.05,0
2.1,0
2.15,0
2.2,0
2.25,0
2.3,0
2.35,0
2.4,0
2.45,0
2.5,0
2.55,0
2.6,0
2.65,0
2.7,0
2.75,0
2.8,0
2.85,0
2.9,0
2.95,0
3,0
3.05,0
3.1,0
3.15,0
3.2,0
3.25,0
3.3,0
3.35,0
3.4,0
3.45,0
3.5,0
3.55,0
3.6,0
3.65,0
3.7,0
3.75,0
3.8,0
3.85,0
3.9,0
3.95,0
4,0
4.05,0
4.1,0
4.15,0
4.2,0
4.25,0
4.3,0
4.35,0
4.4,0
4.45,0
4.5,0
4.55,0
4.6,0
4.65,0
4.7,0
4.75,0
4.8,0
4.85,0
4.9,0
4.95,0
5,0
5.05,0
5.1,0
5.15,0
5.2,0
5.25,0
5.3,0
5.35,0
5.4,0
5.45,0
5.5,0
5.55,0
5.6,0
5.65,0
5.7,0
5.75,0
5.8,0
5.85,0
5.9,0
5.95,0
6,0
6.05,0
6.1,0
6.15,0
6.2,0
6.25,0
6.3,0
6.35,0
6.4,0
6.45,0
6.5,0
6.55,0.756
6.6,2.618
6.65,4.654
6.7,5.76
6.75,5.585
6.8,5.061
6.85,4.596
6.9,4.131
6.95,3.665
7,3.142
7.05,2.618
7.1,2.094
7.15,1.629
7.2,1.164
7.25,0.698
7.3,0.233
7.35,-0.175
7.4,-0.465
7.45,-0.524
7.5,-0.349
7.55,0
7.6,0.291
7.65,0.349
7.7,0.233
7.75,0
7.8,-0.175
7.85,-0.233
7.9,-0.175
7.95,-0.058
8,0.058
8.05,0.175
8.1,0.233
8.15,0.175
8.2,0
8.25,-0.175
8.3,-0.233
8.35,-0.175
8.4,0
8.45,0.116
8.5,0.175
8.55,0.116
8.6,0
8.65,-0.058
8.7,-0.116
8.75,-0.116
8.8,-0.058
8.85,0.058
8.9,0.116
8.95,0.058
9,0.058
9.05,0.175
9.1,0.291
9.15,0.407
9.2,0.524
9.25,0.64
9.3,0.582
9.35,0.349
9.4,0.058
9.45,-0.175
9.5,-0.233
9.55,-0.233
9.6,-0.175
9.65,-0.116
9.7,-4.44E-15
9.75,0.116
9.8,0.116
9.85,0.058
9.9,0
9.95,-0.058
10,-0.116
10.05,-0.116
10.1,-4.44E-15
10.15,0.116
10.2,0.116
10.25,0.058
10.3,0
10.35,0
10.4,-0.058
10.45,-0.116
10.5,-0.058
10.55,0.058
10.6,0.116
10.65,0.058
10.7,0
10.75,0
10.8,0
10.85,0
10.9,0
10.95,0
11,0
11.05,0
11.1,0
11.15,0
11.2,0
11.25,0
11.3,0
11.35,0
11.4,0
11.45,0
11.5,0
11.55,0
11.6,0
11.65,0
11.7,0
11.75,0
11.8,0
11.85,0
11.9,0
11.95,0
12,0
12.05,0
12.1,0
12.15,0
12.2,0
12.25,0
12.3,0
12.35,0
12.4,0
12.45,0
12.5,0
12.55,0
12.6,0
12.65,0
12.7,0
12.75,0
12.8,0
12.85,0
12.9,0
12.95,0
13,0
13.05,0
13.1,0
13.15,0
13.2,0
13.25,0
13.3,0
13.35,0
13.4,0
13.45,0
13.5,0
13.55,0
13.6,0
13.65,0
13.7,0
