;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2007-01-05, 21:37:14.746
;Temperature, -999.00, deg C,  Vbat, 4154, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
0.427032,614,-117,-13254
0.442657,524,-340,-13044
0.458282,466,-606,-12965
0.473907,539,-791,-13145
0.489532,707,-652,-13281
0.505157,840,-375,-13217
0.520782,857,-92,-13153
0.552032,728,-59,-13195
0.567657,614,-274,-13003
0.583282,541,-459,-13042
0.598907,524,-604,-13329
0.614532,623,-477,-13211
0.630157,685,-213,-13211
0.645782,687,-104,-13235
0.661407,705,-52,-12924
0.677032,698,-240,-13028
0.692657,733,-536,-13288
0.708282,794,-570,-13254
0.723907,774,-427,-13294
0.739532,701,-172,-13224
0.755157,607,46,-12981
0.770782,541,14,-12936
0.786407,576,-140,-13111
0.802032,669,-356,-13278
0.817657,757,-497,-13308
0.833282,812,-388,-13313
0.848907,764,-174,-13174
0.864532,671,5,-12903
0.880157,673,0,-12944
0.895782,694,-150,-13154
0.911407,703,-279,-13240
0.927032,719,-363,-13370
0.942657,680,-272,-13360
0.958282,610,-43,-13060
0.973907,548,74,-12913
0.989532,562,0,-12981
1.005157,687,-102,-13061
1.020782,826,-181,-13290
1.036407,882,-293,-13453
1.052032,808,-238,-13299
1.067657,678,-31,-13099
1.083282,551,62,-12951
1.098907,466,64,-12881
1.114532,524,-8,-13081
1.130157,685,-159,-13340
1.145782,785,-197,-13411
1.161407,773,-145,-13344
1.177032,685,-88,-13135
1.192657,608,42,-12928
1.208282,610,108,-12929
1.223907,673,39,-13065
1.239532,737,-49,-13265
1.255157,764,-125,-13413
1.270782,715,-154,-13347
1.286407,596,-68,-13133
1.302032,476,89,-12945
1.317657,460,166,-12942
1.333282,567,99,-13049
1.348907,701,42,-13201
1.364532,821,-18,-13410
1.380157,830,-97,-13356
1.395782,708,-31,-13136
1.411407,583,53,-13083
