;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2007-01-05, 20:16:12.761
;Temperature, -999.00, deg C,  Vbat, 4126, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
0.382599,-125,-181,-13310
0.398224,-199,-159,-13204
0.413849,-315,-183,-13086
0.429474,-299,-213,-12988
0.445099,-184,-233,-13028
0.460724,-129,-218,-13233
0.476349,-24,-167,-13342
0.507599,-61,-138,-13378
0.523224,-190,-140,-13179
0.538849,-211,-165,-12904
0.554474,-297,-186,-13040
0.570099,-254,-175,-13183
0.585724,-84,-170,-13203
0.601349,-92,-174,-13347
0.616974,-97,-233,-13215
0.632599,-97,-225,-13020
0.648224,-217,-181,-13186
0.663849,-322,-311,-13169
0.679474,-95,62,-13042
0.695099,-167,-295,-13313
0.710724,-1782,-608,-13001
0.726349,-4978,2240,-13042
0.741974,-7394,4567,-14088
0.757599,-6448,3979,-13788
0.773224,-2864,2349,-12828
0.788849,-343,1037,-11501
0.804474,83,689,-11533
0.820099,1187,74,-13122
0.835724,2742,-84,-13092
0.851349,2528,630,-14567
0.866974,1169,751,-16281
0.882599,474,814,-14268
0.898224,-292,917,-12081
0.913849,-799,251,-11188
0.929474,-197,-156,-10515
0.945099,355,57,-11401
0.960724,1205,269,-13842
0.976349,1692,787,-15490
0.991974,1212,1348,-15458
1.007599,1708,753,-14877
1.023224,212,1069,-11271
1.038849,-2738,2597,-8219
1.054474,1803,239,-10726
1.070099,6870,-2716,-11313
1.085724,3028,-2066,-9392
1.101349,1560,-718,-10180
1.116974,4388,-86,-12931
1.132599,3644,-1549,-15790
1.148224,2264,-1884,-15059
1.163849,2308,-186,-11821
1.179474,2278,191,-12203
1.195099,1073,-359,-13488
1.210724,280,-1038,-11124
1.226349,1119,-1225,-9949
1.241974,1510,-1506,-12356
1.257599,1660,-1336,-13469
1.273224,2071,-356,-13438
1.288849,1771,-18,-15420
1.304474,1253,-304,-15163
1.320099,1290,-297,-12331
1.335724,844,-561,-12474
1.351349,178,-1158,-12763
1.366974,433,-891,-11324
1.382599,603,-479,-12770
1.398224,441,-408,-14474
1.413849,598,128,-13686
1.429474,530,330,-13851
1.445099,71,-67,-13892
1.460724,-4,-220,-12365
1.476349,416,-509,-11876
1.491974,301,-720,-12595
1.507599,41,-345,-13013
1.523224,348,-67,-13353
1.538849,442,-43,-14015
1.554474,453,-81,-13861
1.570099,649,-197,-13003
1.585724,532,-425,-12888
1.601349,303,-570,-12779
1.616974,233,-340,-12588
1.632599,144,-129,-13224
1.648224,253,-97,-13554
1.663849,499,-106,-13345
1.679474,499,-252,-13404
1.695099,394,-342,-13306
1.710724,276,-342,-13019
1.726349,199,-377,-12845
1.741974,264,-413,-12874
1.757599,419,-431,-13051
1.773224,549,-338,-13169
1.788849,512,-147,-13511
1.804474,346,-42,-13694
1.820099,282,-22,-13224
1.835724,233,-152,-12970
1.851349,203,-442,-12870
1.866974,342,-493,-12662
1.882599,380,-392,-13128
1.898224,385,-290,-13549
1.913849,483,-134,-13445
1.929474,460,-183,-13426
1.945099,430,-317,-13108
1.960724,407,-334,-12790
1.976349,260,-342,-12970
1.991974,248,-254,-13040
2.007599,349,-118,-13201
2.023224,414,-183,-13476
2.038849,541,-270,-13319
2.054474,524,-318,-13219
2.070099,401,-399,-13145
2.085724,353,-383,-12928
2.101349,346,-395,-12960
2.116974,451,-390,-13054
2.132599,519,-293,-13228
2.148224,516,-202,-13388
2.163849,521,-109,-13381
2.179474,423,-142,-13383
2.195099,374,-279,-13051
2.210724,426,-368,-12765
2.226349,407,-495,-13044
2.241974,482,-500,-13069
2.257599,555,-292,-13174
2.273224,469,-258,-13631
2.288849,530,-284,-13308
2.304474,549,-236,-12967
2.320099,403,-350,-13142
2.335724,410,-367,-12920
2.351349,416,-256,-12965
2.366974,417,-270,-13386
2.382599,546,-274,-13315
2.398224,583,-283,-13194
2.413849,544,-393,-13244
2.429474,501,-420,-13113
2.445099,410,-379,-12967
2.460724,385,-368,-12999
2.476349,424,-325,-13185
2.491974,482,-274,-13220
2.507599,523,-193,-13229
2.523224,467,-183,-13445
2.538849,446,-245,-13233
2.554474,442,-267,-12913
2.570099,392,-392,-13097
2.585724,444,-472,-13051
2.601349,503,-367,-13001
2.616974,448,-317,-13395
2.632599,435,-267,-13381
2.648224,451,-181,-13135
2.663849,394,-261,-13199
2.679474,374,-336,-13069
2.695099,382,-297,-12944
2.710724,374,-274,-13153
2.726349,416,-243,-13286
2.741974,471,-247,-13270
2.757599,464,-299,-13217
2.773224,424,-334,-13185
2.788849,373,-358,-13115
2.804474,321,-329,-12990
2.820099,296,-281,-13122
2.835724,324,-270,-13219
2.851349,410,-208,-13136
2.866974,410,-184,-13326
2.882599,378,-222,-13311
2.898224,392,-211,-13079
2.913849,357,-311,-13145
2.929474,371,-392,-13049
2.945099,412,-347,-12969
2.960724,360,-349,-13256
2.976349,360,-274,-13283
2.991974,380,-177,-13181
3.007599,335,-224,-13274
3.023224,349,-274,-13160
3.038849,366,-308,-12986
3.054474,342,-313,-13047
3.070099,366,-268,-13204
3.085724,396,-268,-13258
3.101349,423,-236,-13201
3.116974,407,-229,-13274
3.132599,358,-295,-13188
3.148224,367,-268,-12972
3.163849,333,-283,-13147
3.179474,337,-329,-13190
3.195099,441,-272,-13028
3.210724,458,-286,-13263
3.226349,457,-324,-13328
3.241974,474,-268,-13099
3.257599,396,-270,-13172
3.273224,373,-318,-13158
3.288849,407,-313,-13020
3.304474,382,-308,-13151
3.320099,419,-272,-13228
3.335724,442,-218,-13247
3.351349,432,-242,-13256
3.366974,476,-288,-13129
3.382599,462,-352,-13115
3.398224,464,-406,-13061
3.413849,514,-350,-13042
3.429474,482,-309,-13265
3.445099,471,-286,-13244
3.460724,464,-242,-13181
3.476349,410,-275,-13276
3.491974,410,-286,-13094
3.507599,405,-277,-13067
3.523224,412,-354,-13240
3.538849,512,-367,-13113
3.554474,551,-315,-13097
3.570099,549,-331,-13247
3.585724,562,-363,-13283
3.601349,482,-377,-13199
3.616974,410,-340,-13010
3.632599,364,-293,-13095
3.648224,351,-309,-13163
3.663849,432,-238,-13040
3.679474,433,-209,-13324
3.695099,466,-268,-13351
3.710724,535,-243,-13079
3.726349,467,-336,-13217
3.741974,471,-427,-13072
3.757599,483,-349,-12970
3.773224,417,-374,-13267
3.788849,460,-345,-13163
3.804474,439,-233,-13181
3.820099,369,-267,-13324
3.835724,392,-231,-13081
3.851349,357,-202,-13106
3.866974,346,-281,-13161
3.882599,417,-284,-13038
3.898224,466,-313,-13181
3.913849,519,-354,-13233
3.929474,510,-322,-13195
3.945099,428,-317,-13242
3.960724,382,-302,-13129
3.976349,337,-272,-13108
3.991974,310,-277,-13151
4.007599,339,-238,-13081
4.023224,367,-206,-13247
4.038849,401,-250,-13333
4.054474,442,-254,-13117
4.070099,423,-274,-13160
4.085724,389,-361,-13188
4.101349,408,-358,-12986
4.116974,396,-325,-13117
4.132599,369,-324,-13265
4.148224,396,-254,-13149
4.163849,373,-238,-13231
4.179474,326,-265,-13253
4.195099,333,-218,-13067
4.210724,335,-234,-13104
4.226349,376,-300,-13160
4.241974,448,-308,-13119
4.257599,473,-324,-13190
4.273224,492,-336,-13247
4.288849,458,-317,-13233
4.304474,399,-281,-13142
4.320099,366,-261,-13136
4.335724,319,-290,-13178
4.351349,357,-270,-13053
4.366974,398,-242,-13160
4.382599,387,-288,-13297
4.398224,466,-277,-13111
4.413849,467,-288,-13181
4.429474,428,-349,-13226
4.445099,485,-318,-13010
4.460724,439,-327,-13151
4.476349,408,-343,-13211
4.491974,458,-263,-13104
4.507599,408,-256,-13272
4.523224,408,-267,-13192
4.538849,410,-258,-13126
4.554474,364,-317,-13215
4.570099,439,-299,-13036
4.585724,458,-311,-13153
4.601349,469,-388,-13245
4.616974,544,-333,-13079
4.632599,467,-309,-13224
4.648224,424,-325,-13206
4.663849,469,-281,-13083
4.679474,417,-288,-13176
4.695099,396,-275,-13136
4.710724,412,-270,-13170
4.726349,441,-299,-13197
4.741974,491,-284,-13174
4.757599,457,-331,-13265
4.773224,483,-354,-13088
4.788849,512,-331,-13094
4.804474,432,-386,-13269
4.820099,466,-336,-13029
4.835724,457,-256,-13156
4.851349,378,-290,-13370
4.866974,424,-245,-13079
4.882599,407,-236,-13144
4.898224,394,-311,-13263
4.913849,464,-317,-13070
4.929474,444,-340,-13129
4.945099,444,-342,-13192
4.960724,483,-309,-13165
4.976349,462,-317,-13206
4.991974,441,-279,-13169
5.007599,398,-245,-13172
5.023224,369,-267,-13142
5.038849,399,-263,-13095
5.054474,385,-270,-13219
5.070099,380,-284,-13192
5.085724,405,-267,-13147
5.101349,407,-309,-13256
5.116974,437,-340,-13133
5.132599,439,-313,-13079
5.148224,408,-327,-13206
5.163849,432,-292,-13131
5.179474,416,-231,-13145
5.195099,373,-247,-13258
5.210724,373,-236,-13169
