Auto,Run #2
Time (s),Angular Velocity (rad/s)
0.05,0
0.1,0
0.15,0
0.2,0
0.25,0
0.3,0
0.35,0
0.4,0
0.45,0
0.5,0
0.55,0
0.6,0
0.65,0
0.7,0
0.75,0
0.8,0
0.85,0
0.9,0
0.95,0
1,0
1.05,0
1.1,0
1.15,0
1.2,0
1.25,0
1.3,0
1.35,0
1.4,0
1.45,0
1.5,0
1.55,0
1.6,0
1.65,0
1.7,0
1.75,0
1.8,0
1.85,0
1.9,0
1.95,0
2,0
2.05,0
2.1,-0.058
2.15,-0.116
2.2,-0.116
2.25,0
2.3,0.116
2.35,0.116
2.4,0.291
2.45,0.931
2.5,1.804
2.55,2.443
2.6,2.618
2.65,2.56
2.7,2.502
2.75,2.385
2.8,2.094
2.85,1.571
2.9,0.989
2.95,0.524
3,0.175
3.05,-0.175
3.1,-0.349
3.15,-0.349
3.2,-0.233
3.25,-0.116
3.3,-0.058
3.35,0
3.4,0
3.45,0
3.5,0
3.55,0
3.6,0
3.65,0
3.7,0
3.75,0.058
3.8,0.116
3.85,0.116
3.9,0.058
3.95,0
4,0
4.05,0
4.1,0
4.15,0
4.2,0
4.25,0
4.3,0
4.35,-0.058
4.4,-0.116
4.45,-0.116
4.5,-0.058
4.55,0
4.6,0
4.65,0
4.7,0
4.75,0
4.8,0
4.85,0
4.9,0
4.95,0.058
5,0.116
5.05,0.116
5.1,0.058
5.15,0
5.2,0
5.25,0
5.3,0
5.35,0
5.4,0
5.45,0
5.5,-0.058
5.55,-0.116
5.6,-0.116
5.65,-0.058
5.7,0
5.75,0
5.8,0
5.85,0
5.9,0
5.95,0
6,0
6.05,0
6.1,0.058
6.15,0.116
6.2,0.116
6.25,0.058
6.3,0
6.35,0
6.4,0
6.45,0
6.5,0
6.55,0
6.6,0
6.65,-0.058
6.7,-0.116
6.75,-0.116
6.8,-0.058
6.85,0
6.9,0
6.95,0
7,0
7.05,0
7.1,0
7.15,0
7.2,0
7.25,0
7.3,0.058
7.35,0.116
7.4,0.116
7.45,0.058
7.5,0
7.55,0
7.6,0
7.65,0
7.7,0
7.75,0
7.8,-0.058
7.85,-0.116
7.9,-0.116
7.95,-0.058
8,0
8.05,0
8.1,0
8.15,0
8.2,0
8.25,0
8.3,0
8.35,0
8.4,0.058
8.45,0.116
8.5,0.116
8.55,0.058
8.6,0
8.65,0
8.7,0
8.75,0
8.8,0
8.85,0
8.9,0
8.95,-0.058
9,-0.116
9.05,-0.116
9.1,-0.058
9.15,0
9.2,0
9.25,0
9.3,0
9.35,0
9.4,0.058
9.45,0.116
9.5,0.116
9.55,0.116
9.6,0.116
9.65,0.175
9.7,0.233
9.75,0.349
9.8,0.465
9.85,0.524
9.9,0.524
9.95,0.524
10,0.64
10.05,0.756
10.1,0.873
10.15,0.873
10.2,0.873
10.25,0.931
10.3,1.047
10.35,1.164
10.4,1.222
10.45,1.28
10.5,1.338
10.55,1.396
10.6,1.454
10.65,1.513
10.7,1.571
10.75,1.629
10.8,1.687
10.85,1.745
10.9,1.804
10.95,1.92
11,1.978
11.05,1.978
11.1,1.978
11.15,2.094
11.2,2.211
11.25,2.269
11.3,2.269
11.35,2.269
11.4,2.327
11.45,2.385
11.5,2.443
11.55,2.502
11.6,2.56
11.65,2.618
11.7,2.618
11.75,2.618
11.8,2.676
11.85,2.734
11.9,2.793
11.95,2.851
12,2.909
12.05,2.909
12.1,2.909
12.15,2.967
12.2,3.083
12.25,3.142
12.3,3.142
12.35,3.142
12.4,3.2
12.45,3.258
12.5,3.316
12.55,3.374
12.6,3.432
12.65,3.491
12.7,3.491
12.75,3.549
12.8,3.607
