time,x,y,z
0.005,0.006,-0.003,1.001
0.006,0.008,-0.006,1.000
0.006,0.007,-0.011,1.000
0.008,0.006,-0.014,0.999
0.012,0.004,-0.016,0.996
0.013,0.001,-0.018,0.993
0.015,0.001,-0.022,0.996
0.017,0.001,-0.022,0.997
0.020,-0.002,-0.023,0.996
0.023,-0.004,-0.024,0.998
0.024,-0.005,-0.023,0.998
0.027,-0.005,-0.021,0.996
0.029,-0.008,-0.019,1.001
0.032,-0.007,-0.015,1.003
0.034,-0.007,-0.012,1.003
0.036,-0.005,-0.009,1.002
0.039,-0.004,-0.004,1.005
0.041,-0.003,-0.001,1.005
0.044,0.000,0.001,1.005
0.046,0.001,0.002,1.006
0.048,0.003,0.000,1.004
0.051,0.004,0.003,1.004
0.053,0.006,0.001,1.003
0.056,0.006,-0.001,1.001
0.058,0.007,-0.006,1.000
0.062,0.006,-0.009,0.998
0.063,0.005,-0.011,0.996
0.066,0.005,-0.015,0.995
0.068,0.005,-0.016,0.995
0.070,0.002,-0.021,0.996
0.072,-0.000,-0.023,0.997
0.075,-0.000,-0.024,0.996
0.078,-0.002,-0.023,0.997
0.080,-0.005,-0.023,0.998
0.082,-0.005,-0.022,0.998
0.085,-0.007,-0.021,1.000
0.087,-0.007,-0.018,1.001
0.089,-0.007,-0.013,1.001
0.092,-0.006,-0.011,1.003
0.094,-0.007,-0.007,1.001
0.096,-0.004,-0.004,1.004
0.100,-0.002,-0.002,1.005
0.102,0.000,0.000,1.005
0.104,0.001,0.001,1.005
0.106,0.003,0.001,1.004
0.109,0.004,-0.000,1.003
0.111,0.006,0.000,1.001
0.113,0.006,-0.002,1.000
0.116,0.007,-0.007,0.997
0.118,0.007,-0.007,1.000
0.120,0.006,-0.010,0.998
0.123,0.006,-0.012,0.998
0.125,0.010,-0.004,0.995
0.128,0.029,0.041,0.998
0.130,0.054,0.114,0.999
0.135,0.080,0.180,0.998
0.135,0.090,0.207,1.000
0.138,0.094,0.216,1.005
0.141,0.095,0.231,1.001
0.145,0.088,0.224,1.006
0.145,0.080,0.214,1.006
0.147,0.067,0.198,1.000
0.149,0.053,0.165,0.985
0.153,0.046,0.168,1.014
0.154,0.042,0.140,1.016
0.157,0.036,0.128,0.990
0.159,0.030,0.117,1.021
0.161,0.027,0.109,1.006
0.164,0.026,0.102,0.980
0.167,0.019,0.089,0.988
0.169,0.005,0.060,0.995
0.171,-0.001,0.050,0.997
0.173,0.009,0.061,0.980
0.176,0.011,0.053,0.984
0.178,0.003,0.051,0.972
0.181,0.005,0.035,1.019
0.183,0.008,0.039,0.963
0.186,-0.004,0.023,0.984
0.188,0.005,0.012,1.008
0.190,0.025,0.034,0.995
0.193,0.025,0.026,0.987
0.195,0.016,0.013,0.997
0.197,0.018,0.008,1.013
0.201,0.015,-0.004,1.048
0.202,0.025,0.007,1.055
0.205,0.039,0.026,1.022
0.207,0.041,0.019,1.025
0.209,0.043,0.011,0.990
0.212,0.028,-0.005,1.002
0.214,0.022,0.000,0.957
0.217,0.009,-0.012,1.031
0.219,0.029,0.021,1.000
0.221,0.045,0.036,1.013
0.224,0.046,0.026,1.025
0.227,0.051,0.017,0.992
0.229,0.051,0.016,1.001
0.231,0.045,0.026,0.997
0.236,0.037,0.018,0.989
0.236,0.038,0.025,1.000
0.238,0.037,0.026,0.991
0.241,0.041,0.036,1.033
0.243,0.054,0.057,0.960
0.246,0.042,0.042,1.024
0.248,0.044,0.047,0.983
0.250,0.056,0.067,1.009
0.253,0.092,0.109,1.001
0.255,0.116,0.128,1.022
0.258,0.126,0.135,0.985
0.260,0.121,0.134,1.004
0.262,0.118,0.142,1.001
0.265,0.117,0.154,1.022
0.268,0.111,0.156,0.984
0.270,0.096,0.137,1.049
0.272,0.096,0.136,0.962
0.274,0.071,0.123,1.061
0.276,0.064,0.122,0.977
0.279,0.060,0.109,1.058
0.282,0.068,0.111,1.006
0.284,0.059,0.098,1.002
0.286,0.057,0.097,1.064
0.289,0.075,0.117,0.952
0.291,0.066,0.106,1.047
0.294,0.089,0.133,1.010
0.296,0.075,0.114,0.973
0.298,0.062,0.094,0.994
0.301,0.061,0.095,0.982
0.303,0.044,0.079,1.011
0.305,0.058,0.088,0.930
0.308,0.060,0.089,0.937
0.310,0.049,0.073,0.995
0.313,0.048,0.069,0.966
0.315,0.047,0.070,1.004
0.317,0.042,0.062,1.032
0.321,0.056,0.082,0.983
0.322,0.056,0.072,1.010
0.325,0.057,0.072,0.995
0.327,0.052,0.070,1.020
0.329,0.063,0.079,1.018
0.332,0.065,0.067,1.014
0.335,0.056,0.047,1.019
0.337,0.051,0.029,0.989
0.339,0.063,0.035,1.011
0.341,0.066,0.031,0.972
