time,x,y,z
0.007,-0.005,0.010,1.003
0.008,-0.002,0.013,1.003
0.008,0.002,0.011,1.005
0.008,0.005,0.013,1.005
0.010,0.007,0.011,1.005
0.013,0.007,0.010,1.006
0.015,0.008,0.011,1.004
0.017,0.006,0.006,1.003
0.020,0.007,0.004,1.004
0.023,0.008,0.001,1.001
0.025,0.009,-0.002,1.000
0.027,0.007,-0.003,0.999
0.030,0.006,-0.001,0.998
0.033,0.005,0.001,0.999
0.034,0.004,0.003,0.999
0.037,0.000,0.005,0.996
0.039,0.001,0.008,0.995
0.041,-0.001,0.006,0.996
0.044,-0.002,0.013,0.996
0.046,-0.004,0.013,0.995
0.049,-0.009,0.014,0.998
0.051,-0.009,0.016,0.998
0.053,-0.011,0.017,0.999
0.056,-0.014,0.021,1.004
0.058,-0.013,0.030,1.004
0.061,-0.011,0.041,1.001
0.063,-0.013,0.052,1.000
0.066,-0.016,0.072,0.988
0.072,-0.025,0.106,0.982
0.072,-0.035,0.138,1.030
0.073,-0.037,0.140,1.029
0.075,-0.033,0.115,1.003
0.078,-0.028,0.093,1.004
0.080,-0.016,0.078,1.001
0.082,-0.003,0.068,1.005
0.085,0.022,0.084,0.998
0.087,0.014,0.086,0.997
0.090,0.002,0.069,1.000
0.092,-0.004,0.054,0.987
0.095,-0.018,0.049,1.015
0.097,-0.021,0.050,0.998
0.100,-0.017,0.043,0.989
0.102,-0.009,0.049,0.996
0.104,-0.004,0.059,1.000
0.106,-0.003,0.054,0.988
0.109,-0.008,0.047,1.009
0.111,-0.007,0.051,0.998
0.114,-0.004,0.045,0.999
0.116,0.004,0.046,1.006
0.118,0.009,0.051,0.997
0.121,0.007,0.051,1.001
0.128,0.005,0.064,0.995
0.128,0.006,0.068,1.035
0.128,0.009,0.065,1.010
0.131,0.008,0.076,0.983
0.133,0.006,0.081,0.985
0.136,0.006,0.079,1.040
0.138,0.017,0.081,0.971
0.140,0.014,0.083,1.029
0.142,0.013,0.082,1.004
0.145,0.014,0.083,0.964
0.148,0.007,0.077,1.018
0.150,0.012,0.086,1.007
0.152,0.011,0.103,1.005
0.155,0.007,0.114,0.974
0.157,0.010,0.115,1.004
0.160,0.016,0.120,0.982
0.162,0.015,0.129,1.033
0.164,0.025,0.134,1.007
0.167,0.023,0.131,0.975
0.169,0.021,0.126,0.995
0.172,0.018,0.132,1.007
0.174,0.014,0.128,1.017
0.178,0.014,0.134,0.980
0.179,0.015,0.129,1.039
0.181,0.016,0.114,0.977
0.184,0.007,0.111,0.979
0.186,-0.006,0.121,1.065
0.190,0.005,0.111,1.031
0.191,0.011,0.108,0.914
0.193,-0.007,0.111,1.054
0.196,0.006,0.097,1.001
0.198,-0.005,0.106,0.994
0.201,-0.001,0.086,1.037
0.203,0.009,0.084,0.935
0.205,-0.003,0.104,1.039
0.208,-0.002,0.090,0.990
0.210,-0.002,0.075,1.019
0.213,0.000,0.079,0.928
0.215,-0.009,0.058,1.095
0.217,0.003,0.061,0.930
0.220,-0.018,0.059,1.012
0.229,-0.007,0.066,1.027
0.230,-0.006,0.063,1.000
0.230,-0.008,0.052,0.999
0.230,-0.009,0.070,0.989
0.232,-0.003,0.068,1.034
0.235,0.004,0.074,0.997
0.238,-0.003,0.057,1.053
0.239,0.007,0.067,0.931
0.241,0.011,0.023,1.019
0.244,0.005,0.015,1.025
0.247,0.012,-0.003,0.987
0.249,0.012,-0.025,0.981
0.251,-0.001,-0.026,1.022
0.253,0.005,-0.036,0.995
0.257,0.004,-0.036,0.994
0.258,-0.006,-0.050,1.061
0.261,0.012,-0.050,0.912
0.263,-0.014,-0.050,1.009
0.265,-0.011,-0.029,1.026
0.268,-0.010,-0.015,0.971
0.270,-0.013,0.000,0.967
0.273,-0.031,0.023,1.030
0.276,-0.026,0.062,0.976
0.278,-0.022,0.076,0.987
0.280,-0.026,0.113,0.983
0.282,-0.021,0.143,1.000
0.285,-0.020,0.136,1.015
0.287,-0.019,0.133,1.031
0.291,-0.005,0.151,0.977
0.292,-0.016,0.160,1.033
0.294,-0.008,0.143,1.033
0.297,-0.008,0.167,0.979
0.299,-0.014,0.179,1.007
0.302,-0.002,0.186,1.023
0.304,0.011,0.162,1.032
0.306,0.025,0.157,1.044
0.309,0.036,0.130,0.987
0.311,0.035,0.118,0.976
0.314,0.034,0.089,1.012
0.316,0.020,0.084,0.924
0.319,-0.007,0.053,1.040
0.321,0.014,0.052,0.982
0.330,0.020,0.040,0.985
0.330,0.021,0.041,0.995
0.330,0.014,0.030,0.998
0.331,0.013,0.017,1.027
0.334,0.015,0.023,0.974
0.336,-0.001,0.024,0.967
0.338,-0.011,0.035,1.040
0.340,-0.005,0.018,0.993
0.343,-0.000,0.022,0.974
0.345,-0.013,0.025,1.044
0.348,-0.005,0.038,0.984
0.350,-0.003,0.030,1.014
0.352,-0.004,0.027,1.022
0.354,-0.012,0.043,0.951
0.358,-0.011,0.028,1.060
0.360,-0.006,0.035,0.957
0.364,-0.010,0.043,0.998
0.364,-0.012,0.045,1.022
0.367,-0.007,0.040,1.013
0.369,-0.012,0.055,1.018
0.372,-0.011,0.056,1.022
0.374,-0.008,0.057,0.998
0.376,-0.001,0.058,0.996
0.380,0.004,0.072,0.882
0.381,-0.024,0.055,1.082
0.383,-0.014,0.085,0.980
0.386,-0.001,0.056,1.070
0.388,-0.002,0.069,0.990
0.391,0.003,0.053,0.947
0.393,-0.001,0.038,1.053
0.396,0.010,0.059,0.933
0.398,-0.009,0.033,1.082
0.400,0.002,0.060,0.946
0.403,-0.009,0.029,1.076
0.405,0.005,0.033,0.965
0.408,0.004,0.013,1.025
0.410,0.016,0.030,0.909
0.416,-0.012,0.041,1.036
0.416,-0.001,0.046,1.048
0.417,0.005,0.066,0.933
0.420,-0.005,0.068,1.075
0.423,0.018,0.067,0.973
0.425,0.002,0.074,0.963
0.427,0.008,0.070,1.086
0.430,0.021,0.084,0.964
0.432,0.016,0.077,0.942
0.434,0.002,0.086,1.052
0.437,0.020,0.100,0.960
0.439,0.006,0.078,1.123
0.441,0.027,0.100,0.857
0.444,0.012,0.085,1.091
0.448,0.013,0.095,0.999
0.449,0.016,0.088,0.969
