time,x,y,z
0.020,-0.001,-0.006,1.001
0.020,-0.001,-0.007,1.003
0.020,-0.000,-0.006,1.001
0.020,-0.002,-0.006,0.999
0.020,0.001,-0.007,1.000
0.020,0.001,-0.005,1.001
0.020,-0.001,-0.007,1.000
0.020,-0.000,-0.007,1.002
0.021,0.000,-0.003,1.001
0.026,0.001,-0.006,1.001
0.026,0.000,-0.005,1.002
0.027,-0.001,-0.005,0.999
0.029,-0.001,-0.003,0.999
0.034,-0.002,-0.001,1.001
0.034,-0.002,0.000,1.000
0.037,-0.004,0.001,1.002
0.039,-0.003,0.000,0.999
0.041,-0.002,-0.002,0.999
0.044,-0.001,-0.002,1.001
0.046,0.000,-0.003,1.002
0.048,0.001,0.000,1.001
0.051,0.000,-0.004,1.001
0.053,0.002,-0.005,1.003
0.056,-0.002,-0.004,0.999
0.058,-0.002,-0.006,1.001
0.060,0.000,-0.005,1.002
0.063,0.001,-0.006,1.003
0.066,-0.001,-0.002,1.003
0.068,-0.004,0.003,1.000
0.070,-0.006,0.005,0.998
0.072,-0.008,0.011,1.003
0.076,-0.011,0.017,1.000
0.078,-0.011,0.025,1.000
0.080,-0.014,0.028,1.001
0.082,-0.016,0.033,0.999
0.084,-0.016,0.042,1.000
0.088,-0.019,0.045,1.001
0.089,-0.018,0.047,1.000
0.092,-0.014,0.053,1.000
0.094,-0.012,0.052,1.001
0.096,-0.011,0.053,0.999
0.100,-0.011,0.047,1.004
0.101,-0.013,0.054,1.007
0.104,-0.012,0.055,0.999
0.106,-0.014,0.070,1.009
0.108,-0.017,0.076,0.993
0.111,-0.040,0.069,0.995
0.113,-0.054,0.075,1.021
0.116,-0.041,0.074,0.983
0.118,-0.040,0.069,1.001
0.120,-0.039,0.068,1.014
0.123,-0.047,0.079,0.998
0.125,-0.061,0.081,1.003
0.128,-0.058,0.093,0.994
0.130,-0.069,0.083,0.972
0.133,-0.107,0.077,1.046
0.135,-0.099,0.080,0.997
0.137,-0.083,0.082,0.989
0.140,-0.075,0.061,1.015
0.142,-0.066,0.050,0.986
0.145,-0.069,0.044,1.003
0.147,-0.062,0.047,0.992
0.149,-0.059,0.044,0.993
0.152,-0.056,0.030,1.027
0.154,-0.066,0.030,0.992
0.157,-0.070,0.023,0.992
0.159,-0.065,0.026,1.009
0.162,-0.062,0.027,1.015
0.164,-0.086,0.025,0.994
0.167,-0.091,0.019,0.976
0.169,-0.082,0.026,1.008
0.171,-0.064,0.027,1.018
0.174,-0.065,0.032,1.013
0.176,-0.071,0.030,0.969
0.178,-0.067,0.025,0.988
0.181,-0.075,0.022,1.047
0.183,-0.096,0.021,0.991
0.185,-0.104,0.022,0.977
0.189,-0.090,0.019,1.029
0.190,-0.101,0.018,0.958
0.193,-0.085,0.022,0.983
0.195,-0.090,0.015,1.063
0.197,-0.093,0.014,0.977
0.201,-0.106,0.022,0.991
0.203,-0.097,0.025,0.995
0.205,-0.078,0.016,1.017
0.207,-0.084,0.012,0.991
0.210,-0.101,0.008,1.033
0.212,-0.081,0.016,0.945
0.215,-0.081,0.011,0.999
0.217,-0.081,0.003,1.047
0.219,-0.079,0.000,0.974
0.223,-0.072,-0.000,1.015
0.224,-0.072,-0.006,0.960
0.227,-0.066,-0.011,1.063
0.229,-0.082,-0.005,0.980
0.231,-0.073,-0.002,0.955
0.234,-0.065,-0.016,1.036
0.236,-0.079,-0.019,0.978
0.240,-0.073,-0.020,1.012
0.241,-0.076,-0.017,1.020
0.243,-0.105,-0.017,0.990
0.246,-0.096,-0.025,0.964
0.248,-0.070,-0.023,1.016
0.251,-0.088,-0.027,1.028
0.253,-0.092,-0.007,0.969
0.262,-0.124,-0.014,1.022
0.262,-0.143,-0.010,1.023
0.262,-0.148,-0.016,0.954
0.263,-0.140,-0.008,1.028
0.265,-0.112,-0.002,0.989
0.268,-0.132,-0.007,1.002
0.271,-0.124,-0.019,0.990
0.273,-0.111,-0.011,0.988
0.275,-0.085,-0.014,1.024
0.277,-0.091,-0.017,0.993
0.280,-0.083,-0.013,0.989
0.282,-0.088,-0.017,1.034
0.284,-0.081,-0.010,0.998
0.289,-0.091,-0.014,0.961
0.290,-0.064,-0.010,1.013
0.292,-0.089,-0.008,1.042
0.294,-0.071,-0.008,0.917
0.296,-0.024,-0.002,1.049
0.299,-0.035,-0.000,1.021
0.302,-0.063,0.001,0.927
0.304,-0.031,0.003,1.059
0.306,-0.052,0.006,0.988
0.308,-0.042,-0.004,1.010
0.311,-0.052,-0.008,0.984
0.313,-0.022,0.002,0.955
0.316,-0.038,0.001,1.073
0.318,-0.056,-0.001,0.974
0.320,-0.039,-0.002,0.980
0.323,-0.025,-0.012,1.006
0.325,-0.035,-0.007,1.044
0.328,-0.036,-0.007,0.991
0.330,-0.023,-0.005,0.964
0.332,-0.035,-0.014,1.007
0.335,-0.054,-0.015,1.027
0.337,-0.034,-0.014,0.951
0.340,-0.022,-0.015,1.013
