time,x,y,z
0.006,-0.003,-0.023,0.997
0.006,-0.005,-0.024,0.997
0.007,-0.007,-0.021,0.996
0.008,-0.006,-0.022,0.997
0.010,-0.006,-0.019,1.000
0.013,-0.006,-0.015,0.998
0.015,-0.005,-0.010,1.002
0.018,-0.002,-0.008,1.006
0.020,0.000,-0.007,1.010
0.023,0.002,-0.003,1.012
0.025,0.005,-0.001,1.012
0.027,0.006,-0.002,1.011
0.030,0.007,-0.000,1.006
0.032,0.007,-0.000,1.004
0.035,0.011,-0.000,1.004
0.037,0.010,-0.003,1.003
0.041,0.011,-0.006,1.002
0.042,0.011,-0.011,1.003
0.045,0.011,-0.014,1.006
0.047,0.009,-0.019,1.006
0.049,0.009,-0.019,1.006
0.051,0.008,-0.023,1.006
0.054,0.003,-0.023,1.004
0.057,0.002,-0.023,1.004
0.059,-0.001,-0.025,1.004
0.061,-0.002,-0.024,1.002
0.063,-0.003,-0.023,1.001
0.066,-0.005,-0.022,1.000
0.068,-0.007,-0.015,0.996
0.071,-0.006,-0.013,0.997
0.073,-0.004,-0.011,1.000
0.075,-0.005,-0.007,1.002
0.079,-0.001,-0.005,1.007
0.081,0.000,-0.001,1.007
0.083,0.002,0.001,1.004
0.085,0.003,0.001,1.000
0.087,0.005,-0.001,1.000
0.090,0.006,0.001,1.003
0.092,0.008,0.000,1.005
0.095,0.010,-0.003,1.004
0.097,0.009,-0.005,0.996
0.099,0.003,-0.004,0.975
0.103,0.001,-0.014,0.984
0.104,0.013,-0.015,1.018
0.107,0.010,-0.023,1.020
0.109,0.008,-0.018,1.010
0.112,-0.001,-0.021,0.987
0.114,-0.003,-0.021,0.988
0.116,-0.004,-0.023,0.990
0.119,-0.005,-0.023,1.001
0.121,-0.005,-0.023,1.005
0.124,-0.005,-0.018,1.004
0.126,-0.007,-0.010,0.999
0.128,-0.006,-0.010,0.999
0.131,-0.004,-0.009,1.003
0.133,-0.003,-0.004,1.006
0.136,-0.002,0.001,1.009
0.138,0.001,0.006,1.003
0.140,0.002,0.010,1.002
0.144,0.000,0.026,1.006
0.146,-0.001,0.085,1.012
0.148,-0.004,0.153,1.015
0.150,-0.000,0.196,1.006
0.154,0.007,0.217,1.007
0.155,0.013,0.223,1.008
0.157,0.014,0.224,1.010
0.160,0.014,0.223,1.011
0.163,0.010,0.206,1.002
0.164,0.008,0.193,0.948
0.167,-0.001,0.181,1.025
0.170,0.001,0.167,0.997
0.172,0.003,0.152,0.990
0.175,-0.004,0.137,1.008
0.176,-0.002,0.141,0.991
0.179,-0.006,0.128,1.015
0.181,-0.006,0.116,1.015
0.184,-0.001,0.103,0.986
0.186,-0.009,0.098,1.009
0.188,-0.013,0.096,1.006
0.191,-0.005,0.092,1.009
0.193,-0.006,0.076,1.004
0.196,0.000,0.072,0.991
0.198,-0.000,0.070,1.008
0.208,-0.003,0.074,1.016
0.208,0.000,0.075,1.020
0.209,0.005,0.077,0.971
0.209,-0.003,0.092,1.010
0.210,-0.006,0.110,1.023
0.213,0.001,0.108,0.973
0.216,-0.007,0.109,1.041
0.217,-0.007,0.120,0.984
0.220,-0.013,0.120,0.983
0.222,-0.018,0.114,1.027
0.225,-0.011,0.114,0.972
0.227,-0.025,0.105,1.007
0.229,-0.020,0.089,1.038
0.232,-0.013,0.086,0.920
0.236,-0.023,0.067,1.055
0.237,-0.011,0.071,1.007
0.241,-0.006,0.070,0.974
0.242,-0.011,0.074,1.029
0.244,-0.007,0.060,1.002
0.247,-0.012,0.030,0.968
0.249,-0.019,0.021,1.046
0.251,-0.006,0.007,1.020
0.253,-0.001,0.001,0.971
0.256,-0.004,0.017,0.996
0.259,0.002,-0.001,1.053
0.261,0.013,0.003,0.940
0.263,0.004,-0.002,1.023
0.266,0.014,0.031,1.016
0.269,0.030,0.060,0.961
0.270,0.028,0.052,1.048
0.273,0.037,0.073,0.997
0.275,0.044,0.079,0.995
0.277,0.053,0.117,1.017
0.280,0.054,0.164,0.936
0.282,0.033,0.146,1.084
0.285,0.028,0.153,0.959
0.287,0.005,0.164,1.011
0.290,0.009,0.209,1.029
0.292,0.002,0.223,0.914
0.294,-0.024,0.195,1.076
0.297,-0.026,0.214,0.994
0.299,-0.024,0.193,1.036
0.303,-0.026,0.197,0.957
0.304,-0.040,0.167,1.020
0.306,-0.033,0.155,1.016
0.309,-0.037,0.131,0.975
0.311,-0.029,0.128,1.016
0.314,-0.025,0.109,1.029
0.316,-0.014,0.100,0.953
0.319,-0.012,0.093,1.047
0.321,-0.001,0.068,0.996
0.323,-0.007,0.064,1.008
0.326,0.013,0.045,0.956
0.328,0.002,0.048,1.041
0.331,0.007,0.049,1.065
0.333,0.025,0.061,0.877
0.342,-0.002,0.043,1.053
0.342,0.005,0.039,1.034
0.343,0.014,0.041,0.953
0.343,-0.006,0.037,0.994
0.345,-0.009,0.046,1.074
0.348,0.007,0.041,0.942
0.351,-0.008,0.038,0.996
0.353,-0.005,0.032,1.004
0.355,-0.002,0.038,1.009
0.357,-0.001,0.046,1.050
0.360,0.013,0.048,0.961
0.362,0.004,0.040,1.006
0.364,0.001,0.038,1.048
0.367,0.009,0.050,0.938
0.369,-0.002,0.034,1.067
0.372,0.013,0.056,0.973
0.374,0.004,0.049,0.982
0.376,0.007,0.043,1.064
0.379,0.016,0.052,0.958
0.382,0.013,0.062,0.994
