time,x,y,z
0.007,-0.005,-0.015,1.005
0.007,-0.004,-0.012,1.003
0.007,-0.002,-0.011,1.004
0.009,-0.002,-0.006,1.003
0.011,0.001,-0.002,1.006
0.013,0.001,0.001,1.003
0.016,0.004,0.001,1.005
0.018,0.006,0.003,1.003
0.020,0.005,0.002,1.002
0.022,0.008,0.002,1.003
0.025,0.008,-0.001,1.001
0.027,0.008,-0.003,1.003
0.031,0.009,-0.006,1.002
0.032,0.009,-0.009,1.002
0.034,0.007,-0.014,1.003
0.037,0.005,-0.017,1.002
0.039,0.004,-0.018,1.003
0.042,0.001,-0.021,1.003
0.044,-0.001,-0.022,1.003
0.047,-0.002,-0.022,1.002
0.049,-0.001,-0.023,1.003
0.051,-0.004,-0.023,1.003
0.054,-0.005,-0.021,1.004
0.056,-0.005,-0.018,1.006
0.059,-0.004,-0.014,1.005
0.061,-0.003,-0.012,1.005
0.064,-0.003,-0.008,1.004
0.066,-0.001,-0.005,1.004
0.068,0.002,-0.002,1.005
0.071,0.001,-0.001,1.005
0.073,0.004,0.002,1.004
0.076,0.006,0.002,1.003
0.078,0.007,0.002,1.003
0.080,0.008,0.001,1.003
0.083,0.008,0.000,1.003
0.085,0.009,-0.004,1.002
0.088,0.008,-0.006,1.000
0.090,0.007,-0.009,1.001
0.092,0.006,-0.012,1.002
0.095,0.006,-0.016,1.001
0.098,0.002,-0.018,1.001
0.100,0.001,-0.021,1.002
0.102,-0.001,-0.023,1.001
0.104,-0.005,-0.021,0.987
0.107,-0.005,-0.022,1.003
0.109,-0.005,-0.021,1.015
0.112,-0.005,-0.019,1.000
0.114,-0.006,-0.018,0.997
0.116,-0.004,-0.012,1.006
0.119,-0.005,-0.010,1.008
0.122,-0.002,-0.007,1.002
0.124,-0.001,-0.005,1.004
0.126,0.001,-0.003,1.006
0.128,-0.002,-0.001,0.996
0.131,0.005,0.002,0.996
0.133,0.008,0.002,1.024
0.136,0.010,0.002,1.004
0.138,0.008,0.003,0.992
0.141,0.008,-0.002,1.003
0.143,0.008,-0.004,1.005
0.145,0.006,-0.007,0.998
0.148,0.005,-0.011,0.998
0.150,0.004,-0.014,1.002
0.152,0.004,-0.018,1.000
0.155,0.001,-0.021,0.999
0.157,-0.001,-0.022,1.001
0.160,-0.001,-0.023,1.000
0.163,-0.005,-0.024,1.000
0.165,-0.008,-0.021,1.003
0.167,-0.008,-0.017,1.009
0.169,-0.014,-0.009,1.003
0.172,-0.019,0.000,1.002
0.174,-0.020,0.013,1.009
0.177,-0.024,0.021,1.006
0.179,-0.026,0.026,1.003
0.182,-0.028,0.038,1.010
0.184,-0.035,0.044,1.008
0.187,-0.046,0.049,0.997
0.189,-0.056,0.047,1.001
0.191,-0.064,0.043,1.007
0.193,-0.070,0.034,0.995
0.196,-0.079,0.028,1.001
0.199,-0.094,0.010,1.007
0.201,-0.115,-0.005,1.001
0.203,-0.133,-0.101,1.008
0.205,-0.127,-0.164,1.016
0.208,-0.134,-0.160,1.002
0.210,-0.134,-0.119,0.967
0.213,-0.126,-0.063,0.964
0.215,-0.153,-0.036,1.004
0.218,-0.150,-0.012,1.001
0.220,-0.144,0.002,1.006
0.223,-0.177,0.004,1.018
0.225,-0.173,0.006,1.004
0.227,-0.150,0.003,0.996
0.229,-0.125,-0.010,1.015
0.232,-0.150,-0.030,1.010
0.235,-0.180,-0.042,1.005
0.237,-0.198,-0.049,0.971
0.239,-0.174,-0.026,0.989
0.242,-0.172,-0.003,1.032
0.244,-0.168,-0.000,0.975
0.252,-0.163,0.008,0.977
0.253,-0.142,0.023,0.980
0.253,-0.146,0.007,1.043
0.261,-0.177,-0.015,0.993
0.261,-0.157,-0.009,1.035
0.261,-0.182,-0.003,0.999
0.261,-0.125,0.005,1.022
0.263,-0.172,-0.020,0.985
0.270,-0.134,-0.013,0.966
0.271,-0.179,-0.028,1.005
0.271,-0.164,-0.025,0.976
0.273,-0.122,-0.022,1.054
0.275,-0.141,-0.029,1.007
0.278,-0.151,-0.028,0.979
0.280,-0.131,-0.026,1.018
0.283,-0.142,-0.028,0.996
0.285,-0.149,-0.030,0.998
0.288,-0.148,-0.026,1.010
0.290,-0.141,-0.020,1.016
0.292,-0.095,-0.017,1.008
0.295,-0.134,-0.034,0.981
0.297,-0.122,-0.034,0.991
0.300,-0.089,-0.029,1.002
0.302,-0.083,-0.024,1.071
0.304,-0.080,-0.021,0.983
0.307,-0.065,-0.020,1.003
0.309,-0.051,-0.023,0.893
0.312,-0.049,-0.022,1.092
0.314,-0.034,-0.013,1.030
0.316,0.003,-0.016,0.918
0.319,-0.083,-0.030,1.018
0.322,-0.051,-0.028,1.009
0.324,-0.008,-0.017,1.045
0.326,-0.030,-0.018,0.926
0.328,0.053,0.004,1.039
0.331,-0.008,-0.014,1.011
0.333,0.016,-0.018,0.968
0.336,0.045,-0.004,1.030
0.338,0.038,-0.006,0.992
0.340,0.009,-0.002,0.975
0.343,0.022,0.002,1.044
0.345,0.002,0.002,1.007
0.348,0.012,0.013,0.971
0.350,0.013,0.004,1.045
0.352,-0.034,-0.001,0.982
0.355,0.006,0.011,0.983
0.357,-0.023,0.002,1.026
0.360,-0.041,0.001,0.996
0.362,0.000,0.017,1.031
0.364,-0.073,0.000,0.956
0.367,-0.035,0.017,1.017
0.369,-0.096,-0.007,1.025
0.372,-0.112,-0.007,0.978
0.374,-0.096,-0.000,1.005
0.379,-0.151,-0.012,0.998
0.380,-0.102,-0.005,1.021
0.383,-0.134,-0.020,0.962
0.384,-0.138,-0.016,1.030
0.386,-0.131,-0.015,1.007
0.389,-0.146,-0.019,0.960
0.391,-0.139,-0.019,1.054
0.394,-0.156,-0.037,0.979
0.396,-0.150,-0.024,0.995
0.398,-0.100,-0.014,1.004
0.401,-0.121,-0.021,0.985
0.403,-0.115,-0.024,1.040
0.405,-0.104,-0.026,0.973
0.408,-0.099,-0.019,1.006
0.411,-0.113,-0.023,1.012
0.413,-0.083,-0.010,0.987
0.415,-0.124,-0.022,1.010
0.418,-0.084,-0.018,0.993
0.420,-0.062,-0.014,1.004
0.423,-0.064,-0.011,0.998
0.425,-0.056,-0.010,1.009
0.427,-0.056,-0.003,0.990
0.431,-0.047,-0.003,1.025
0.432,-0.040,-0.005,0.981
0.435,-0.052,-0.003,0.948
0.437,-0.052,-0.011,1.073
0.439,-0.050,-0.005,0.976
0.441,-0.026,-0.007,1.023
0.445,-0.052,-0.022,0.989
0.446,-0.054,-0.019,0.951
0.449,-0.085,-0.034,1.020
0.451,-0.046,-0.017,1.022
0.453,-0.057,-0.016,1.020
0.456,-0.082,-0.028,0.972
0.458,-0.098,-0.032,0.999
0.461,-0.071,-0.021,0.992
0.463,-0.094,-0.022,1.020
0.466,-0.083,-0.020,1.057
0.468,-0.087,-0.022,1.041
0.471,-0.086,-0.018,1.021
0.476,-0.118,-0.037,0.891
0.476,-0.103,-0.018,0.943
0.479,-0.090,-0.015,1.101
0.480,-0.081,-0.011,0.965
0.482,-0.085,-0.018,1.048
0.486,-0.083,-0.015,0.982
0.487,-0.063,-0.018,0.999
0.490,-0.068,-0.029,0.978
0.492,-0.078,-0.024,0.992
0.494,-0.075,-0.024,0.986
0.497,-0.036,-0.012,1.016
0.500,-0.028,-0.010,1.005
0.503,-0.038,-0.019,1.004
0.504,-0.001,-0.013,1.039
0.506,0.007,-0.010,1.011
0.509,0.001,-0.011,0.995
0.513,-0.021,-0.014,0.953
0.514,-0.004,-0.008,0.959
0.516,-0.016,-0.011,1.013
0.519,0.008,0.003,1.052
0.521,-0.010,-0.001,1.080
0.524,0.010,0.005,1.040
0.526,-0.032,-0.010,0.998
0.528,-0.025,-0.002,0.942
0.531,0.014,0.015,0.946
0.533,-0.018,0.005,0.989
0.536,0.002,0.016,1.031
0.538,-0.031,0.005,1.013
0.540,-0.024,0.006,1.036
0.542,-0.044,0.003,0.986
0.546,-0.040,0.001,0.979
0.547,-0.037,0.004,1.026
0.550,-0.063,0.005,0.956
0.552,-0.044,0.009,1.037
0.555,-0.055,0.006,0.975
