time,x,y,z
0.007,-0.003,-0.023,0.996
0.007,-0.005,-0.024,0.995
0.007,-0.004,-0.023,0.996
0.008,-0.006,-0.021,0.999
0.010,-0.007,-0.020,1.001
0.012,-0.007,-0.016,1.001
0.014,-0.004,-0.012,1.002
0.017,-0.005,-0.008,1.003
0.019,-0.003,-0.005,1.005
0.023,-0.002,-0.003,1.004
0.024,-0.001,-0.001,1.004
0.026,0.003,0.001,1.003
0.029,0.002,0.001,1.004
0.031,0.005,0.001,1.002
0.034,0.007,-0.000,1.003
0.036,0.007,-0.001,1.002
0.038,0.006,-0.003,1.001
0.041,0.005,-0.008,0.999
0.043,0.007,-0.010,0.997
0.046,0.003,-0.014,0.998
0.048,0.002,-0.015,0.995
0.050,0.002,-0.020,0.996
0.053,-0.000,-0.021,0.995
0.056,-0.005,-0.023,0.984
0.058,-0.001,-0.027,1.011
0.060,-0.007,-0.022,0.992
0.062,-0.007,-0.024,0.997
0.065,-0.006,-0.021,1.003
0.068,-0.007,-0.017,0.996
0.070,-0.007,-0.014,1.003
0.072,-0.005,-0.011,1.002
0.074,-0.004,-0.007,1.002
0.077,-0.001,-0.005,1.005
0.084,-0.000,-0.001,1.004
0.085,0.001,0.000,1.006
0.085,0.001,0.001,1.003
0.087,0.005,0.002,1.002
0.090,0.007,0.002,1.004
0.092,0.006,0.000,1.002
0.094,0.005,-0.001,1.003
0.097,0.005,0.001,0.999
0.098,0.004,-0.007,0.996
0.101,0.006,-0.016,0.999
0.104,0.008,-0.021,1.000
0.106,0.004,-0.020,0.999
0.108,0.001,-0.022,0.994
0.111,-0.000,-0.023,0.997
0.113,-0.001,-0.024,0.997
0.115,-0.004,-0.024,0.996
0.118,-0.005,-0.025,0.997
0.120,-0.006,-0.023,0.997
0.123,-0.006,-0.018,0.997
0.125,-0.007,-0.018,0.997
0.128,-0.005,-0.014,1.007
0.130,-0.006,-0.010,1.001
0.132,-0.004,-0.006,1.003
0.135,-0.001,-0.004,1.006
0.137,-0.001,-0.001,1.003
0.140,0.002,0.000,1.004
0.142,0.001,0.001,1.004
0.144,0.003,0.001,1.003
0.147,0.006,0.001,1.003
0.149,0.005,-0.000,1.003
0.152,0.008,-0.003,1.000
0.154,0.006,-0.006,1.000
