time,x,y,z
0.005,-0.001,-0.020,1.001
0.005,-0.005,-0.017,1.000
0.006,-0.012,-0.012,1.003
0.009,-0.017,-0.009,1.001
0.011,-0.016,-0.003,1.001
0.013,-0.009,-0.003,1.000
0.015,-0.009,0.000,1.004
0.018,-0.015,0.001,1.005
0.020,-0.011,0.002,1.006
0.023,-0.003,0.004,1.005
0.025,0.019,0.004,1.013
0.027,0.024,0.003,1.011
0.030,0.014,0.001,1.004
0.032,-0.006,0.001,1.010
0.035,-0.020,-0.003,1.007
0.037,-0.019,-0.002,1.004
0.039,-0.024,-0.001,1.005
0.042,-0.022,-0.001,1.008
0.044,-0.034,0.006,1.009
0.047,-0.040,0.011,1.010
0.049,-0.034,0.009,1.022
0.051,-0.065,0.011,1.007
0.054,-0.044,0.018,1.005
0.056,-0.034,0.009,1.019
0.059,-0.021,0.020,0.999
0.061,0.002,0.026,1.015
0.066,-0.007,0.033,1.025
0.066,-0.030,0.044,0.988
0.068,-0.042,0.042,0.977
0.071,-0.054,0.052,0.981
0.073,-0.032,0.065,0.974
0.076,-0.007,0.072,0.985
0.078,0.021,0.072,0.987
0.080,0.046,0.075,1.003
0.083,0.020,0.086,0.990
0.085,-0.006,0.115,0.965
0.088,-0.032,0.106,1.028
0.090,-0.036,0.107,1.002
0.092,-0.019,0.103,0.928
0.095,0.002,0.103,0.995
0.098,0.004,0.092,1.083
0.100,-0.035,0.092,1.034
0.102,-0.099,0.098,0.920
0.106,-0.174,0.099,0.994
0.107,-0.088,0.096,1.024
0.109,-0.102,0.104,1.044
0.112,-0.106,0.106,0.934
0.114,-0.098,0.090,0.897
0.116,-0.007,0.083,1.134
0.119,-0.050,0.111,1.012
0.122,-0.042,0.086,0.998
0.124,-0.039,0.043,1.118
0.127,-0.040,0.041,0.870
0.128,-0.077,0.042,0.837
0.132,0.023,0.003,1.203
0.133,-0.053,0.026,1.128
0.136,-0.097,0.002,0.724
0.138,-0.033,-0.042,1.064
0.141,-0.086,-0.007,1.068
0.143,0.002,-0.040,1.023
0.146,-0.061,-0.029,1.060
0.148,-0.088,-0.040,0.869
0.150,-0.109,-0.064,0.971
0.153,-0.099,-0.063,1.151
0.160,-0.119,-0.050,0.898
0.160,-0.122,-0.046,0.932
0.160,-0.117,-0.054,1.062
0.162,-0.101,-0.068,1.055
0.166,-0.141,-0.053,0.874
0.170,-0.126,-0.059,1.118
0.171,-0.154,-0.026,1.028
0.172,-0.149,-0.020,0.747
0.174,-0.076,-0.008,1.215
0.177,-0.160,-0.010,1.052
0.179,-0.142,-0.014,0.862
0.182,-0.197,-0.011,0.994
0.184,-0.114,-0.004,0.988
0.186,-0.127,0.015,1.183
0.189,-0.195,-0.002,0.853
0.191,-0.171,-0.016,1.023
0.194,-0.202,-0.009,0.936
0.196,-0.139,-0.021,1.049
0.199,-0.205,-0.023,1.072
0.201,-0.145,-0.018,0.930
0.203,-0.167,-0.017,0.921
0.206,-0.148,-0.042,1.156
0.208,-0.120,-0.016,0.953
0.211,-0.171,-0.040,0.880
0.213,-0.072,-0.018,0.986
0.215,-0.079,-0.032,1.288
0.218,-0.097,-0.014,0.739
0.220,-0.080,-0.022,0.895
0.223,0.013,-0.007,1.195
0.225,-0.034,-0.017,1.057
0.227,-0.037,-0.004,0.831
0.230,-0.011,-0.002,1.110
0.233,-0.016,0.004,0.930
0.235,0.035,-0.008,1.060
0.237,0.010,-0.009,1.097
0.239,0.025,0.008,0.848
0.242,0.040,0.008,0.977
0.244,0.062,0.008,1.155
0.247,0.055,0.009,0.939
0.251,0.022,-0.000,0.938
0.251,0.084,0.010,1.009
0.254,0.030,-0.013,1.089
0.256,0.040,-0.022,1.025
0.259,-0.018,-0.030,0.907
0.261,-0.000,-0.020,0.944
0.263,0.001,-0.012,0.908
0.268,0.039,-0.022,1.204
0.268,0.026,-0.008,0.987
0.271,0.021,-0.035,1.031
0.273,-0.037,-0.023,0.780
0.275,0.025,-0.040,1.267
0.278,-0.059,-0.014,0.839
0.280,0.009,-0.039,0.934
0.283,-0.004,-0.013,1.180
0.285,0.000,-0.045,1.025
0.289,-0.035,-0.023,0.884
0.290,-0.050,-0.040,0.977
0.292,-0.037,-0.026,1.067
0.295,-0.019,-0.019,0.943
0.297,-0.054,-0.040,1.069
0.300,-0.059,-0.032,0.903
0.302,-0.020,-0.040,1.143
0.304,-0.071,-0.025,0.908
0.308,-0.024,-0.019,0.985
0.309,-0.073,-0.017,1.108
0.312,-0.058,-0.026,0.880
0.314,-0.046,-0.028,1.070
0.316,-0.076,-0.042,0.985
0.319,-0.065,-0.041,0.962
0.322,-0.060,-0.056,1.056
0.324,-0.069,-0.060,0.986
0.326,-0.084,-0.061,0.912
0.328,0.024,-0.058,1.096
0.331,-0.105,-0.072,1.056
0.333,-0.029,-0.064,0.836
0.336,-0.059,-0.077,1.085
0.338,-0.048,-0.067,1.049
0.340,-0.087,-0.063,0.834
