time,x,y,z
0.006,-0.001,-0.011,1.003
0.007,-0.000,-0.011,1.002
0.007,0.001,-0.012,1.000
0.008,0.001,-0.013,1.001
0.011,-0.001,-0.011,1.002
0.013,0.001,-0.011,1.001
0.015,0.001,-0.010,1.000
0.017,-0.001,-0.010,1.000
0.020,-0.001,-0.007,1.001
0.022,-0.002,-0.004,1.003
0.025,-0.008,-0.004,1.003
0.027,-0.021,0.005,1.000
0.031,-0.041,0.026,1.003
0.033,-0.076,0.052,1.003
0.034,-0.095,0.079,1.000
0.037,-0.089,0.095,1.002
0.039,-0.075,0.105,1.003
0.042,-0.061,0.106,1.008
0.044,-0.062,0.112,1.011
0.047,-0.057,0.122,1.000
0.049,-0.049,0.128,0.999
0.051,-0.049,0.130,0.996
0.054,-0.026,0.130,0.993
0.061,0.006,0.130,1.022
0.061,0.004,0.136,1.017
0.061,-0.004,0.126,0.980
0.063,0.005,0.108,1.005
0.066,0.011,0.097,1.020
0.068,0.012,0.097,0.986
0.071,0.031,0.088,1.016
0.073,0.022,0.100,1.025
0.075,0.008,0.105,0.946
0.078,0.018,0.092,1.025
0.080,0.035,0.096,1.035
0.083,0.019,0.103,0.996
0.085,0.004,0.107,0.971
0.087,0.016,0.095,1.038
0.090,0.016,0.118,0.962
0.092,-0.001,0.119,1.006
0.094,-0.002,0.116,1.020
0.097,0.000,0.118,1.042
0.100,-0.009,0.115,0.938
0.102,-0.015,0.095,1.030
0.104,0.009,0.115,1.028
0.107,-0.001,0.124,0.963
0.109,-0.010,0.097,1.036
0.111,-0.006,0.107,0.994
0.114,-0.002,0.110,1.014
0.116,0.011,0.100,0.959
0.119,0.011,0.092,1.033
0.122,0.009,0.087,1.003
0.124,0.019,0.091,1.040
0.126,0.010,0.055,0.926
0.128,0.005,0.046,1.050
0.131,0.009,0.078,1.041
0.133,0.013,0.088,0.947
0.136,0.008,0.079,0.982
0.138,-0.019,0.068,1.081
0.140,0.000,0.067,0.976
0.143,-0.008,0.059,0.975
0.145,-0.006,0.066,1.012
0.147,-0.018,0.064,0.995
0.150,-0.019,0.075,1.036
0.152,-0.021,0.056,0.977
0.156,-0.018,0.078,0.994
0.157,-0.017,0.088,1.022
0.160,-0.017,0.094,0.969
0.162,-0.024,0.065,1.035
0.164,-0.016,0.061,1.071
0.167,-0.005,0.080,0.890
0.169,-0.010,0.053,1.010
0.172,-0.008,0.067,1.038
0.174,0.009,0.071,0.979
0.176,-0.025,0.077,1.042
0.179,-0.005,0.067,0.971
0.182,-0.014,0.067,0.975
0.184,-0.002,0.067,1.051
0.186,-0.006,0.081,0.952
0.191,-0.013,0.062,1.058
0.191,-0.023,0.064,0.993
0.193,-0.015,0.059,0.960
0.196,-0.014,0.046,1.034
0.198,0.001,0.057,1.000
0.201,0.005,0.070,0.998
0.203,0.008,0.068,0.981
0.205,0.004,0.054,1.008
0.208,-0.012,0.037,1.128
0.210,0.020,0.067,0.858
0.213,0.008,0.094,1.023
0.215,0.018,0.090,1.036
0.217,0.020,0.081,0.969
0.221,0.007,0.069,1.057
0.223,0.013,0.089,0.949
0.225,0.016,0.089,0.986
0.227,0.006,0.105,1.094
0.230,0.027,0.105,1.002
0.232,0.026,0.112,0.896
0.234,0.015,0.088,1.068
0.237,0.024,0.070,1.023
0.240,0.030,0.095,0.955
0.241,0.028,0.082,1.029
0.244,0.024,0.076,1.024
0.246,0.021,0.055,0.997
0.249,0.033,0.078,1.005
0.251,0.032,0.063,1.004
0.253,0.021,0.032,0.981
0.256,0.007,0.032,0.995
0.258,0.024,0.042,1.032
0.261,0.024,0.041,0.955
0.263,0.001,0.000,0.992
0.266,0.004,-0.000,1.054
0.270,0.023,-0.017,0.977
0.272,-0.002,-0.006,0.994
0.273,0.024,-0.002,1.056
0.275,0.021,0.012,0.920
0.278,0.013,-0.021,0.991
0.280,-0.003,-0.003,1.089
0.282,0.022,-0.026,0.961
0.285,-0.001,-0.042,1.024
0.287,0.020,-0.021,0.928
0.291,-0.005,-0.028,1.064
0.292,0.001,-0.032,0.959
0.294,0.002,-0.035,1.075
0.297,0.016,-0.000,0.945
0.299,-0.010,-0.014,1.042
0.302,0.001,-0.003,0.972
0.304,-0.003,-0.005,1.026
0.306,-0.002,0.004,0.991
0.309,-0.007,0.006,1.042
0.311,0.014,0.020,0.943
0.314,-0.004,-0.002,1.056
0.316,0.013,0.015,0.973
0.319,-0.001,0.009,1.034
0.321,0.007,0.031,0.985
0.324,0.009,0.025,1.014
0.326,0.006,0.043,0.975
0.328,0.000,0.039,1.014
0.330,0.023,0.061,0.987
0.333,0.021,0.012,1.025
0.335,0.018,0.038,1.010
0.338,0.031,0.039,0.986
0.340,0.005,0.021,0.982
0.342,0.000,0.037,1.102
0.345,0.022,0.038,0.896
0.348,0.022,0.035,1.026
0.350,0.020,0.015,1.029
0.352,0.032,0.040,0.953
0.355,0.002,-0.008,1.081
0.357,0.024,0.002,0.935
0.359,0.020,-0.019,1.010
0.362,0.024,-0.022,1.078
0.364,0.031,0.014,0.889
0.367,0.005,-0.008,1.070
0.369,0.011,-0.019,0.960
0.371,0.002,-0.036,1.032
0.374,0.011,-0.017,1.014
0.376,0.036,-0.014,0.969
0.379,0.012,-0.004,1.000
0.381,0.003,-0.021,0.994
0.383,0.002,-0.030,1.029
0.387,0.021,-0.028,0.952
0.388,-0.007,-0.023,1.048
0.391,0.011,-0.034,0.940
0.393,0.008,-0.018,1.024
0.395,0.003,0.001,1.028
0.398,0.006,-0.014,0.989
0.400,0.002,-0.003,1.026
0.403,0.006,0.005,0.967
0.405,0.003,-0.001,1.005
0.408,0.004,0.012,1.034
0.410,-0.009,-0.010,0.949
0.414,-0.003,-0.025,1.072
0.415,-0.003,-0.002,0.920
0.417,-0.018,-0.012,1.076
0.420,-0.000,-0.013,0.958
0.422,-0.004,-0.019,0.972
0.425,-0.021,-0.038,1.055
0.427,0.000,0.007,0.944
0.430,-0.020,-0.010,1.099
0.432,-0.002,0.008,0.920
0.434,-0.014,-0.035,1.057
0.436,-0.005,-0.036,1.014
0.439,0.004,-0.029,0.959
0.441,0.003,-0.013,1.004
0.444,-0.007,-0.063,1.065
0.447,0.009,-0.036,0.970
0.448,-0.006,-0.067,0.941
0.451,-0.016,-0.049,1.089
0.453,0.005,-0.055,0.909
0.456,-0.021,-0.053,1.148
0.458,0.006,-0.031,0.857
0.460,-0.015,-0.060,1.040
0.463,-0.012,-0.047,1.104
0.465,-0.001,-0.033,0.904
0.468,0.000,-0.051,1.010
0.473,-0.000,-0.051,1.001
0.474,-0.000,-0.057,1.005
0.475,-0.003,-0.035,1.010
0.477,0.001,-0.041,0.913
0.481,-0.001,-0.061,1.083
0.482,0.006,-0.038,1.037
0.485,0.008,-0.021,0.954
0.487,0.001,-0.020,0.940
0.489,0.001,-0.029,1.072
0.492,-0.000,-0.023,0.954
0.494,-0.000,-0.045,1.061
0.497,-0.005,-0.028,0.999
0.499,0.003,-0.021,0.996
0.501,0.005,-0.010,0.945
0.504,0.005,-0.033,1.024
0.506,0.008,-0.052,1.019
0.511,0.002,-0.034,1.036
0.512,0.004,-0.005,0.948
0.517,0.004,-0.022,1.014
0.517,0.000,-0.016,1.024
0.518,0.015,-0.032,0.936
0.521,0.002,-0.056,1.060
0.523,0.012,-0.023,1.020
0.526,0.015,-0.023,0.909
0.528,-0.006,-0.041,1.110
0.530,0.007,-0.024,0.964
0.533,0.011,-0.023,0.981
0.535,-0.004,-0.040,1.045
0.538,-0.007,-0.041,0.935
0.540,-0.017,-0.033,1.088
0.543,0.007,-0.012,0.913
0.546,0.009,-0.036,1.045
0.548,0.004,-0.008,1.038
0.550,-0.000,-0.031,0.924
0.552,-0.013,-0.016,1.050
0.554,-0.001,-0.027,0.989
0.557,-0.017,-0.025,0.968
0.560,-0.008,-0.040,1.067
0.562,0.012,-0.024,0.916
0.564,0.013,-0.012,1.058
0.567,0.025,-0.042,0.959
0.571,-0.011,-0.055,1.054
0.571,0.013,-0.050,0.958
0.574,0.005,-0.059,0.995
0.576,0.002,-0.036,1.040
0.578,0.010,-0.032,0.964
0.582,0.030,-0.030,1.013
0.584,0.020,-0.025,0.955
0.586,0.010,-0.013,1.098
0.588,0.031,-0.001,0.951
0.591,0.022,-0.020,0.987
0.594,0.039,-0.006,1.038
0.595,0.026,-0.012,0.991
0.598,0.035,-0.025,0.934
0.600,0.019,-0.038,1.077
0.604,0.020,-0.026,1.004
0.605,0.023,-0.009,0.999
0.607,0.022,-0.046,1.000
0.611,0.012,-0.037,0.944
0.612,0.007,-0.074,1.039
0.615,0.006,-0.071,1.032
0.617,0.006,-0.046,0.913
0.619,-0.013,-0.082,1.052
0.622,-0.003,-0.078,1.053
0.625,0.005,-0.038,0.923
