time,x,y,z
0.009,-0.006,-0.016,1.004
0.010,-0.005,-0.012,1.006
0.010,-0.003,-0.011,1.006
0.010,-0.000,-0.007,1.005
0.010,0.001,-0.005,1.002
0.015,0.001,-0.003,0.999
0.015,0.002,-0.002,0.998
0.017,0.004,-0.001,0.998
0.019,0.007,0.000,0.998
0.021,0.006,0.000,1.000
0.023,0.007,-0.001,1.001
0.025,0.008,-0.004,1.002
0.028,0.008,-0.005,0.999
0.033,0.006,-0.006,0.997
0.033,0.006,-0.009,0.997
0.036,0.001,-0.011,0.998
0.037,0.002,-0.015,0.998
0.040,0.000,-0.017,1.003
0.044,-0.001,-0.018,1.004
0.045,-0.004,-0.019,1.005
0.047,-0.005,-0.020,1.003
0.053,-0.006,-0.020,1.001
0.053,-0.005,-0.020,1.000
0.056,-0.005,-0.017,1.001
0.057,-0.007,-0.015,1.003
0.060,-0.004,-0.013,1.002
0.061,-0.004,-0.009,1.001
0.064,-0.001,-0.008,1.003
0.067,-0.000,-0.004,1.001
0.071,0.003,-0.002,1.001
0.071,0.005,-0.001,1.000
0.076,0.006,-0.001,1.001
0.076,0.006,0.000,1.000
0.080,0.009,-0.001,0.999
0.081,0.008,-0.000,1.000
0.083,0.008,-0.003,0.999
0.085,0.008,-0.002,0.999
0.089,0.008,-0.006,1.000
0.093,0.005,-0.008,0.998
0.093,0.003,-0.012,0.997
0.098,0.002,-0.015,1.000
0.098,-0.001,-0.017,0.999
0.101,-0.003,-0.018,1.001
0.103,-0.005,-0.020,1.004
0.105,-0.005,-0.021,1.003
0.107,-0.005,-0.022,1.004
0.111,-0.005,-0.019,1.002
0.113,-0.005,-0.017,1.002
0.117,-0.005,-0.016,1.003
0.117,-0.004,-0.012,1.004
0.120,-0.002,-0.010,1.000
0.122,-0.001,-0.007,1.001
0.124,0.001,-0.002,1.001
0.127,0.003,-0.003,1.002
0.131,0.005,-0.001,1.000
0.132,0.006,-0.000,1.000
0.136,0.006,0.001,0.998
0.136,0.007,-0.000,0.999
0.140,0.010,-0.002,0.998
0.141,0.009,-0.001,1.000
0.144,0.007,-0.005,1.001
0.146,0.007,-0.010,1.000
0.149,0.006,-0.011,0.999
0.153,0.003,-0.014,0.999
0.153,0.000,-0.017,1.001
0.158,-0.002,-0.022,1.002
0.158,-0.004,-0.025,1.004
0.162,-0.005,-0.022,1.003
0.163,-0.005,-0.020,1.005
0.165,-0.007,-0.018,1.002
0.167,-0.006,-0.017,1.002
0.172,-0.006,-0.015,1.002
0.172,-0.007,-0.018,1.003
0.177,-0.006,-0.015,1.004
0.178,-0.002,-0.013,1.001
0.181,-0.002,-0.008,1.001
0.182,-0.000,-0.005,1.001
0.184,0.003,-0.003,1.001
0.186,0.004,-0.002,1.002
0.191,0.006,-0.002,0.998
0.191,0.005,0.001,1.001
0.197,0.003,-0.005,0.997
