time,x,y,z
0.008,0.037,-0.015,1.000
0.008,0.042,-0.021,1.011
0.008,0.037,-0.028,1.008
0.009,0.037,-0.037,0.999
0.012,0.028,-0.040,0.996
0.014,0.024,-0.049,0.990
0.016,0.024,-0.051,0.997
0.018,0.031,-0.054,1.009
0.022,0.059,-0.059,1.016
0.023,0.073,-0.055,1.015
0.026,0.072,-0.045,0.997
0.028,0.060,-0.038,0.990
0.030,0.057,-0.028,0.988
0.033,0.055,-0.022,0.984
0.035,0.056,-0.013,0.999
0.038,0.126,-0.009,1.021
0.040,0.147,-0.006,1.032
0.043,0.157,-0.001,0.994
0.045,0.149,-0.003,0.984
0.047,0.138,-0.006,0.996
0.050,0.132,-0.009,1.018
0.052,0.149,-0.010,0.983
0.055,0.155,-0.013,1.008
0.057,0.167,-0.020,1.017
0.059,0.186,-0.025,1.011
0.062,0.189,-0.029,1.018
0.064,0.197,-0.033,0.976
0.067,0.208,-0.026,0.962
0.069,0.209,-0.026,1.031
0.071,0.247,-0.019,0.986
0.074,0.245,-0.017,0.980
0.076,0.229,-0.007,1.097
0.079,0.264,0.006,0.942
0.081,0.223,0.008,1.032
0.083,0.229,0.019,1.032
0.086,0.234,0.033,0.958
0.089,0.220,0.026,0.987
0.091,0.217,0.032,1.024
0.093,0.218,0.031,0.984
0.095,0.198,0.039,1.084
0.098,0.231,0.041,0.930
0.100,0.190,0.029,1.024
0.103,0.176,0.021,1.059
0.105,0.224,0.028,0.903
0.107,0.158,0.002,1.019
0.110,0.180,-0.006,1.040
0.113,0.224,-0.004,0.881
0.115,0.152,-0.027,1.126
0.117,0.200,-0.005,1.008
0.119,0.186,-0.010,0.965
0.123,0.190,-0.014,1.016
0.124,0.193,-0.016,0.963
0.127,0.195,-0.020,1.011
0.129,0.208,-0.021,0.994
0.131,0.188,-0.015,1.022
0.134,0.190,-0.012,1.042
0.136,0.229,-0.007,0.930
0.139,0.192,-0.015,1.023
0.141,0.198,-0.006,1.040
0.143,0.215,-0.006,0.971
0.146,0.192,-0.009,1.054
0.149,0.216,-0.002,0.932
0.151,0.159,-0.007,1.061
0.153,0.170,0.013,0.988
0.156,0.142,0.016,0.967
0.158,0.103,0.010,1.095
0.160,0.150,0.020,0.945
0.163,0.091,0.008,0.965
0.165,0.071,0.009,1.092
0.168,0.095,0.005,0.900
0.170,0.020,-0.003,1.064
0.172,0.037,-0.000,0.958
0.175,0.007,-0.004,1.027
0.179,-0.007,-0.014,1.014
0.180,0.034,-0.007,0.879
0.182,-0.095,-0.038,1.190
0.184,0.014,-0.010,0.961
0.187,-0.017,-0.019,0.945
0.190,-0.008,-0.025,1.022
0.192,-0.002,-0.028,0.955
0.194,-0.032,-0.044,1.057
0.196,0.023,-0.026,0.970
0.199,-0.016,-0.040,1.044
0.202,0.029,-0.032,0.980
0.204,0.039,-0.026,0.923
0.206,-0.060,-0.058,1.182
0.208,0.062,-0.007,0.927
0.212,0.036,-0.022,0.931
0.213,0.022,-0.019,1.030
0.216,0.020,-0.013,1.021
0.219,0.038,-0.011,1.025
0.220,0.054,-0.015,0.970
0.223,0.058,-0.021,1.009
0.225,0.022,-0.021,1.041
0.229,0.047,-0.012,1.006
0.230,0.074,-0.000,0.962
0.232,0.035,-0.028,1.064
0.235,0.069,-0.013,0.972
0.238,0.077,-0.016,0.953
0.240,0.032,-0.015,1.077
0.242,0.079,-0.001,0.979
0.246,0.079,-0.013,0.952
0.247,0.058,-0.014,1.050
0.249,0.090,-0.007,0.938
0.255,0.039,-0.016,1.102
0.255,0.113,0.005,0.913
0.257,0.057,-0.017,1.027
0.259,0.056,-0.005,1.021
0.262,0.090,-0.003,0.902
0.264,0.029,-0.013,1.094
0.267,0.098,0.000,0.931
0.269,0.046,-0.021,1.055
0.271,0.061,-0.003,1.005
0.273,0.070,-0.006,0.962
0.276,0.041,-0.013,1.114
0.281,0.111,0.004,0.857
0.281,0.007,-0.015,1.136
0.283,0.077,0.010,0.931
0.286,0.053,0.005,1.028
0.288,0.066,0.020,0.969
0.290,0.060,0.023,1.017
0.293,0.056,0.029,0.998
0.295,0.060,0.034,1.006
0.298,0.085,0.042,1.001
0.300,0.072,0.036,0.997
0.303,0.067,0.036,1.022
0.305,0.073,0.043,0.989
0.307,0.065,0.042,0.993
0.309,0.058,0.038,1.033
0.313,0.082,0.045,0.956
0.315,0.033,0.031,1.048
0.317,0.083,0.043,0.967
0.321,0.022,0.019,1.043
0.322,0.066,0.034,0.921
0.324,0.027,0.021,1.026
0.327,0.026,0.013,1.003
0.329,0.030,0.016,1.032
0.331,0.035,0.005,1.010
0.334,0.019,0.002,0.987
0.336,0.035,0.002,0.994
0.339,0.034,-0.004,0.924
0.341,-0.008,-0.020,1.102
0.343,0.038,-0.009,0.974
0.346,0.012,-0.015,1.039
0.348,0.029,-0.013,1.007
0.351,0.033,-0.006,0.957
0.353,-0.005,-0.015,1.032
0.355,0.015,-0.010,0.976
0.358,0.026,-0.010,0.997
0.360,0.004,-0.015,1.014
0.363,0.034,-0.015,1.009
0.365,0.044,-0.018,0.977
0.367,0.033,-0.019,1.021
