time,x,y,z
0.007,0.017,-0.042,0.993
0.007,0.010,-0.032,1.000
0.007,0.007,-0.024,1.009
0.008,0.006,-0.014,1.014
0.011,0.003,-0.009,1.011
0.013,0.006,-0.008,1.009
0.015,0.006,-0.011,1.009
0.017,0.006,-0.013,1.000
0.020,0.008,-0.015,0.994
0.024,0.011,-0.019,0.995
0.025,0.015,-0.024,1.001
0.027,0.019,-0.028,1.002
0.030,0.025,-0.032,1.009
0.034,0.029,-0.037,1.004
0.035,0.031,-0.038,0.998
0.037,0.033,-0.040,0.997
0.039,0.038,-0.041,0.996
0.041,0.036,-0.037,0.996
0.044,0.038,-0.032,0.998
0.046,0.039,-0.033,1.001
0.049,0.042,-0.030,1.003
0.051,0.047,-0.028,1.006
0.053,0.061,-0.028,1.014
0.056,0.100,-0.029,1.028
0.058,0.100,-0.035,1.012
0.061,0.105,-0.041,1.001
0.063,0.111,-0.036,1.000
0.067,0.115,-0.033,0.999
0.068,0.110,-0.030,0.994
0.070,0.091,-0.033,0.982
0.073,0.113,-0.028,0.984
0.075,0.144,-0.018,1.004
0.078,0.150,-0.019,1.021
0.080,0.142,-0.012,1.033
0.082,0.140,0.008,1.024
0.086,0.141,0.019,1.002
0.087,0.155,0.035,0.978
0.090,0.150,0.033,0.997
0.092,0.141,0.036,0.996
0.095,0.145,0.037,0.997
0.097,0.162,0.048,1.000
0.100,0.184,0.056,1.004
0.102,0.174,0.045,1.008
0.104,0.187,0.043,0.979
0.106,0.188,0.036,1.009
0.110,0.199,0.031,1.019
0.111,0.195,0.021,1.009
0.114,0.171,0.026,1.013
0.116,0.196,0.023,0.976
0.119,0.175,0.011,1.011
0.121,0.179,0.000,0.985
0.124,0.161,-0.002,1.007
0.126,0.167,-0.004,0.999
0.128,0.184,0.004,1.027
0.131,0.145,-0.006,0.994
0.140,0.148,-0.001,1.014
0.140,0.221,0.019,0.925
0.140,0.170,0.005,1.071
0.140,0.196,0.007,0.986
0.143,0.188,0.009,1.010
0.145,0.182,0.016,1.000
0.148,0.229,0.030,0.989
0.150,0.206,0.014,0.998
0.152,0.209,0.005,0.991
0.155,0.173,0.001,1.029
0.157,0.200,0.010,1.019
0.160,0.179,0.007,0.996
0.162,0.153,-0.002,1.036
0.164,0.213,0.019,0.934
0.167,0.194,0.019,1.086
0.169,0.256,0.024,0.905
0.172,0.211,0.007,1.081
0.174,0.247,0.022,0.977
0.176,0.224,0.015,1.035
0.179,0.268,0.019,0.961
0.181,0.213,-0.000,1.062
0.184,0.271,0.016,0.936
0.187,0.232,-0.002,1.007
0.188,0.209,-0.010,1.051
0.191,0.265,0.001,0.897
0.193,0.197,-0.014,1.147
0.196,0.238,-0.013,0.896
0.199,0.173,-0.019,1.063
0.201,0.173,-0.004,0.992
0.203,0.146,-0.003,0.966
0.205,0.094,-0.021,1.077
0.208,0.123,-0.010,0.956
0.210,0.065,-0.021,1.033
0.213,0.067,-0.013,0.952
0.215,0.068,-0.015,1.009
0.217,0.045,-0.007,1.002
0.222,0.039,-0.017,1.060
0.222,0.035,-0.004,0.964
0.225,0.041,-0.001,1.003
0.227,0.062,0.014,0.947
0.229,0.001,-0.014,1.111
0.232,0.105,0.024,0.903
0.234,0.046,-0.007,1.076
0.237,0.135,0.026,0.923
0.239,0.065,-0.005,1.085
0.241,0.121,0.006,0.972
0.244,0.151,0.000,0.976
0.246,0.129,-0.019,1.041
0.249,0.112,-0.022,0.963
0.251,0.152,0.001,1.019
0.255,0.112,-0.020,0.992
0.257,0.118,-0.009,1.006
0.258,0.145,0.003,1.007
0.261,0.042,-0.037,1.049
0.263,0.133,0.019,0.928
0.265,0.068,-0.013,1.013
0.268,0.069,-0.001,1.082
0.270,0.073,-0.013,0.909
0.273,0.069,-0.002,1.068
0.275,0.072,-0.010,0.977
0.277,0.060,-0.016,0.997
0.285,0.056,-0.019,1.019
0.285,0.105,0.002,0.979
0.285,0.063,-0.013,1.022
0.287,0.083,-0.006,1.026
0.291,0.109,0.000,0.951
0.292,0.063,-0.028,1.105
0.294,0.133,0.000,0.862
0.297,0.085,-0.022,1.114
0.300,0.142,0.000,0.966
0.302,0.136,-0.013,1.017
0.305,0.105,-0.009,1.009
0.306,0.094,-0.008,0.965
0.309,0.100,-0.015,1.037
0.311,0.159,0.006,0.936
0.314,0.071,-0.019,1.073
0.316,0.101,-0.001,0.967
0.318,0.104,0.000,0.953
0.321,0.110,0.002,1.102
0.324,0.136,0.007,0.930
0.326,0.087,-0.008,1.058
0.328,0.117,0.005,0.913
0.330,0.018,-0.036,1.120
0.333,0.126,0.006,0.855
0.335,0.014,-0.034,1.140
0.338,0.099,-0.001,0.925
0.340,0.048,-0.010,1.089
0.342,0.063,-0.006,0.927
0.345,0.031,-0.011,1.017
0.347,0.029,-0.015,1.037
0.350,0.053,0.000,0.994
0.352,0.036,-0.010,0.979
0.355,0.070,0.008,0.988
0.358,0.035,-0.012,1.055
0.359,0.083,0.001,0.974
0.362,0.054,-0.019,0.973
0.365,0.010,-0.029,1.059
0.367,0.101,-0.002,0.928
0.370,0.048,-0.012,1.067
0.372,0.085,0.002,0.989
0.374,0.077,-0.015,1.036
0.378,0.082,-0.014,0.960
0.379,0.120,-0.006,0.990
0.381,0.047,-0.030,1.046
0.384,0.136,-0.008,0.934
0.386,0.058,-0.029,1.041
0.388,0.121,-0.007,0.970
0.394,0.035,-0.029,1.081
0.394,0.107,-0.012,0.935
0.396,0.037,-0.037,1.033
0.398,0.102,-0.023,0.984
0.400,0.054,-0.047,1.030
0.403,0.052,-0.021,1.032
0.405,0.129,0.001,0.903
0.409,0.075,-0.027,1.120
0.410,0.146,-0.011,0.898
0.412,0.063,-0.036,1.080
0.415,0.108,-0.027,0.914
0.419,0.083,-0.023,1.141
0.420,0.181,-0.002,0.908
0.422,0.073,-0.036,1.092
0.425,0.120,-0.014,0.878
0.427,-0.021,-0.060,1.119
0.429,0.107,-0.011,0.915
0.431,0.056,-0.045,1.024
0.434,0.027,-0.028,1.063
0.437,0.107,-0.001,0.883
0.440,-0.023,-0.043,1.131
0.441,0.065,-0.019,0.913
0.444,-0.000,-0.034,1.065
0.448,0.013,-0.010,1.002
0.448,0.022,-0.008,0.979
0.451,0.013,-0.022,0.962
0.453,-0.017,-0.015,1.092
0.456,0.026,-0.005,0.893
0.459,-0.046,-0.029,1.077
