time,x,y,z
0.006,-0.004,-0.010,0.999
0.006,-0.005,-0.010,1.000
0.006,-0.004,-0.009,1.002
0.009,-0.004,-0.009,1.002
0.011,-0.002,-0.010,1.001
0.014,-0.004,-0.011,1.001
0.016,-0.002,-0.010,1.003
0.018,-0.003,-0.011,1.003
0.021,-0.004,-0.012,1.002
0.023,-0.003,-0.011,1.003
0.026,-0.002,-0.012,1.003
0.028,-0.003,-0.011,1.002
0.030,-0.003,-0.012,1.003
0.033,-0.004,-0.012,1.000
0.035,-0.004,-0.013,1.001
0.038,-0.002,-0.012,1.001
0.040,-0.004,-0.011,1.003
0.042,-0.004,-0.013,1.003
0.045,-0.005,-0.016,1.000
0.047,-0.006,-0.025,1.000
0.050,-0.011,-0.041,1.001
0.052,-0.021,-0.056,1.000
0.057,-0.028,-0.071,0.998
0.057,-0.029,-0.094,0.994
0.059,-0.021,-0.093,0.998
0.062,-0.016,-0.088,0.999
0.064,-0.010,-0.073,1.000
0.067,-0.008,-0.070,1.003
0.069,-0.006,-0.070,0.998
0.071,-0.006,-0.064,1.003
0.073,-0.006,-0.068,1.003
0.077,-0.005,-0.078,0.998
0.079,-0.004,-0.078,0.991
0.081,-0.021,-0.103,0.967
0.084,-0.007,-0.091,0.989
0.086,-0.005,-0.097,0.991
0.089,-0.012,-0.111,0.989
0.091,-0.008,-0.121,1.005
0.093,-0.006,-0.117,1.025
0.095,-0.001,-0.124,1.023
0.098,0.001,-0.130,1.034
0.100,0.004,-0.140,1.006
0.103,-0.003,-0.141,0.976
0.106,-0.006,-0.137,0.987
0.107,-0.007,-0.120,1.002
0.111,-0.008,-0.100,1.003
0.112,-0.008,-0.077,1.018
0.115,-0.004,-0.041,1.016
0.117,0.001,-0.023,0.996
0.119,0.007,-0.042,0.988
0.123,0.002,-0.074,1.022
0.124,-0.016,-0.099,1.021
0.127,-0.014,-0.098,0.978
0.129,-0.005,-0.107,0.973
0.131,-0.007,-0.109,0.981
0.134,-0.008,-0.103,0.996
0.137,-0.003,-0.101,1.008
0.139,0.009,-0.110,1.038
0.141,0.006,-0.100,1.011
0.151,-0.001,-0.089,0.968
0.151,-0.009,-0.072,0.983
0.151,-0.007,-0.042,0.993
0.151,0.000,-0.053,1.008
0.153,-0.003,-0.070,1.015
0.156,-0.022,-0.054,1.004
0.158,-0.011,-0.052,0.980
0.161,-0.005,-0.067,1.045
0.163,-0.012,-0.083,0.987
0.165,-0.010,-0.063,0.986
0.168,-0.003,-0.084,1.012
0.170,-0.005,-0.099,1.025
0.172,-0.001,-0.112,1.006
0.175,0.001,-0.109,0.990
0.178,0.005,-0.096,1.008
0.180,0.004,-0.109,1.023
0.182,0.006,-0.139,0.957
0.184,0.002,-0.147,0.986
0.187,0.021,-0.138,1.066
0.190,0.020,-0.166,0.944
0.192,0.016,-0.199,1.023
0.195,0.013,-0.179,1.032
