time,x,y,z
0.006,0.000,-0.010,1.000
0.006,-0.001,-0.011,1.000
0.006,-0.001,-0.011,1.000
0.007,0.001,-0.011,1.002
0.011,-0.002,-0.011,1.000
0.012,0.001,-0.011,0.999
0.015,-0.000,-0.010,1.001
0.017,0.001,-0.010,1.002
0.019,-0.002,-0.009,1.003
0.022,-0.001,-0.011,1.002
0.025,-0.000,-0.010,1.000
0.026,-0.000,-0.011,1.000
0.029,-0.000,-0.010,1.002
0.031,0.000,-0.012,1.001
0.034,-0.001,-0.011,1.001
0.036,0.000,-0.012,1.001
0.038,-0.001,-0.012,1.000
0.041,-0.000,-0.011,1.001
0.046,-0.002,-0.011,1.002
0.046,-0.002,-0.010,1.003
0.048,-0.000,-0.010,1.002
0.051,-0.001,-0.012,1.002
0.053,0.000,-0.009,1.002
0.056,-0.001,-0.011,1.002
0.058,0.000,-0.012,1.001
0.060,0.000,-0.011,1.001
0.063,-0.000,-0.009,1.001
0.065,0.000,-0.011,1.002
0.068,0.002,-0.009,1.001
0.070,-0.001,-0.009,1.001
0.072,-0.000,-0.012,1.000
0.075,-0.000,-0.011,1.000
0.078,-0.001,-0.010,1.001
0.080,-0.000,-0.010,1.000
0.083,0.001,-0.011,1.001
0.084,0.001,-0.010,1.001
0.087,0.000,-0.008,1.001
0.090,-0.001,-0.010,1.002
0.091,-0.000,-0.010,1.000
0.094,-0.002,-0.010,0.999
0.096,-0.001,-0.012,1.001
0.099,-0.001,-0.010,1.002
0.101,-0.001,-0.010,1.003
0.104,-0.000,-0.011,1.001
0.106,-0.000,-0.010,1.000
0.108,0.001,-0.010,1.003
0.112,0.001,-0.011,1.001
0.113,0.002,-0.011,1.001
0.116,0.001,-0.011,1.003
0.118,0.001,-0.010,1.002
0.120,0.001,-0.011,1.002
0.123,-0.000,-0.011,1.002
0.125,0.000,-0.011,1.003
0.128,0.000,-0.012,1.002
0.130,0.001,-0.011,1.000
0.135,0.001,-0.010,1.002
0.136,0.001,-0.009,1.000
0.138,0.001,-0.010,1.002
0.140,-0.000,-0.011,1.002
0.142,-0.000,-0.009,1.001
0.145,-0.001,-0.011,1.000
0.147,0.000,-0.010,1.002
0.149,0.001,-0.012,1.001
0.152,-0.000,-0.010,1.001
0.154,-0.002,-0.009,1.002
0.157,-0.001,-0.011,1.003
0.159,0.000,-0.011,1.001
0.161,0.001,-0.011,0.999
0.164,0.002,-0.011,1.002
0.167,0.000,-0.011,1.002
0.169,-0.001,-0.010,1.002
0.171,-0.000,-0.012,1.002
0.173,-0.000,-0.013,1.001
0.177,-0.000,-0.011,1.005
0.178,0.000,-0.012,1.002
0.181,-0.001,-0.013,1.002
0.183,0.001,-0.020,1.001
0.185,0.003,-0.036,0.998
0.188,0.005,-0.046,1.000
0.191,0.011,-0.096,1.004
0.193,0.019,-0.157,0.997
0.195,0.018,-0.151,0.997
0.197,0.015,-0.108,1.002
0.201,0.010,-0.080,1.002
0.202,0.007,-0.061,1.001
0.205,0.005,-0.040,1.004
0.207,0.001,-0.035,0.997
0.209,-0.002,-0.035,1.005
0.212,-0.001,-0.048,1.000
0.214,0.003,-0.056,1.001
0.217,0.002,-0.073,1.004
0.219,0.004,-0.080,1.002
0.221,0.005,-0.093,0.999
0.224,0.003,-0.106,1.000
0.226,-0.002,-0.117,0.997
0.229,-0.009,-0.117,0.994
0.231,-0.016,-0.113,0.996
0.234,-0.043,-0.145,0.978
0.236,-0.046,-0.133,1.033
0.238,-0.035,-0.114,0.994
0.241,-0.034,-0.122,0.990
0.243,-0.032,-0.151,1.024
0.246,-0.015,-0.236,1.009
0.248,-0.020,-0.278,0.964
0.250,-0.041,-0.263,0.985
0.253,-0.050,-0.256,1.038
0.255,-0.039,-0.226,1.009
0.258,-0.040,-0.216,0.982
0.260,-0.036,-0.193,1.004
0.263,-0.031,-0.184,1.011
0.265,-0.020,-0.181,0.987
0.268,-0.021,-0.169,0.997
0.270,-0.011,-0.169,1.004
0.272,-0.007,-0.182,0.983
0.274,-0.002,-0.171,1.009
0.278,0.003,-0.179,1.011
0.279,-0.005,-0.185,0.993
0.282,0.003,-0.148,1.036
0.284,0.005,-0.160,0.902
0.286,0.020,-0.127,1.070
0.289,0.015,-0.115,0.975
0.292,0.012,-0.114,0.974
0.294,0.011,-0.136,1.030
0.296,0.023,-0.127,0.993
0.298,0.023,-0.132,0.981
0.302,0.023,-0.138,1.028
0.303,0.023,-0.147,0.956
0.306,0.021,-0.115,1.078
0.308,0.027,-0.108,0.895
0.310,0.025,-0.123,1.051
0.313,0.012,-0.149,0.962
0.315,0.010,-0.148,1.039
0.320,0.016,-0.141,1.010
0.320,0.017,-0.120,0.934
0.323,0.023,-0.094,1.100
0.325,0.030,-0.104,0.906
0.328,0.010,-0.118,1.009
0.330,0.020,-0.112,1.099
0.332,0.027,-0.111,0.853
0.335,0.020,-0.057,1.168
0.337,0.037,-0.088,0.914
0.340,0.036,-0.111,0.953
0.342,0.035,-0.096,1.110
0.344,0.046,-0.086,0.914
0.347,0.041,-0.089,1.023
0.349,0.036,-0.098,1.068
0.352,0.025,-0.116,0.886
0.354,0.013,-0.132,1.104
0.356,0.019,-0.155,0.947
0.359,0.024,-0.140,1.011
0.361,0.012,-0.131,1.020
0.364,0.019,-0.141,0.950
0.366,0.015,-0.099,1.078
0.369,0.020,-0.133,0.952
0.371,0.010,-0.143,0.977
0.373,0.014,-0.141,1.007
0.376,0.010,-0.165,0.987
0.378,0.007,-0.135,1.091
0.381,0.007,-0.127,0.944
0.383,-0.000,-0.160,0.898
0.385,-0.013,-0.126,1.160
0.388,-0.004,-0.132,0.947
0.393,-0.009,-0.115,0.926
0.393,-0.017,-0.121,1.078
0.395,-0.029,-0.132,0.952
0.397,-0.032,-0.142,1.050
0.401,-0.023,-0.135,0.961
0.403,-0.020,-0.132,1.001
0.405,-0.023,-0.144,1.020
0.407,-0.022,-0.155,0.971
0.409,-0.032,-0.155,1.060
0.412,-0.028,-0.168,0.907
0.414,-0.032,-0.173,1.111
0.417,-0.020,-0.188,0.908
0.419,-0.037,-0.193,1.036
0.421,-0.019,-0.173,1.052
0.425,-0.027,-0.152,1.011
0.426,-0.023,-0.169,0.883
0.429,-0.014,-0.141,1.161
0.431,0.007,-0.136,0.952
0.433,0.004,-0.101,1.046
0.436,-0.002,-0.112,0.810
0.439,0.008,-0.089,1.128
0.441,0.011,-0.135,0.949
0.443,-0.005,-0.119,1.075
0.446,-0.005,-0.128,0.963
0.448,-0.001,-0.118,1.016
0.450,-0.009,-0.123,0.972
0.453,-0.016,-0.081,1.052
0.455,-0.011,-0.098,0.911
0.459,-0.016,-0.069,1.086
0.460,-0.025,-0.104,0.943
0.462,-0.021,-0.070,1.058
0.465,-0.003,-0.092,0.943
0.467,-0.019,-0.054,1.016
0.470,-0.004,-0.093,0.961
0.472,-0.003,-0.092,1.091
0.474,0.009,-0.099,0.954
0.477,-0.029,-0.070,0.959
0.479,0.005,-0.067,0.983
0.482,0.008,-0.032,1.081
0.484,0.009,-0.039,1.004
0.486,0.006,0.000,0.995
0.489,-0.013,-0.035,0.937
0.492,-0.009,-0.020,1.082
0.494,0.004,-0.023,0.935
0.496,-0.010,-0.007,1.023
0.498,0.009,-0.026,1.033
0.501,0.009,-0.016,0.997
0.504,0.002,-0.032,1.031
0.506,0.015,-0.025,0.980
0.508,0.010,0.017,1.095
0.510,0.011,-0.030,0.793
0.513,0.002,-0.014,1.100
0.516,0.013,-0.014,1.005
0.518,0.009,-0.014,0.948
0.520,0.007,-0.042,0.956
0.522,-0.003,-0.034,1.056
0.528,-0.003,-0.073,0.931
0.528,0.012,-0.058,1.111
0.530,0.006,-0.089,0.950
0.533,-0.001,-0.066,1.077
0.535,0.004,-0.091,0.889
0.537,0.002,-0.056,1.060
0.539,0.010,-0.073,1.019
0.542,0.000,-0.067,0.964
0.544,-0.004,-0.082,1.019
0.546,-0.007,-0.074,1.024
0.549,-0.013,-0.057,1.015
0.551,-0.013,-0.072,0.932
0.554,-0.020,-0.051,1.076
0.556,-0.009,-0.071,0.922
0.561,-0.016,-0.061,1.055
0.563,-0.017,-0.078,0.912
0.564,-0.022,-0.056,1.083
0.566,-0.004,-0.073,0.956
0.568,-0.015,-0.068,0.990
0.571,-0.020,-0.084,0.973
0.573,-0.030,-0.080,1.090
0.575,-0.034,-0.083,0.947
0.578,-0.033,-0.059,1.019
0.580,-0.032,-0.055,1.022
0.583,-0.029,-0.058,0.949
0.585,-0.026,-0.050,1.076
0.588,-0.023,-0.059,1.011
0.590,-0.021,-0.031,1.061
0.593,-0.022,-0.043,0.940
0.595,-0.031,-0.046,1.010
0.597,-0.022,-0.048,0.979
0.599,-0.032,-0.054,1.026
0.602,-0.047,-0.063,0.961
0.605,-0.056,-0.066,0.951
0.607,-0.052,-0.075,1.029
0.609,-0.033,-0.049,1.017
0.612,-0.047,-0.049,1.062
0.616,-0.042,-0.017,0.982
0.616,-0.051,-0.012,0.949
0.619,-0.038,0.036,1.000
0.622,-0.038,0.025,0.958
0.624,-0.031,0.041,1.139
0.627,-0.026,0.052,0.935
0.628,-0.029,0.067,1.083
0.631,-0.036,0.033,0.916
0.633,-0.020,0.046,1.120
0.636,-0.032,-0.008,0.876
0.640,-0.018,0.033,1.109
0.641,-0.021,-0.020,0.949
0.643,-0.019,-0.004,1.020
0.646,-0.019,-0.012,0.946
0.648,-0.020,-0.011,0.976
0.651,-0.017,-0.042,1.054
0.653,-0.027,-0.045,0.974
0.655,-0.035,-0.051,0.968
0.657,-0.033,-0.027,1.041
0.660,-0.042,-0.051,0.971
0.662,-0.032,-0.040,1.051
0.665,-0.042,-0.038,0.912
0.667,-0.030,-0.007,1.101
0.669,-0.033,-0.019,0.914
0.672,-0.036,-0.006,1.043
0.674,-0.041,-0.013,1.015
0.677,-0.020,-0.006,0.973
0.679,-0.028,-0.002,1.009
0.683,-0.023,0.009,1.039
0.684,-0.029,0.001,0.972
0.686,-0.028,0.026,1.025
0.689,-0.037,0.020,0.970
0.691,-0.044,0.002,1.038
0.694,-0.043,0.016,0.965
0.696,-0.045,0.012,1.006
0.698,-0.045,0.011,1.032
0.701,-0.049,0.010,0.987
0.703,-0.045,0.013,0.970
0.706,-0.042,0.048,1.114
0.708,-0.040,0.033,0.891
0.710,-0.050,0.065,1.093
0.713,-0.051,0.050,0.934
0.716,-0.042,0.081,1.051
0.718,-0.039,0.075,0.971
0.720,-0.037,0.090,1.006
0.724,-0.036,0.079,0.922
0.725,-0.037,0.099,1.109
0.728,-0.007,0.105,1.021
0.730,0.003,0.119,0.907
0.732,-0.004,0.122,1.042
0.734,-0.005,0.114,1.050
0.740,-0.001,0.110,0.947
0.741,0.007,0.103,1.018
0.742,0.005,0.104,0.994
0.744,0.010,0.115,1.036
0.747,-0.001,0.088,0.980
0.749,0.004,0.112,0.972
0.751,-0.007,0.080,1.008
0.754,-0.004,0.084,1.052
0.757,-0.011,0.067,0.918
0.758,-0.007,0.086,1.084
0.761,-0.001,0.090,0.960
0.763,-0.003,0.106,1.003
0.766,0.005,0.127,0.988
0.768,0.001,0.141,0.980
0.773,0.009,0.157,1.013
0.774,0.016,0.172,1.084
0.775,0.017,0.172,0.996
0.778,0.020,0.177,0.979
0.780,0.021,0.195,1.011
0.783,0.028,0.198,0.982
0.785,0.032,0.211,1.020
0.787,0.030,0.203,1.027
0.790,0.036,0.194,1.009
0.793,0.032,0.183,0.976
0.795,0.037,0.189,0.989
0.797,0.039,0.193,1.054
0.802,0.049,0.200,0.995
0.807,0.053,0.214,1.002
0.807,0.060,0.218,0.967
0.807,0.054,0.216,0.997
0.809,0.065,0.230,1.040
0.812,0.073,0.246,1.002
0.815,0.081,0.262,1.032
0.817,0.094,0.282,1.011
0.819,0.084,0.264,0.974
0.821,0.069,0.258,1.011
0.824,0.084,0.267,0.966
0.826,0.083,0.270,1.040
0.829,0.090,0.269,1.023
0.831,0.097,0.271,0.988
0.833,0.101,0.270,1.013
0.835,0.099,0.263,1.034
0.839,0.099,0.248,1.001
0.841,0.104,0.262,1.004
0.843,0.108,0.256,1.017
0.845,0.103,0.234,0.998
0.848,0.113,0.240,1.009
0.850,0.121,0.244,1.016
0.853,0.114,0.225,0.987
0.855,0.115,0.209,1.017
0.857,0.111,0.183,0.979
0.860,0.120,0.186,0.999
0.863,0.126,0.200,1.012
0.865,0.129,0.187,1.005
0.867,0.137,0.191,1.029
0.869,0.145,0.175,0.997
0.872,0.143,0.152,0.991
0.874,0.140,0.134,0.987
0.877,0.131,0.131,1.017
0.879,0.127,0.127,1.024
0.881,0.133,0.132,1.005
0.884,0.136,0.126,0.983
0.886,0.134,0.107,1.012
0.889,0.139,0.081,1.013
0.891,0.139,0.069,1.000
0.895,0.140,0.062,1.004
0.896,0.149,0.056,0.991
0.898,0.166,0.054,1.007
0.901,0.187,0.048,1.006
0.903,0.194,0.039,1.012
0.906,0.194,0.035,1.003
0.908,0.204,0.029,1.003
0.911,0.222,0.029,1.003
0.913,0.236,0.028,1.002
0.915,0.238,0.033,1.040
0.918,0.258,0.031,0.959
0.921,0.256,0.028,1.019
0.922,0.277,0.031,1.038
0.925,0.291,0.032,0.968
0.929,0.288,0.031,1.009
0.930,0.298,0.022,0.992
0.932,0.312,0.017,1.015
0.934,0.310,0.016,1.027
0.937,0.306,0.018,0.993
0.940,0.287,0.012,0.994
0.942,0.257,-0.001,1.021
0.944,0.266,0.001,0.989
0.946,0.244,-0.003,1.008
0.949,0.270,-0.000,0.974
0.951,0.258,-0.003,1.030
0.954,0.260,-0.009,1.008
0.956,0.234,-0.019,1.020
0.959,0.211,-0.029,0.983
0.963,0.220,-0.027,0.995
0.963,0.209,-0.034,1.050
0.966,0.207,-0.035,0.951
0.968,0.198,-0.035,1.018
0.970,0.191,-0.027,1.029
0.973,0.200,-0.018,0.991
0.976,0.213,-0.006,0.997
0.978,0.225,0.008,0.977
0.980,0.241,0.019,1.015
0.983,0.234,0.029,1.070
0.985,0.231,0.033,0.989
0.987,0.212,0.037,0.954
0.990,0.178,0.031,1.065
0.992,0.215,0.038,0.951
0.995,0.212,0.042,1.024
0.997,0.239,0.057,1.003
0.999,0.196,0.044,1.048
1.002,0.205,0.041,0.948
1.004,0.216,0.038,1.005
1.007,0.210,0.037,1.042
1.009,0.245,0.045,0.963
1.012,0.235,0.035,1.053
1.014,0.274,0.039,0.954
1.016,0.274,0.035,1.034
1.019,0.242,0.023,1.033
1.021,0.241,0.023,0.946
1.023,0.227,0.017,1.040
1.026,0.213,0.010,1.018
1.029,0.213,0.020,0.997
1.031,0.212,0.021,1.009
1.033,0.189,0.012,1.003
1.035,0.173,0.010,0.986
1.038,0.183,0.016,0.992
1.043,0.157,0.007,1.026
1.043,0.146,0.006,0.950
1.046,0.107,-0.005,1.040
1.048,0.130,-0.001,0.990
1.051,0.126,-0.005,1.003
1.052,0.138,-0.007,0.979
1.055,0.091,-0.025,1.047
1.057,0.094,-0.018,0.935
1.061,0.098,-0.015,1.067
1.063,0.081,-0.022,0.979
1.064,0.095,-0.014,0.995
1.067,0.095,-0.019,1.024
1.069,0.096,-0.016,0.970
1.071,0.096,-0.015,0.981
1.075,0.062,-0.017,1.071
1.077,0.081,-0.011,0.976
1.079,0.083,-0.009,1.006
1.081,0.066,-0.020,0.981
1.085,0.041,-0.022,1.050
1.086,0.064,-0.011,1.010
1.088,0.060,-0.007,0.966
1.091,0.045,-0.015,1.051
1.093,0.065,-0.008,0.972
1.096,0.073,-0.009,1.014
1.098,0.074,-0.006,1.009
1.101,0.092,-0.006,0.962
1.103,0.046,-0.023,1.062
1.105,0.048,-0.011,0.977
1.108,0.057,-0.012,0.971
1.110,0.051,-0.015,1.028
1.112,0.037,-0.024,1.007
1.115,0.074,-0.017,0.961
1.119,0.055,-0.020,1.031
1.120,0.045,-0.020,0.979
1.123,0.038,-0.017,1.016
1.125,0.041,-0.014,0.994
1.127,0.020,-0.021,1.008
1.130,0.057,-0.010,0.993
1.132,0.054,-0.003,0.977
1.134,-0.007,-0.021,1.093
1.136,0.032,-0.006,0.880
1.139,-0.002,-0.014,1.100
1.142,0.042,0.007,0.937
1.144,0.018,-0.007,1.050
1.146,0.045,-0.001,0.964
1.149,0.005,-0.011,1.028
1.153,0.030,-0.007,1.017
1.154,0.071,-0.004,0.987
1.156,0.071,-0.015,1.020
1.158,0.085,-0.021,0.985
1.161,0.050,-0.036,1.070
1.164,0.037,-0.047,0.929
1.166,0.018,-0.043,0.999
1.168,0.013,-0.038,1.063
1.170,0.019,-0.025,0.983
1.173,0.015,-0.024,0.966
1.176,0.012,-0.025,0.986
1.178,-0.004,-0.029,1.064
1.180,0.022,-0.023,0.939
1.182,-0.019,-0.024,1.045
1.187,-0.023,-0.028,0.958
1.188,-0.040,-0.022,1.041
1.190,-0.013,-0.013,1.025
1.192,0.015,-0.000,0.962
1.195,-0.013,0.001,1.061
1.197,0.014,0.007,0.926
1.199,-0.014,0.005,1.048
1.202,-0.008,0.007,1.043
1.204,0.036,0.021,0.926
1.206,0.015,0.010,1.036
1.209,0.038,0.017,1.018
1.211,0.068,0.031,0.973
1.214,0.071,0.032,0.997
1.216,0.046,0.023,1.023
1.219,-0.003,-0.002,1.012
1.221,0.036,0.011,0.939
1.223,0.017,0.009,1.066
1.226,0.037,0.016,0.961
1.229,0.037,0.008,1.030
1.231,0.016,0.009,1.017
1.233,0.034,0.012,0.913
1.235,-0.048,-0.015,1.073
1.238,0.000,0.001,0.968
1.242,-0.015,-0.007,1.005
1.243,-0.040,-0.013,1.002
1.245,0.007,-0.004,1.016
1.247,0.010,-0.008,1.013
1.250,0.035,0.002,0.939
1.253,-0.020,-0.022,1.077
1.255,-0.029,-0.027,0.971
1.257,-0.030,-0.028,1.013
1.259,-0.042,-0.033,1.025
1.262,-0.016,-0.020,1.008
1.264,0.011,-0.006,0.988
1.267,0.038,0.005,0.993
1.269,0.003,-0.005,1.059
1.273,0.033,-0.001,0.909
1.277,-0.013,-0.018,1.106
