time,x,y,z
0.008,0.000,-0.012,1.002
0.008,0.000,-0.012,1.001
0.008,-0.000,-0.012,1.002
0.008,0.000,-0.012,1.002
0.010,-0.001,-0.011,1.002
0.013,-0.001,-0.012,1.001
0.015,-0.001,-0.012,1.001
0.017,-0.002,-0.012,1.002
0.020,-0.000,-0.012,1.001
0.022,-0.001,-0.012,1.001
0.025,0.000,-0.011,1.000
0.027,0.001,-0.013,1.002
0.029,-0.001,-0.010,1.002
0.032,-0.001,-0.010,1.003
0.034,0.000,-0.011,1.001
0.037,-0.000,-0.011,1.001
0.039,0.001,-0.011,1.003
0.041,-0.000,-0.011,1.003
0.044,0.001,-0.011,1.002
0.046,-0.000,-0.012,1.002
0.050,-0.001,-0.010,1.001
0.051,0.000,-0.010,1.002
0.057,-0.001,-0.011,1.001
0.057,-0.001,-0.012,1.001
0.058,0.000,-0.013,1.001
0.061,-0.001,-0.011,1.001
0.063,-0.002,-0.011,1.003
0.066,-0.001,-0.011,1.002
0.068,-0.000,-0.010,1.001
0.070,-0.001,-0.010,1.000
0.073,0.001,-0.010,1.003
0.075,-0.001,-0.011,1.003
0.079,-0.000,-0.010,1.002
0.080,0.000,-0.012,1.000
0.082,0.000,-0.009,1.002
0.085,-0.001,-0.010,1.001
0.087,-0.001,-0.010,1.000
0.090,-0.001,-0.011,1.001
0.092,0.000,-0.012,1.001
0.094,-0.001,-0.011,1.002
0.097,-0.002,-0.009,1.004
0.100,-0.001,-0.010,1.002
0.102,-0.001,-0.010,1.001
0.104,-0.002,-0.007,1.004
0.106,-0.016,0.001,1.003
0.109,-0.048,0.019,0.994
0.112,-0.067,0.049,1.002
0.114,-0.042,0.074,1.004
0.116,-0.005,0.089,1.005
0.118,0.026,0.096,1.007
0.122,0.044,0.103,1.001
0.123,0.057,0.101,1.006
0.126,0.057,0.102,1.008
0.128,0.052,0.108,0.995
0.130,0.046,0.115,1.008
0.133,0.042,0.127,1.006
0.136,0.041,0.134,0.994
0.138,0.034,0.130,1.004
0.141,0.033,0.137,1.006
0.142,0.039,0.153,1.000
0.145,0.042,0.151,1.005
0.147,0.042,0.147,1.004
0.150,0.036,0.142,0.999
0.152,0.031,0.142,0.998
0.162,0.027,0.136,1.015
0.162,0.033,0.136,1.013
0.162,0.035,0.125,0.980
0.162,0.034,0.117,1.006
0.164,0.031,0.116,1.000
0.167,0.028,0.124,1.013
0.169,0.023,0.116,1.032
0.172,0.026,0.097,0.985
0.174,0.023,0.081,0.981
0.176,0.012,0.071,1.037
0.179,0.012,0.067,0.992
0.181,0.011,0.055,0.993
0.184,0.005,0.052,1.011
0.186,0.015,0.052,1.019
0.189,0.025,0.044,0.978
0.192,0.022,0.045,1.000
0.193,0.020,0.043,1.005
0.196,0.020,0.033,1.019
0.199,0.024,0.028,1.009
0.201,0.026,0.038,0.978
0.203,0.025,0.026,1.017
0.205,0.025,0.029,1.021
0.208,0.028,0.048,0.969
0.210,0.031,0.044,1.059
0.213,0.042,0.065,0.968
0.215,0.042,0.060,0.992
0.217,0.046,0.066,1.017
0.220,0.046,0.064,1.011
0.222,0.048,0.069,0.987
0.224,0.033,0.068,0.979
0.227,0.018,0.053,1.051
0.229,0.022,0.062,0.981
0.232,0.014,0.059,0.990
0.235,0.014,0.057,1.045
0.237,0.022,0.064,0.959
0.239,0.020,0.060,1.005
0.241,0.023,0.061,1.064
0.244,0.038,0.077,0.945
0.251,0.030,0.068,1.001
0.251,0.038,0.071,1.045
0.252,0.052,0.083,0.950
0.253,0.040,0.076,1.026
0.257,0.047,0.092,1.000
0.258,0.047,0.093,1.021
0.263,0.057,0.090,0.973
0.263,0.057,0.097,1.033
0.265,0.062,0.110,0.979
0.269,0.057,0.110,1.024
0.270,0.069,0.129,0.958
0.273,0.063,0.111,1.023
0.275,0.063,0.118,1.047
0.277,0.075,0.132,0.936
0.280,0.058,0.111,1.057
0.283,0.064,0.118,0.963
0.285,0.055,0.100,1.017
0.287,0.044,0.102,1.023
0.290,0.052,0.084,0.989
0.292,0.049,0.089,0.976
0.295,0.032,0.079,1.044
0.297,0.044,0.078,0.981
0.299,0.037,0.067,1.026
0.302,0.036,0.065,0.979
0.304,0.035,0.075,1.028
0.306,0.050,0.072,0.944
0.309,0.030,0.061,1.071
0.311,0.044,0.060,1.006
0.314,0.047,0.070,0.944
0.316,0.031,0.063,1.043
0.318,0.040,0.064,0.968
0.321,0.026,0.066,1.040
0.324,0.044,0.082,0.994
0.326,0.027,0.063,1.013
0.328,0.028,0.068,1.003
0.331,0.023,0.052,0.986
0.333,0.020,0.057,1.019
0.335,0.033,0.082,0.994
0.338,0.032,0.089,0.999
0.340,0.029,0.088,0.997
0.343,0.031,0.080,0.989
0.352,0.031,0.077,1.047
0.353,0.048,0.106,0.950
0.353,0.034,0.092,1.040
0.353,0.036,0.092,0.955
0.354,0.016,0.074,1.061
0.357,0.023,0.088,1.007
0.360,0.030,0.099,0.928
0.362,0.009,0.083,1.064
0.364,0.020,0.087,0.950
0.367,0.010,0.081,1.060
0.369,0.018,0.079,0.997
0.372,0.017,0.063,0.944
0.374,0.009,0.056,0.999
0.376,0.004,0.040,1.044
0.379,0.019,0.063,1.069
0.381,0.045,0.080,0.891
0.383,0.023,0.055,1.045
0.386,0.028,0.050,1.056
0.388,0.038,0.068,0.943
0.391,0.026,0.040,0.992
0.393,0.026,0.056,1.058
0.395,0.035,0.060,0.964
0.398,0.035,0.062,0.967
0.400,0.017,0.049,1.067
0.403,0.027,0.037,1.026
0.405,0.034,0.061,0.911
0.407,0.019,0.049,1.075
0.410,0.026,0.049,1.018
0.413,0.027,0.063,0.973
0.415,0.016,0.060,1.005
0.417,0.019,0.058,1.005
0.420,0.020,0.052,1.013
0.422,0.024,0.056,0.995
0.425,0.023,0.056,0.979
0.427,0.013,0.038,1.024
0.429,0.011,0.046,1.006
0.432,0.017,0.033,0.957
0.434,0.005,0.031,1.047
0.437,0.007,0.004,1.029
0.439,0.025,0.033,0.931
0.441,0.012,0.002,1.036
0.443,0.025,0.014,0.967
0.449,0.024,-0.001,1.002
0.450,0.026,-0.010,1.085
0.451,0.051,-0.012,0.879
0.453,0.010,-0.033,1.087
0.457,0.034,-0.034,1.034
0.459,0.050,-0.013,0.878
0.461,0.015,-0.050,1.127
0.463,0.046,-0.006,0.963
0.465,0.052,0.005,0.945
0.468,0.038,-0.004,1.043
0.470,0.038,0.005,1.022
0.473,0.061,0.035,0.948
0.475,0.039,0.038,1.079
0.477,0.045,0.050,0.990
0.481,0.055,0.062,0.929
0.482,0.038,0.056,1.063
0.485,0.048,0.072,0.948
