time,x,y,z
0.008,0.008,-0.002,1.001
0.008,0.007,-0.003,1.000
0.008,0.008,-0.005,0.999
0.008,0.005,-0.006,0.999
0.011,0.007,-0.012,1.007
0.013,0.002,-0.018,0.997
0.016,0.001,-0.019,1.001
0.018,0.001,-0.020,1.001
0.020,-0.002,-0.022,0.999
0.023,-0.003,-0.024,1.001
0.025,-0.005,-0.024,1.000
0.027,-0.006,-0.024,1.002
0.030,-0.006,-0.022,1.001
0.034,-0.006,-0.021,1.001
0.038,-0.006,-0.015,1.000
0.039,-0.006,-0.013,1.002
0.039,-0.005,-0.008,1.003
0.042,-0.003,-0.005,1.005
0.045,0.001,-0.003,1.005
0.047,0.003,-0.002,1.005
0.050,0.002,-0.000,1.005
0.052,0.005,-0.001,1.007
0.054,0.006,-0.001,1.005
0.057,0.006,-0.001,1.005
0.059,0.008,-0.001,1.005
0.061,0.008,-0.003,1.001
0.064,0.009,-0.008,1.002
0.067,0.007,-0.010,1.000
0.069,0.006,-0.013,1.000
0.071,0.004,-0.017,1.000
0.073,0.000,-0.019,0.997
0.076,-0.001,-0.021,1.001
0.079,-0.001,-0.026,0.999
0.081,-0.004,-0.024,0.998
0.083,-0.004,-0.026,0.999
0.085,-0.007,-0.023,1.002
0.088,-0.007,-0.022,1.000
0.090,-0.005,-0.019,1.000
0.093,-0.006,-0.015,1.001
0.095,-0.005,-0.009,1.005
0.097,-0.004,-0.007,1.004
0.101,-0.002,-0.004,1.006
0.102,0.001,-0.001,1.005
0.105,0.001,-0.000,1.007
0.107,0.004,0.001,1.008
0.109,0.005,-0.001,1.006
0.112,0.006,-0.001,1.004
0.114,0.007,-0.002,1.002
0.117,0.007,-0.003,1.003
0.119,0.008,-0.007,1.001
0.121,0.007,-0.009,0.998
0.124,0.007,-0.010,1.000
0.126,0.005,-0.014,1.000
0.130,0.003,-0.017,0.999
0.131,0.002,-0.020,1.001
0.134,-0.000,-0.023,0.999
0.136,-0.003,-0.023,1.000
0.138,-0.005,-0.024,1.002
0.141,-0.004,-0.024,1.001
0.143,-0.006,-0.023,1.002
0.146,-0.007,-0.021,1.002
0.148,-0.006,-0.017,1.004
0.150,-0.008,-0.012,1.005
0.153,-0.005,-0.010,1.006
0.155,-0.003,-0.007,1.004
0.158,-0.001,-0.004,1.006
0.160,0.001,-0.003,1.007
0.163,0.002,-0.001,1.007
0.165,0.002,-0.000,1.005
0.168,0.004,0.001,1.003
0.170,0.006,-0.000,1.003
0.172,0.008,-0.002,1.003
0.174,0.007,-0.003,1.003
0.177,0.008,-0.004,1.001
0.179,0.007,-0.008,1.000
0.182,0.008,-0.010,0.999
0.188,0.005,-0.012,0.998
0.188,0.006,-0.016,0.999
0.189,0.005,-0.013,1.000
0.191,0.004,-0.012,1.001
0.194,0.010,-0.004,1.000
0.196,0.042,0.051,1.002
0.199,0.104,0.166,1.003
0.202,0.157,0.279,1.008
0.203,0.163,0.311,1.011
0.206,0.143,0.311,1.015
0.208,0.114,0.296,1.003
0.211,0.079,0.262,1.010
0.213,0.043,0.233,1.004
0.215,0.016,0.205,0.992
0.218,-0.007,0.172,1.018
0.220,-0.026,0.122,1.003
0.222,-0.031,0.090,1.010
0.225,-0.014,0.091,1.001
0.227,-0.013,0.058,1.013
0.230,-0.002,0.042,0.995
0.232,0.011,0.051,1.025
0.235,0.019,0.059,0.989
0.237,0.018,0.062,0.986
0.239,0.014,0.057,1.006
0.242,0.011,0.061,1.030
0.244,0.019,0.086,0.983
0.247,0.012,0.102,0.993
0.249,0.013,0.115,1.033
0.251,0.010,0.126,0.983
0.254,-0.002,0.108,0.984
0.256,-0.003,0.114,1.035
0.259,0.007,0.135,0.981
0.261,0.003,0.148,1.005
0.263,0.015,0.157,1.007
0.266,0.022,0.146,1.019
0.269,0.025,0.140,1.020
0.272,0.033,0.146,0.988
0.273,0.025,0.145,1.020
0.275,0.029,0.133,0.987
0.278,0.034,0.129,1.008
0.281,0.039,0.157,1.011
0.283,0.048,0.187,1.002
0.285,0.039,0.180,1.046
0.287,0.042,0.195,0.983
0.290,0.039,0.183,0.995
0.292,0.034,0.178,1.023
0.295,0.024,0.161,0.980
0.297,0.027,0.158,1.020
0.300,0.044,0.149,1.003
0.304,0.028,0.098,0.994
0.304,0.037,0.094,0.966
0.307,0.045,0.091,1.050
0.309,0.037,0.078,0.983
0.312,0.048,0.056,0.994
0.314,0.089,0.081,1.021
0.316,0.056,0.056,1.010
0.319,0.030,0.054,0.955
0.321,0.004,0.072,1.043
0.324,0.009,0.071,0.977
0.326,0.026,0.072,1.042
0.328,0.056,0.120,0.974
0.331,0.071,0.169,0.983
0.333,0.043,0.141,1.109
0.336,0.041,0.167,0.936
0.338,0.007,0.148,1.014
0.341,0.005,0.158,1.014
0.343,0.008,0.169,0.966
0.345,-0.009,0.153,1.060
0.348,0.002,0.186,0.941
0.350,-0.008,0.160,1.069
0.354,-0.008,0.137,0.959
0.355,-0.005,0.129,1.039
0.358,0.001,0.140,1.002
0.360,-0.003,0.131,1.000
0.362,0.012,0.127,1.013
0.365,0.002,0.113,0.991
0.367,0.015,0.135,1.005
0.370,0.022,0.133,0.999
0.372,0.024,0.124,1.015
0.374,0.026,0.142,1.010
0.377,0.016,0.115,1.000
0.379,0.013,0.088,1.003
0.382,0.005,0.095,1.012
0.384,0.013,0.079,0.994
0.386,0.007,0.087,1.042
0.389,0.016,0.072,0.949
0.392,0.015,0.106,1.026
0.394,0.017,0.071,1.011
0.396,0.023,0.101,0.990
0.398,0.019,0.078,0.992
0.401,0.023,0.078,1.041
0.404,0.050,0.120,0.908
0.406,0.037,0.099,1.133
0.408,0.063,0.114,0.921
0.410,0.040,0.094,1.041
0.414,0.052,0.112,0.980
0.416,0.036,0.090,1.004
0.418,0.034,0.087,1.036
0.421,0.032,0.097,0.941
