time,x,y,z
0.008,0.007,-0.022,1.000
0.008,0.005,-0.021,1.002
0.009,0.005,-0.020,1.001
0.009,0.005,-0.022,1.003
0.011,0.007,-0.024,1.001
0.013,0.008,-0.026,1.004
0.015,0.010,-0.024,1.004
0.018,0.007,-0.024,1.001
0.021,0.006,-0.023,1.002
0.023,0.001,-0.011,1.006
0.025,-0.003,-0.010,0.997
0.027,-0.001,-0.010,1.001
0.029,0.000,-0.012,1.003
0.032,-0.001,-0.010,1.001
0.034,0.002,-0.011,1.003
0.037,-0.000,-0.010,1.004
0.040,0.000,-0.012,1.001
0.042,-0.001,-0.012,1.001
0.044,0.001,-0.012,1.003
0.046,-0.000,-0.011,1.002
0.049,-0.001,-0.011,1.004
0.052,-0.001,-0.012,1.003
0.054,0.000,-0.010,1.001
0.056,0.002,-0.008,1.003
0.059,0.001,0.001,1.004
0.061,-0.001,0.012,1.003
0.063,-0.001,0.018,1.002
0.066,-0.003,0.027,1.001
0.068,-0.001,0.050,1.001
0.070,0.002,0.075,1.003
0.073,0.010,0.102,1.004
0.075,0.017,0.127,1.005
0.078,0.024,0.142,1.007
0.080,0.037,0.158,1.007
0.083,0.051,0.171,1.008
0.085,0.068,0.188,1.002
0.088,0.079,0.194,1.004
0.090,0.094,0.202,1.013
0.092,0.103,0.230,1.003
0.095,0.100,0.237,1.004
0.097,0.092,0.220,1.011
0.099,0.086,0.211,0.996
0.102,0.083,0.231,1.024
0.104,0.072,0.229,1.010
0.107,0.072,0.247,0.977
0.109,0.054,0.224,1.021
0.112,0.050,0.233,1.020
0.114,0.053,0.225,0.989
0.116,0.048,0.213,0.980
0.118,0.051,0.227,1.037
0.123,0.060,0.232,1.022
0.124,0.065,0.220,0.963
0.126,0.053,0.201,0.987
0.128,0.048,0.185,1.030
0.131,0.054,0.197,1.025
0.133,0.064,0.188,0.981
0.136,0.075,0.215,0.995
0.138,0.070,0.177,1.052
0.141,0.089,0.179,0.966
0.146,0.094,0.189,0.979
0.146,0.087,0.171,1.054
0.148,0.113,0.196,0.979
0.150,0.114,0.185,1.006
0.152,0.117,0.204,1.015
0.155,0.117,0.189,1.003
0.157,0.117,0.194,0.957
0.160,0.098,0.171,1.077
0.162,0.103,0.194,1.015
0.164,0.099,0.176,0.996
0.167,0.096,0.191,1.004
0.169,0.080,0.182,1.015
0.172,0.068,0.167,0.973
0.174,0.058,0.165,1.074
0.178,0.060,0.169,0.944
0.179,0.043,0.142,1.034
0.181,0.043,0.136,0.978
0.184,0.029,0.122,1.072
0.186,0.041,0.112,0.907
0.189,0.009,0.063,1.022
0.191,0.017,0.076,1.064
0.193,0.022,0.055,0.938
0.196,0.011,0.040,1.013
0.198,0.010,0.011,1.055
0.201,0.009,0.000,0.928
0.203,-0.002,-0.007,1.005
0.205,-0.004,-0.010,1.077
0.208,0.011,0.005,1.014
0.211,0.030,-0.008,0.930
0.213,0.005,-0.019,1.000
0.215,0.005,-0.017,1.057
0.217,0.019,-0.000,0.963
0.220,0.018,0.007,1.054
0.222,0.039,0.043,0.927
0.225,0.017,0.016,1.052
0.227,0.032,0.049,1.022
0.230,0.048,0.057,0.959
0.232,0.029,0.037,1.036
0.234,0.054,0.051,0.957
0.237,0.057,0.077,1.014
0.239,0.063,0.076,1.074
0.241,0.085,0.081,0.930
0.246,0.079,0.083,1.001
0.246,0.088,0.101,1.062
0.249,0.114,0.154,0.940
0.251,0.097,0.114,1.035
0.253,0.111,0.162,0.986
0.256,0.119,0.145,1.024
0.258,0.106,0.149,1.001
0.261,0.100,0.142,0.985
0.264,0.093,0.146,1.018
0.265,0.096,0.137,0.999
0.268,0.091,0.146,1.005
0.270,0.098,0.158,0.998
0.273,0.089,0.143,1.034
0.275,0.090,0.156,0.990
0.279,0.086,0.150,1.034
0.280,0.075,0.152,0.997
0.282,0.061,0.127,0.978
0.285,0.052,0.117,1.007
0.287,0.044,0.114,0.984
0.290,0.036,0.067,1.008
0.292,0.055,0.070,0.880
0.294,0.002,0.045,1.126
0.298,0.038,0.065,1.038
0.299,0.040,0.018,0.911
0.302,0.024,0.063,1.100
0.304,0.048,0.068,1.036
0.306,0.039,0.039,0.974
0.309,0.040,0.074,1.069
0.312,0.041,0.063,0.951
0.316,0.020,0.044,0.901
0.316,-0.024,0.017,1.110
0.318,-0.008,-0.000,0.964
0.321,-0.019,0.013,0.964
0.323,-0.042,-0.043,1.055
0.326,-0.034,-0.040,1.020
0.328,-0.021,-0.030,0.966
0.330,-0.038,-0.041,1.074
0.333,-0.013,-0.044,0.930
0.336,-0.031,-0.039,1.091
0.338,-0.004,-0.041,0.902
0.340,-0.023,-0.034,1.010
0.342,-0.013,-0.070,1.026
0.347,-0.000,-0.054,0.975
0.347,-0.004,-0.052,1.020
0.350,0.003,-0.066,1.053
0.352,0.032,-0.037,0.937
0.355,0.019,-0.056,0.998
0.357,0.025,-0.039,1.066
0.360,0.048,-0.007,0.982
0.362,0.052,0.009,0.976
0.364,0.034,-0.022,1.008
0.367,0.032,-0.005,1.059
0.369,0.044,0.005,0.901
0.371,0.030,0.002,1.023
0.374,0.043,0.021,0.978
0.376,0.034,0.015,1.030
0.379,0.041,0.030,1.036
0.381,0.032,0.036,0.966
0.384,0.029,0.042,1.008
0.386,0.028,0.029,0.971
0.388,0.006,0.029,1.034
0.391,-0.008,0.021,0.962
0.393,-0.019,0.019,1.020
0.396,-0.032,0.026,1.031
0.399,-0.023,0.012,0.981
0.401,-0.037,0.013,1.067
0.403,-0.023,0.016,0.993
0.405,-0.022,0.008,0.923
0.408,-0.048,-0.016,1.106
0.410,-0.017,0.005,1.000
0.413,-0.016,0.002,0.944
0.415,-0.031,-0.023,1.068
0.417,-0.024,-0.023,0.957
0.419,-0.029,-0.037,0.983
0.422,-0.024,-0.021,1.050
0.425,-0.026,-0.021,0.953
0.427,-0.045,-0.035,1.101
0.429,-0.039,-0.030,0.907
0.433,-0.070,-0.083,1.026
0.436,-0.067,-0.087,1.033
0.437,-0.061,-0.092,0.941
0.439,-0.084,-0.135,1.043
0.441,-0.067,-0.121,1.001
0.444,-0.066,-0.153,1.034
0.446,-0.062,-0.149,0.924
0.449,-0.064,-0.158,1.023
0.451,-0.059,-0.165,1.001
0.453,-0.038,-0.147,0.990
0.457,-0.032,-0.153,1.026
0.458,-0.006,-0.146,0.944
0.461,0.001,-0.118,1.015
0.463,0.013,-0.128,1.053
0.466,0.035,-0.102,0.907
0.469,0.023,-0.114,1.049
0.470,0.055,-0.084,0.964
0.473,0.057,-0.065,0.988
0.475,0.057,-0.069,1.110
0.477,0.083,-0.045,0.919
0.480,0.055,-0.080,1.028
0.482,0.058,-0.059,0.961
0.485,0.060,-0.048,1.057
0.487,0.081,-0.029,0.937
0.489,0.062,-0.052,1.028
0.492,0.058,-0.050,1.051
0.494,0.072,-0.020,0.945
0.497,0.032,-0.037,1.034
0.499,0.034,-0.037,0.998
0.503,0.048,0.005,0.994
0.504,0.041,-0.016,1.039
0.506,0.041,-0.009,1.003
0.509,0.034,0.011,0.987
0.511,0.018,-0.002,0.958
0.514,-0.006,-0.034,1.066
0.516,0.014,-0.011,0.974
0.518,-0.014,-0.023,1.054
0.521,0.006,-0.004,0.963
0.523,-0.006,-0.005,0.955
0.526,-0.028,-0.019,1.053
0.528,-0.021,-0.026,0.988
0.530,-0.033,-0.048,0.932
0.533,-0.073,-0.099,1.106
0.536,-0.037,-0.076,0.919
0.538,-0.061,-0.108,1.027
0.540,-0.046,-0.101,1.024
0.542,-0.041,-0.123,0.987
0.545,-0.037,-0.113,0.964
0.547,-0.046,-0.126,1.063
0.550,-0.018,-0.104,0.959
0.552,-0.037,-0.106,1.006
0.557,-0.032,-0.112,1.028
0.557,-0.002,-0.069,0.980
0.560,-0.008,-0.074,1.018
0.562,0.003,-0.053,0.984
0.564,0.001,-0.046,1.093
0.567,0.026,-0.027,0.913
0.570,0.005,-0.023,1.047
0.571,0.030,-0.001,0.953
0.574,-0.009,-0.032,1.005
0.576,-0.015,-0.049,1.082
0.578,-0.005,-0.022,0.912
0.581,-0.032,-0.057,1.046
0.584,-0.031,-0.064,0.988
0.586,-0.040,-0.086,0.993
0.588,-0.039,-0.084,1.034
0.591,-0.023,-0.075,0.958
0.593,-0.031,-0.084,1.015
0.596,-0.052,-0.133,1.051
0.598,-0.036,-0.112,0.911
0.600,-0.066,-0.136,1.064
0.604,-0.046,-0.133,0.996
0.605,-0.049,-0.113,1.005
0.607,-0.070,-0.149,1.021
0.610,-0.048,-0.140,0.915
0.613,-0.081,-0.163,1.080
0.615,-0.071,-0.183,1.003
0.617,-0.055,-0.160,0.942
0.619,-0.095,-0.221,1.090
0.622,-0.077,-0.235,0.933
0.627,-0.103,-0.268,1.069
0.627,-0.062,-0.229,0.878
0.629,-0.100,-0.274,1.036
0.632,-0.095,-0.287,1.024
0.634,-0.066,-0.251,0.977
0.637,-0.054,-0.230,0.969
0.639,-0.064,-0.251,1.005
0.641,-0.052,-0.221,1.032
0.643,-0.035,-0.221,0.979
0.646,-0.042,-0.243,0.983
0.649,-0.042,-0.250,1.013
0.651,-0.054,-0.267,1.032
0.653,-0.056,-0.288,0.959
0.656,-0.080,-0.304,1.015
0.659,-0.078,-0.308,1.041
0.661,-0.052,-0.294,0.937
0.663,-0.060,-0.293,0.995
0.665,-0.082,-0.314,1.040
0.669,-0.061,-0.304,0.950
