time,x,y,z
0.005,0.001,-0.009,1.002
0.005,0.003,-0.009,1.003
0.006,0.003,-0.011,1.002
0.009,0.000,-0.009,1.002
0.011,-0.001,-0.008,1.003
0.013,0.000,-0.004,1.003
0.015,-0.001,-0.004,1.001
0.018,-0.003,-0.002,1.003
0.021,-0.005,-0.001,1.002
0.023,-0.006,-0.002,1.002
0.025,-0.009,-0.001,1.005
0.027,-0.012,-0.008,1.005
0.030,-0.013,-0.008,1.005
0.032,-0.013,-0.005,1.006
0.035,-0.016,-0.004,1.007
0.037,-0.014,-0.006,1.003
0.040,-0.013,-0.008,1.001
0.043,-0.015,-0.010,1.002
0.044,-0.015,-0.012,1.002
0.047,-0.011,-0.010,1.003
0.049,-0.008,-0.007,1.006
0.051,-0.010,-0.006,1.001
0.054,-0.012,-0.005,0.981
0.056,-0.016,-0.006,0.992
0.059,-0.019,-0.005,1.019
0.061,-0.018,-0.006,1.000
0.063,-0.021,-0.007,0.994
0.066,-0.024,-0.010,1.005
0.068,-0.031,-0.008,1.006
0.071,-0.042,-0.007,0.999
0.074,-0.051,-0.009,1.003
0.076,-0.051,-0.005,1.000
0.078,-0.049,-0.002,1.002
0.080,-0.048,-0.004,0.999
0.082,-0.054,-0.004,1.003
0.085,-0.046,-0.002,0.994
0.088,-0.046,0.002,0.995
0.090,-0.055,-0.001,1.004
0.092,-0.093,-0.006,0.999
0.095,-0.151,-0.015,0.994
0.097,-0.152,-0.017,1.016
0.100,-0.137,-0.018,1.009
0.102,-0.136,-0.020,1.003
0.104,-0.139,-0.019,0.991
0.107,-0.150,-0.015,0.985
0.110,-0.153,-0.024,0.996
0.112,-0.144,-0.024,0.997
0.114,-0.133,-0.018,1.006
0.116,-0.137,-0.026,1.011
0.119,-0.136,-0.025,1.002
0.121,-0.113,-0.017,0.984
0.124,-0.111,-0.016,1.049
0.126,-0.147,-0.022,0.998
0.128,-0.156,-0.024,0.907
0.131,-0.136,-0.016,1.044
0.133,-0.122,-0.018,1.105
0.136,-0.165,-0.037,0.925
0.138,-0.184,-0.044,0.935
0.141,-0.155,-0.036,1.060
0.143,-0.154,-0.040,1.012
0.145,-0.140,-0.044,0.986
0.148,-0.154,-0.050,1.001
0.150,-0.151,-0.055,0.996
0.153,-0.133,-0.054,1.046
0.155,-0.187,-0.069,0.979
0.158,-0.135,-0.063,0.944
0.160,-0.116,-0.048,0.993
0.163,-0.114,-0.047,1.061
0.165,-0.143,-0.056,1.009
0.167,-0.135,-0.059,0.946
0.170,-0.120,-0.062,0.975
0.172,-0.097,-0.049,1.096
0.174,-0.104,-0.056,1.015
0.177,-0.134,-0.064,0.872
0.179,-0.107,-0.054,1.051
0.182,-0.105,-0.056,1.101
0.184,-0.149,-0.070,0.888
0.187,-0.134,-0.061,0.965
0.189,-0.089,-0.039,1.035
0.191,-0.098,-0.042,1.053
0.193,-0.097,-0.045,0.964
0.196,-0.118,-0.049,0.987
0.199,-0.109,-0.032,1.049
0.201,-0.138,-0.052,1.045
0.203,-0.161,-0.065,0.801
0.206,-0.090,-0.037,1.101
0.208,-0.120,-0.049,1.099
0.210,-0.125,-0.054,0.872
0.213,-0.130,-0.050,1.027
0.215,-0.123,-0.051,1.061
0.217,-0.086,-0.050,0.900
0.220,-0.070,-0.043,1.090
0.222,-0.092,-0.051,1.006
0.225,-0.088,-0.052,0.911
0.227,-0.116,-0.067,1.047
0.230,-0.062,-0.049,0.974
0.234,-0.047,-0.041,1.071
0.235,-0.061,-0.046,1.026
0.237,-0.105,-0.073,0.882
0.239,-0.041,-0.048,1.025
0.242,-0.065,-0.051,1.097
0.244,-0.099,-0.068,0.871
0.247,-0.064,-0.062,1.040
0.249,-0.041,-0.053,1.022
0.251,-0.039,-0.047,1.011
0.254,-0.084,-0.061,1.013
0.256,-0.070,-0.060,0.920
0.259,-0.057,-0.050,1.014
0.261,0.009,-0.017,1.077
0.264,-0.033,-0.036,0.947
0.266,-0.033,-0.039,1.004
0.268,-0.011,-0.028,1.061
0.271,-0.002,-0.019,0.954
0.273,-0.006,-0.012,0.983
0.276,0.009,-0.011,1.069
