time,x,y,z
0.005,-0.007,-0.014,1.002
0.006,-0.005,-0.011,1.005
0.006,-0.003,-0.010,1.003
0.008,-0.002,-0.005,1.004
0.011,-0.001,-0.002,1.006
0.013,0.001,0.001,1.004
0.015,0.002,0.000,1.005
0.018,0.004,0.000,1.007
0.020,0.005,0.001,1.005
0.023,0.008,0.000,1.004
0.025,0.007,-0.002,1.003
0.027,0.007,-0.006,1.001
0.031,0.007,-0.006,1.000
0.032,0.006,-0.011,0.999
0.035,0.005,-0.015,0.999
0.037,0.004,-0.018,0.999
0.039,0.003,-0.020,0.998
0.042,-0.000,-0.023,0.998
0.045,-0.002,-0.023,0.995
0.047,-0.002,-0.024,0.997
0.049,-0.004,-0.024,1.000
0.051,-0.003,-0.022,0.998
0.054,-0.004,-0.021,0.998
0.056,-0.005,-0.018,1.000
0.059,-0.004,-0.014,1.003
0.061,-0.005,-0.012,1.003
0.063,-0.003,-0.007,1.003
0.066,-0.003,-0.006,1.005
0.069,-0.001,-0.002,1.005
0.071,0.002,-0.000,1.004
0.073,0.003,0.001,1.006
0.075,0.006,0.002,1.004
0.079,0.006,0.002,1.005
0.080,0.008,0.001,1.004
0.083,0.008,-0.000,1.002
0.085,0.007,-0.004,1.001
0.087,0.006,-0.006,1.001
0.090,0.005,-0.011,0.996
0.092,0.004,-0.014,1.001
0.095,0.003,-0.017,0.998
0.097,-0.001,-0.020,0.996
0.099,-0.002,-0.022,0.998
0.102,-0.000,-0.023,0.997
0.104,-0.004,-0.024,0.998
0.107,-0.005,-0.024,0.998
0.109,-0.007,-0.021,0.998
0.112,-0.006,-0.017,1.000
0.114,-0.006,-0.005,1.001
0.116,-0.006,0.012,1.005
0.119,-0.011,0.028,1.003
0.121,-0.013,0.089,1.004
0.124,-0.012,0.150,1.012
0.126,-0.007,0.192,1.005
0.128,-0.001,0.205,1.007
0.132,0.010,0.183,1.008
0.133,0.016,0.154,1.009
0.136,0.018,0.123,1.003
0.138,0.021,0.107,1.007
0.140,0.014,0.105,0.996
0.143,-0.029,0.126,1.001
0.146,-0.006,0.129,1.017
0.148,0.012,0.130,0.980
0.150,0.007,0.134,1.011
0.152,0.010,0.137,0.998
0.158,0.009,0.120,1.009
0.158,0.013,0.110,1.011
0.160,0.013,0.118,0.976
0.162,0.013,0.126,1.008
0.164,0.010,0.115,1.008
0.167,0.008,0.099,0.976
0.170,0.013,0.112,1.020
0.172,0.029,0.144,1.013
0.174,0.036,0.154,0.991
0.176,0.033,0.146,1.004
0.180,0.041,0.159,1.005
0.182,0.041,0.169,1.000
0.184,0.029,0.160,1.019
0.186,0.032,0.159,1.035
0.189,0.038,0.174,0.967
0.191,0.035,0.186,1.044
0.194,0.038,0.190,0.975
0.197,0.022,0.207,1.016
0.198,0.016,0.214,1.016
0.201,0.016,0.210,0.985
0.208,0.009,0.193,1.019
0.209,0.005,0.185,0.991
0.209,-0.010,0.163,0.990
0.210,-0.012,0.142,0.996
0.213,-0.026,0.130,1.016
0.216,-0.017,0.107,0.970
0.217,-0.015,0.121,1.021
0.220,-0.018,0.096,1.008
0.222,-0.027,0.125,0.993
0.225,-0.028,0.116,1.003
0.227,-0.033,0.110,0.995
0.230,-0.032,0.100,1.019
0.232,-0.026,0.131,0.979
0.236,-0.022,0.126,1.004
0.239,-0.025,0.111,1.045
0.240,-0.018,0.107,0.959
0.242,-0.016,0.126,1.050
0.244,-0.009,0.156,0.936
0.247,-0.013,0.137,1.074
0.249,0.010,0.199,0.981
0.251,-0.009,0.158,1.029
0.254,-0.002,0.160,0.979
0.256,-0.003,0.151,1.026
0.259,-0.003,0.183,1.011
0.261,-0.003,0.169,0.985
0.263,-0.026,0.136,1.012
0.266,-0.023,0.132,0.965
0.269,-0.017,0.127,1.026
0.270,-0.029,0.125,1.033
0.273,-0.004,0.139,0.912
0.275,-0.017,0.130,1.112
0.278,0.002,0.140,0.943
0.280,-0.002,0.140,0.959
0.283,-0.007,0.131,1.146
0.285,0.014,0.151,0.849
0.287,-0.011,0.141,1.106
0.290,0.002,0.154,0.984
0.292,-0.008,0.125,0.973
0.295,-0.013,0.104,1.020
0.298,-0.009,0.144,1.037
0.299,-0.004,0.147,0.942
0.304,-0.026,0.119,1.035
0.304,-0.022,0.133,0.996
0.307,-0.020,0.144,1.022
0.309,-0.020,0.102,0.995
0.311,-0.022,0.114,1.004
0.314,-0.012,0.122,0.958
0.316,-0.036,0.120,1.016
0.319,-0.016,0.143,1.052
0.321,-0.015,0.177,0.918
0.323,-0.030,0.139,1.019
0.326,-0.021,0.129,1.025
0.328,-0.035,0.137,0.981
0.331,-0.041,0.113,1.003
0.333,-0.030,0.118,1.004
0.336,-0.035,0.108,1.007
0.338,-0.005,0.144,0.941
0.340,-0.011,0.155,1.096
0.343,0.013,0.173,1.016
0.345,0.016,0.153,0.966
0.348,0.006,0.114,1.007
0.350,0.011,0.130,1.029
0.352,0.014,0.105,1.018
0.355,0.001,0.139,1.017
0.357,-0.009,0.095,0.960
0.360,-0.010,0.087,1.069
0.362,-0.022,0.093,0.977
0.364,-0.021,0.076,0.970
0.367,-0.026,0.073,1.045
0.370,-0.035,0.061,0.965
0.372,-0.021,0.053,1.056
0.374,-0.014,0.065,1.007
0.376,-0.012,0.072,0.892
0.379,-0.014,0.055,1.114
0.381,0.011,0.067,0.950
0.384,0.011,0.057,0.966
0.387,0.023,0.043,1.063
0.388,0.023,0.056,0.996
0.391,0.038,0.042,0.953
0.393,0.033,0.037,1.002
0.396,0.033,0.024,1.042
0.398,0.036,0.017,0.939
0.400,0.023,0.024,1.018
0.405,0.024,0.056,1.064
0.406,0.022,0.054,0.916
0.408,-0.003,0.039,1.045
0.410,0.004,0.052,0.988
0.413,-0.017,0.058,0.956
0.415,-0.019,0.058,1.081
0.417,-0.008,0.060,0.980
0.420,-0.014,0.053,0.976
0.422,-0.011,0.076,1.017
0.426,-0.009,0.070,1.024
0.427,0.002,0.054,1.004
0.429,-0.007,0.054,0.999
0.432,-0.005,0.060,0.973
0.434,0.000,0.043,0.991
0.437,-0.010,0.019,1.013
0.439,0.010,0.036,1.002
0.442,0.001,0.036,1.011
0.444,0.002,0.027,0.998
0.446,-0.006,0.047,1.033
0.449,-0.006,0.060,1.011
0.451,-0.003,0.040,0.953
0.454,-0.035,0.033,1.007
0.456,-0.032,0.005,1.102
0.460,-0.038,0.012,0.908
0.461,-0.042,0.001,1.038
0.463,-0.061,0.025,0.990
0.466,-0.061,0.024,0.981
0.468,-0.070,0.031,1.026
0.471,-0.078,0.038,1.047
0.473,-0.075,0.068,0.899
0.475,-0.102,0.024,1.091
0.479,-0.094,0.024,0.970
0.480,-0.094,0.025,0.996
0.483,-0.085,0.010,1.035
0.485,-0.070,0.012,0.991
0.487,-0.056,0.004,0.988
0.490,-0.052,0.021,1.060
0.493,-0.029,-0.019,0.917
0.495,-0.026,0.002,1.011
0.497,-0.032,0.014,1.019
0.499,-0.018,0.007,0.989
0.502,-0.022,-0.000,0.937
0.504,-0.034,-0.036,1.055
0.506,-0.020,-0.027,0.915
0.509,-0.025,-0.044,1.106
0.511,-0.006,-0.026,0.949
0.514,-0.012,-0.022,1.033
0.516,-0.019,-0.018,0.971
