time,x,y,z
0.006,0.002,-0.011,1.001
0.006,-0.000,-0.012,1.002
0.006,0.001,-0.011,0.999
0.008,0.001,-0.011,1.000
0.011,0.002,-0.012,1.000
0.013,0.000,-0.011,1.000
0.015,-0.000,-0.011,1.001
0.018,0.001,-0.012,1.002
0.020,0.002,-0.011,1.000
0.023,0.002,-0.011,1.003
0.025,0.000,-0.011,1.002
0.027,0.001,-0.011,1.001
0.030,0.002,-0.013,0.999
0.033,0.002,-0.011,1.000
0.035,0.002,-0.012,1.001
0.038,0.003,-0.010,0.999
0.039,0.001,-0.012,1.003
0.042,0.002,-0.012,0.999
0.045,0.002,-0.012,1.001
0.047,0.005,-0.010,1.004
0.050,0.002,-0.011,1.003
0.051,0.003,-0.010,0.998
0.054,0.005,-0.010,1.002
0.056,0.003,-0.011,1.000
0.059,0.003,-0.011,1.000
0.062,0.006,-0.014,1.002
0.063,0.006,-0.014,0.999
0.067,0.008,-0.016,1.000
0.068,0.011,-0.021,0.999
0.071,0.013,-0.021,1.001
0.073,0.013,-0.020,0.998
0.075,0.010,-0.015,1.001
0.078,0.010,-0.013,0.999
0.080,0.018,-0.004,1.001
0.083,0.021,-0.002,1.005
0.085,0.032,-0.010,0.996
0.087,0.047,-0.011,1.003
0.094,0.061,-0.004,1.001
0.095,0.073,0.011,1.002
0.095,0.072,0.010,0.997
0.097,0.066,0.006,1.002
0.100,0.069,0.013,0.996
0.102,0.063,0.018,1.004
0.104,0.075,0.021,1.003
0.107,0.095,0.026,0.999
0.109,0.084,0.018,1.001
0.112,0.082,0.015,0.997
0.114,0.095,0.028,0.996
0.116,0.090,0.032,1.009
0.119,0.085,0.028,1.002
0.122,0.092,0.026,0.994
0.124,0.094,0.021,1.005
0.126,0.103,0.021,1.008
0.128,0.058,0.013,1.007
0.131,0.040,0.007,0.985
0.133,0.037,0.002,1.011
0.136,0.008,-0.005,1.006
0.138,0.001,-0.007,0.986
0.145,-0.004,-0.006,1.003
0.146,-0.002,-0.005,1.006
0.146,-0.008,-0.001,0.996
0.148,-0.024,-0.007,1.005
0.151,0.028,0.005,1.025
0.153,0.084,0.028,0.984
0.156,0.060,0.022,0.992
0.157,0.034,0.013,1.017
0.160,-0.005,0.007,0.975
0.162,0.046,0.034,1.013
0.164,0.087,0.050,1.028
0.168,0.054,0.050,0.962
0.170,-0.011,0.033,1.005
0.173,0.052,0.056,1.009
0.174,0.118,0.072,1.026
0.176,0.122,0.084,0.969
0.179,0.127,0.091,1.021
0.182,0.079,0.082,0.985
0.184,0.143,0.102,1.004
0.186,0.139,0.100,1.017
0.190,0.166,0.105,0.974
0.191,0.147,0.090,1.019
0.194,0.098,0.074,1.003
0.196,0.174,0.095,0.994
0.198,0.132,0.074,1.034
0.201,0.178,0.091,0.968
0.203,0.171,0.086,1.014
0.207,0.125,0.081,0.997
0.208,0.178,0.093,1.002
0.210,0.178,0.083,1.022
0.214,0.171,0.077,0.982
0.215,0.152,0.071,1.023
0.218,0.143,0.067,0.994
0.220,0.118,0.058,1.005
0.223,0.069,0.040,1.002
0.225,0.113,0.054,0.992
0.227,0.079,0.049,1.012
0.229,0.055,0.051,0.993
0.232,0.088,0.050,0.984
0.235,-0.004,0.018,1.021
0.237,0.051,0.031,1.000
0.239,0.014,0.025,1.011
0.243,0.024,0.039,0.954
0.247,0.030,0.041,1.039
0.248,-0.007,0.038,1.004
0.249,0.057,0.058,0.939
0.251,-0.005,0.036,1.035
0.254,0.046,0.055,0.995
0.257,0.010,0.035,1.056
0.259,0.035,0.043,1.012
0.261,0.026,0.041,0.933
0.263,0.035,0.034,1.019
0.266,0.026,0.035,1.015
0.268,0.077,0.049,0.946
0.271,0.028,0.034,1.068
0.273,0.047,0.049,1.008
0.275,0.052,0.055,0.943
0.278,-0.012,0.029,1.002
0.280,0.005,0.035,1.056
0.283,0.054,0.061,0.986
0.285,0.033,0.056,1.009
0.287,0.019,0.041,0.974
0.290,0.055,0.055,0.993
0.292,0.022,0.053,1.014
0.295,0.036,0.065,1.024
0.297,0.031,0.074,0.985
0.299,0.030,0.071,0.987
0.302,-0.026,0.040,1.021
0.304,0.012,0.044,0.953
0.307,-0.012,0.042,1.055
0.309,0.010,0.040,1.000
0.311,-0.010,0.048,1.023
0.319,0.011,0.050,0.936
0.319,-0.051,0.035,1.065
0.319,-0.011,0.038,0.991
0.321,-0.059,0.025,1.018
0.324,-0.060,0.023,1.001
0.326,-0.046,0.022,1.003
0.328,-0.072,0.011,1.004
0.331,-0.072,0.013,0.927
0.333,-0.067,0.018,1.049
0.336,-0.054,0.021,0.996
0.338,-0.082,-0.004,0.985
0.340,-0.085,-0.005,0.999
0.343,-0.075,0.002,0.995
0.346,-0.059,0.013,1.008
0.348,-0.051,0.029,1.000
0.351,-0.031,0.037,0.977
0.353,-0.065,0.022,1.024
0.355,-0.017,0.062,0.996
0.358,-0.042,0.037,0.975
0.360,-0.035,0.048,1.048
0.362,-0.030,0.054,0.978
0.364,-0.037,0.045,1.024
0.367,-0.015,0.056,0.970
0.370,-0.016,0.058,1.006
0.372,-0.016,0.061,1.024
0.374,-0.012,0.052,0.985
0.376,-0.013,0.052,1.011
0.380,-0.002,0.059,1.009
0.381,-0.020,0.056,0.995
0.384,0.000,0.075,0.972
0.386,0.016,0.084,1.034
0.388,0.039,0.104,1.007
0.392,0.052,0.099,0.976
0.393,0.042,0.094,1.027
0.396,0.051,0.083,0.994
0.398,0.036,0.078,1.035
0.401,0.061,0.089,0.936
0.404,0.051,0.081,1.032
0.406,0.046,0.074,0.984
0.408,0.032,0.066,0.986
0.410,0.034,0.053,1.038
0.414,0.047,0.065,0.939
0.415,0.024,0.046,1.083
0.417,0.041,0.054,0.917
0.420,0.012,0.042,1.061
0.422,0.016,0.039,1.013
0.425,0.017,0.051,0.949
0.427,0.000,0.040,1.027
0.430,0.010,0.052,0.995
0.432,-0.003,0.048,1.000
0.434,-0.018,0.043,1.014
0.437,-0.019,0.053,0.986
0.439,-0.035,0.042,1.037
0.442,-0.041,0.031,0.960
0.444,-0.073,-0.001,1.044
0.449,-0.058,0.002,0.918
0.452,-0.105,-0.035,1.084
0.453,-0.099,-0.028,0.950
0.454,-0.115,-0.039,0.995
0.456,-0.113,-0.027,1.037
0.459,-0.119,-0.031,1.006
0.461,-0.117,-0.033,0.939
0.463,-0.147,-0.071,1.057
0.465,-0.135,-0.031,0.951
0.468,-0.139,-0.059,1.060
0.471,-0.115,-0.012,0.924
0.473,-0.133,-0.032,1.056
0.475,-0.118,-0.014,0.979
0.477,-0.120,-0.013,0.991
0.481,-0.109,0.000,0.992
0.483,-0.096,0.006,1.006
0.485,-0.077,0.023,1.023
0.487,-0.088,0.006,1.003
0.491,-0.081,0.014,0.971
0.492,-0.087,-0.016,1.039
0.495,-0.075,0.013,0.957
0.497,-0.081,0.007,1.009
0.499,-0.080,0.003,1.044
0.502,-0.065,0.021,0.954
0.504,-0.077,0.013,1.037
0.507,-0.052,0.022,0.984
0.509,-0.047,0.049,1.003
0.511,-0.046,0.033,1.006
0.515,-0.035,0.043,0.996
0.516,-0.035,0.053,0.996
0.519,-0.019,0.055,1.001
0.521,-0.031,0.038,1.010
0.525,-0.021,0.069,1.023
0.527,-0.010,0.077,0.945
0.528,-0.034,0.046,1.059
0.531,-0.028,0.056,0.962
0.537,-0.031,0.060,1.010
0.537,-0.052,0.044,0.999
0.539,-0.042,0.047,1.014
0.541,-0.051,0.044,0.971
0.543,-0.059,0.022,1.027
0.545,-0.055,0.031,1.025
0.548,-0.056,0.012,0.964
0.550,-0.061,0.018,0.986
0.552,-0.061,-0.002,1.025
0.555,-0.059,-0.012,0.978
0.558,-0.062,-0.019,1.022
0.560,-0.057,-0.027,1.002
0.562,-0.056,-0.014,0.960
0.564,-0.057,-0.035,1.002
0.567,-0.067,-0.038,1.067
0.570,-0.049,-0.041,0.918
0.572,-0.074,-0.047,1.037
0.574,-0.060,-0.042,1.006
0.576,-0.060,-0.043,1.007
0.579,-0.056,-0.040,0.997
0.582,-0.065,-0.027,0.942
0.584,-0.064,-0.053,1.087
0.586,-0.064,-0.048,0.950
0.588,-0.064,-0.049,1.007
0.591,-0.068,-0.048,0.972
0.593,-0.066,-0.051,1.027
0.596,-0.059,-0.042,1.015
0.598,-0.059,-0.044,0.959
0.601,-0.052,-0.033,1.031
0.605,-0.048,-0.018,1.012
0.605,-0.052,-0.023,0.958
0.608,-0.059,-0.011,1.038
0.610,-0.052,-0.017,0.952
0.614,-0.050,-0.006,1.049
0.615,-0.055,0.005,0.980
0.617,-0.052,0.016,0.978
0.620,-0.062,0.021,1.021
