time,x,y,z
0.008,0.001,-0.010,1.001
0.008,-0.000,-0.009,1.001
0.008,0.003,-0.011,1.001
0.008,0.001,-0.010,1.003
0.010,0.000,-0.010,1.000
0.012,0.001,-0.011,1.000
0.014,0.000,-0.011,0.989
0.017,-0.001,-0.011,0.989
0.019,0.005,-0.013,1.013
0.022,0.005,-0.012,1.012
0.024,0.003,-0.011,1.002
0.026,0.001,-0.012,0.998
0.029,0.001,-0.011,0.998
0.031,0.002,-0.010,1.002
0.034,0.002,-0.010,1.003
0.036,0.001,-0.010,1.003
0.038,0.001,-0.004,1.005
0.041,-0.007,0.015,1.007
0.044,-0.020,0.053,1.009
0.046,-0.034,0.098,1.008
0.048,-0.044,0.136,1.002
0.050,-0.045,0.158,0.999
0.053,-0.044,0.174,0.996
0.056,-0.045,0.188,1.000
0.058,-0.042,0.207,0.993
0.060,-0.044,0.219,1.007
0.062,-0.050,0.224,1.002
0.065,-0.047,0.208,1.019
0.067,-0.041,0.204,1.001
0.070,-0.035,0.201,1.008
0.073,-0.039,0.192,1.017
0.074,-0.020,0.193,1.020
0.084,-0.013,0.198,1.016
0.084,-0.015,0.191,0.998
0.084,-0.016,0.164,1.003
0.084,-0.019,0.129,1.007
0.087,0.000,0.119,1.007
0.089,0.004,0.111,0.991
0.091,0.002,0.091,1.004
0.094,0.001,0.074,0.998
0.097,0.004,0.070,1.022
0.098,0.003,0.073,1.010
0.101,0.007,0.080,1.016
0.103,0.006,0.091,1.000
0.106,0.013,0.079,0.979
0.108,0.013,0.075,1.002
0.112,0.004,0.077,0.982
0.113,0.005,0.082,1.022
0.115,0.008,0.098,0.995
0.118,0.006,0.085,1.018
0.120,0.009,0.077,1.012
0.123,0.010,0.076,0.986
0.125,0.014,0.086,1.016
0.127,0.011,0.084,0.997
0.130,0.010,0.077,1.001
0.132,0.013,0.072,0.999
0.135,0.016,0.066,1.017
0.137,0.018,0.080,0.981
0.140,0.018,0.057,1.037
0.142,0.022,0.068,1.013
0.145,0.027,0.065,0.988
0.147,0.038,0.066,0.973
0.149,0.027,0.070,0.981
0.151,0.020,0.073,1.067
0.154,0.022,0.087,0.993
0.157,0.023,0.080,1.038
0.159,0.028,0.089,0.961
0.161,0.030,0.090,0.988
0.163,0.026,0.103,0.993
0.166,0.026,0.109,1.023
0.168,0.018,0.089,1.047
0.171,0.020,0.097,0.964
0.173,0.013,0.085,1.038
0.175,0.022,0.107,0.990
0.179,0.017,0.105,0.976
0.180,0.006,0.108,1.007
0.183,-0.001,0.123,1.004
0.185,-0.004,0.120,1.036
0.187,-0.012,0.138,0.966
0.193,-0.019,0.111,1.041
0.193,-0.028,0.119,0.958
0.195,-0.042,0.112,1.012
0.198,-0.043,0.103,1.015
0.200,-0.048,0.101,0.986
0.202,-0.052,0.081,1.011
0.205,-0.064,0.080,0.999
0.207,-0.054,0.082,0.993
0.209,-0.052,0.068,1.021
0.214,-0.051,0.080,0.939
0.214,-0.045,0.063,1.031
0.217,-0.047,0.072,1.023
0.219,-0.044,0.073,1.021
0.221,-0.025,0.084,1.021
0.226,-0.036,0.053,0.981
0.229,-0.024,0.044,1.011
0.229,-0.019,0.049,0.969
0.231,-0.002,0.052,1.010
0.235,-0.002,0.067,1.005
0.236,-0.001,0.072,1.036
0.238,-0.001,0.050,1.000
0.241,0.005,0.036,1.010
0.243,0.005,0.026,0.998
0.246,0.001,0.041,0.984
0.248,0.003,0.058,0.968
0.250,-0.007,0.042,1.041
0.253,-0.009,0.051,0.992
0.255,-0.005,0.037,1.047
0.258,-0.001,0.040,0.968
0.260,0.001,0.038,0.968
0.262,-0.001,0.039,0.979
0.265,-0.003,0.048,1.070
0.268,0.001,0.040,0.980
0.270,-0.004,0.038,1.020
0.272,-0.005,0.044,0.979
0.276,0.005,0.053,1.017
0.277,-0.009,0.043,0.978
0.279,-0.003,0.029,1.039
0.282,-0.008,0.055,0.957
0.284,0.007,0.039,1.076
0.286,0.007,0.054,0.979
0.289,0.010,0.068,0.964
0.292,0.014,0.061,1.029
0.294,0.018,0.083,1.003
0.296,0.017,0.071,0.948
0.298,0.022,0.053,0.986
0.302,0.018,0.063,1.071
0.304,0.017,0.067,1.031
0.306,0.042,0.084,1.018
0.309,0.038,0.093,0.893
0.310,0.045,0.062,1.121
0.314,0.029,0.101,0.906
0.315,0.029,0.065,1.067
0.318,0.038,0.098,0.957
0.320,0.022,0.069,1.049
0.322,0.025,0.108,0.960
0.325,0.015,0.082,1.011
0.327,0.005,0.072,1.018
0.330,0.000,0.066,0.999
0.332,0.006,0.075,0.947
0.342,-0.001,0.072,1.064
0.342,-0.004,0.062,0.994
0.342,-0.008,0.062,0.996
0.342,-0.018,0.053,1.093
0.344,-0.001,0.058,0.969
0.347,-0.002,0.030,0.906
0.349,-0.020,0.043,1.025
0.352,-0.031,0.020,1.055
0.354,-0.042,0.044,1.023
0.356,-0.031,0.024,1.047
0.359,-0.027,0.047,0.931
0.361,-0.022,0.026,1.013
0.363,-0.018,0.045,0.931
0.366,-0.018,0.042,1.019
0.369,-0.013,0.047,1.030
0.371,-0.006,0.050,1.089
0.373,0.011,0.062,0.987
0.375,0.008,0.051,1.020
0.378,0.013,0.037,0.964
0.381,0.009,0.024,0.953
0.383,0.017,0.027,1.015
0.385,0.000,0.022,1.009
0.387,0.004,0.034,1.023
0.391,-0.005,0.043,1.023
0.393,-0.007,0.030,1.032
0.395,-0.015,0.004,0.966
0.397,-0.022,-0.001,0.955
0.401,-0.029,-0.013,1.019
0.403,-0.046,-0.006,0.938
0.404,-0.029,-0.018,1.066
0.407,-0.030,0.003,0.983
0.409,-0.022,-0.006,1.089
0.411,0.002,0.014,0.939
0.414,0.007,0.005,0.991
0.416,0.007,0.005,1.002
0.419,0.022,0.016,1.008
0.421,0.021,0.018,1.034
0.424,0.030,0.017,0.996
0.426,0.036,0.008,0.968
0.428,0.045,-0.003,1.012
0.431,0.047,0.009,0.994
0.433,0.045,0.011,1.033
0.437,0.044,0.018,1.012
0.438,0.041,0.016,1.014
0.441,0.037,0.010,0.981
0.443,0.021,0.010,0.973
