time,x,y,z
0.007,0.000,-0.010,1.001
0.008,0.001,-0.011,1.001
0.008,0.001,-0.010,1.001
0.008,0.001,-0.009,1.002
0.010,-0.003,-0.007,1.005
0.012,-0.012,-0.001,1.001
0.015,-0.018,0.007,0.999
0.017,-0.015,0.011,1.002
0.019,-0.012,0.006,1.004
0.023,-0.014,-0.001,1.005
0.025,-0.029,-0.014,1.004
0.027,-0.050,-0.028,1.002
0.029,-0.082,-0.043,0.997
0.033,-0.095,-0.045,0.999
0.034,-0.091,-0.038,0.997
0.036,-0.095,-0.036,1.002
0.039,-0.099,-0.037,0.999
0.041,-0.103,-0.039,0.997
0.044,-0.104,-0.037,1.004
0.046,-0.090,-0.039,1.001
0.048,-0.077,-0.037,0.999
0.052,-0.063,-0.033,1.000
0.053,-0.055,-0.026,0.994
0.056,-0.043,-0.018,0.999
0.058,-0.040,-0.015,1.003
0.060,-0.042,-0.017,0.999
0.063,-0.047,-0.017,1.002
0.067,-0.044,-0.012,0.999
0.068,-0.043,-0.012,1.005
0.070,-0.071,-0.014,0.997
0.073,-0.115,-0.009,1.006
0.075,-0.108,-0.003,1.006
0.078,-0.127,-0.006,0.976
0.080,-0.121,-0.006,0.996
0.082,-0.115,0.003,1.001
0.085,-0.109,-0.001,1.009
0.087,-0.113,0.000,1.000
0.090,-0.115,-0.003,1.006
0.092,-0.119,-0.004,1.010
0.094,-0.123,-0.002,1.002
0.097,-0.127,-0.002,0.977
0.100,-0.103,0.013,1.009
0.102,-0.126,0.003,1.006
0.104,-0.151,-0.009,0.990
0.106,-0.154,-0.018,1.010
0.109,-0.168,-0.023,0.998
0.111,-0.176,-0.023,0.985
0.114,-0.169,-0.022,1.014
0.116,-0.152,-0.019,1.000
0.120,-0.165,-0.025,1.000
0.121,-0.170,-0.031,0.982
0.123,-0.144,-0.022,1.003
0.126,-0.136,-0.024,1.007
0.128,-0.120,-0.027,1.002
0.130,-0.126,-0.029,1.001
0.135,-0.129,-0.023,1.000
0.138,-0.119,-0.006,0.989
0.138,-0.089,0.001,0.989
0.140,-0.088,-0.009,1.006
0.142,-0.090,-0.006,1.008
0.145,-0.073,-0.001,0.990
0.147,-0.054,0.010,1.014
0.150,-0.067,0.000,1.003
0.152,-0.097,-0.010,0.988
0.156,-0.095,-0.013,0.990
0.157,-0.080,-0.012,1.004
0.160,-0.079,-0.017,1.006
0.162,-0.089,-0.023,0.994
0.164,-0.087,-0.027,1.003
0.167,-0.095,-0.025,0.993
0.169,-0.127,-0.033,1.013
0.171,-0.141,-0.042,0.985
0.174,-0.140,-0.035,0.995
0.176,-0.133,-0.027,1.008
0.179,-0.140,-0.027,0.989
0.181,-0.144,-0.028,0.995
0.183,-0.135,-0.034,1.030
0.186,-0.130,-0.031,0.985
0.188,-0.119,-0.030,0.968
0.191,-0.085,-0.029,1.003
0.193,-0.110,-0.037,0.955
0.195,-0.097,-0.037,1.059
0.198,-0.078,-0.038,1.082
0.201,-0.060,-0.038,1.006
0.203,-0.052,-0.042,0.956
0.205,-0.048,-0.038,0.898
0.207,-0.030,-0.034,1.079
0.210,-0.014,-0.032,1.071
0.212,-0.021,-0.043,0.955
0.215,-0.045,-0.051,0.940
0.217,-0.029,-0.045,1.012
0.219,-0.034,-0.040,1.097
0.223,-0.048,-0.045,0.962
0.224,-0.045,-0.039,0.995
0.227,-0.051,-0.028,0.974
0.229,-0.044,-0.025,1.011
0.231,-0.097,-0.044,0.999
0.234,-0.117,-0.053,1.038
0.236,-0.140,-0.063,0.990
0.240,-0.158,-0.072,0.939
0.241,-0.144,-0.062,1.040
0.243,-0.185,-0.071,0.967
0.247,-0.156,-0.059,1.073
0.249,-0.167,-0.069,0.943
0.251,-0.167,-0.060,0.978
0.256,-0.168,-0.057,1.055
0.256,-0.168,-0.063,0.969
0.258,-0.164,-0.045,1.009
0.260,-0.156,-0.042,0.998
0.263,-0.147,-0.044,0.997
0.265,-0.144,-0.049,0.993
0.268,-0.135,-0.042,1.023
0.270,-0.147,-0.044,0.953
0.273,-0.128,-0.043,1.047
0.275,-0.130,-0.040,0.970
0.277,-0.131,-0.041,0.989
0.280,-0.123,-0.040,1.023
0.282,-0.107,-0.034,0.983
0.284,-0.086,-0.025,1.007
0.287,-0.080,-0.029,0.986
0.290,-0.073,-0.029,1.015
0.292,-0.074,-0.026,0.985
0.294,-0.082,-0.030,1.004
0.296,-0.066,-0.031,1.029
0.299,-0.078,-0.026,0.965
0.302,-0.051,-0.023,0.996
0.304,-0.037,-0.021,1.063
0.306,-0.067,-0.035,0.914
0.308,-0.045,-0.033,1.052
0.311,-0.065,-0.037,1.005
0.313,-0.076,-0.041,0.948
0.316,-0.079,-0.040,1.045
0.318,-0.057,-0.030,0.997
0.320,-0.046,-0.024,0.978
0.324,-0.011,-0.017,1.074
0.326,-0.028,-0.019,0.923
0.328,-0.037,-0.020,1.027
0.330,-0.047,-0.034,1.037
0.332,-0.061,-0.050,0.979
0.336,-0.035,-0.039,1.008
0.338,-0.016,-0.032,0.998
0.340,0.001,-0.021,0.976
0.342,0.036,-0.022,1.014
0.345,0.036,-0.026,1.003
0.347,0.045,-0.032,0.999
0.350,0.023,-0.034,1.034
0.352,0.005,-0.046,0.977
0.354,0.006,-0.040,0.953
0.358,0.022,-0.032,1.076
0.360,-0.025,-0.047,0.973
0.361,-0.015,-0.048,0.947
0.364,0.032,-0.029,1.076
0.366,0.016,-0.036,0.992
0.369,-0.004,-0.046,0.958
