time,x,y,z
0.007,-0.000,-0.011,1.001
0.007,-0.002,-0.011,1.000
0.007,0.000,-0.010,1.001
0.007,0.000,-0.011,1.007
0.010,-0.001,-0.009,1.000
0.012,0.001,-0.011,0.996
0.014,0.001,-0.011,1.005
0.018,0.001,-0.012,0.998
0.019,0.001,-0.011,1.002
0.022,0.001,-0.011,1.002
0.024,0.003,-0.011,1.000
0.026,0.004,-0.012,1.003
0.029,0.006,-0.019,0.998
0.032,0.014,-0.028,1.004
0.034,0.022,-0.038,0.995
0.037,0.033,-0.050,0.988
0.039,0.046,-0.071,1.004
0.041,0.061,-0.074,1.006
0.044,0.087,-0.079,0.989
0.046,0.137,-0.080,0.998
0.048,0.149,-0.082,1.006
0.051,0.133,-0.080,0.993
0.053,0.119,-0.076,1.006
0.056,0.107,-0.070,0.995
0.058,0.102,-0.062,1.002
0.060,0.125,-0.057,1.016
0.062,0.199,-0.063,1.002
0.066,0.202,-0.061,0.968
0.068,0.147,-0.046,1.029
0.070,0.130,-0.027,0.980
0.072,0.084,-0.012,1.015
0.075,0.038,0.006,1.006
0.077,0.019,0.019,0.991
0.080,-0.009,0.028,1.013
0.085,-0.003,0.038,0.987
0.086,-0.001,0.048,1.016
0.087,0.011,0.055,1.008
0.090,0.024,0.062,1.009
0.092,0.027,0.061,0.983
0.094,0.030,0.053,1.005
0.096,0.047,0.059,1.010
0.099,0.057,0.047,0.988
0.101,0.079,0.037,0.995
0.104,0.113,0.031,1.011
0.106,0.206,0.019,1.050
0.108,0.311,0.029,0.966
0.111,0.320,0.024,0.967
0.113,0.324,0.025,1.050
0.116,0.343,0.031,0.971
0.119,0.345,0.020,1.018
0.122,0.332,0.020,1.026
0.123,0.339,0.025,0.977
0.125,0.324,0.013,0.992
0.128,0.331,0.009,0.999
0.130,0.310,0.012,1.044
0.133,0.322,0.002,0.988
0.135,0.301,-0.007,1.023
0.137,0.313,-0.003,0.934
0.140,0.260,-0.002,1.029
0.143,0.261,-0.008,1.027
0.145,0.257,-0.006,1.032
0.147,0.223,-0.001,1.036
0.149,0.242,-0.010,0.899
0.152,0.211,-0.012,0.978
0.155,0.182,-0.021,1.092
0.157,0.243,-0.007,0.913
0.159,0.182,-0.006,1.110
0.161,0.231,-0.000,0.926
0.164,0.204,-0.001,1.054
0.167,0.232,0.006,0.958
0.169,0.197,0.006,1.008
0.171,0.200,0.009,1.052
0.173,0.250,0.018,0.868
0.176,0.167,0.016,1.147
0.178,0.265,0.045,0.903
0.181,0.196,0.028,1.081
0.183,0.230,0.044,0.929
0.186,0.165,0.010,1.071
0.189,0.158,0.006,1.002
0.190,0.164,0.010,0.953
0.193,0.105,-0.001,1.054
0.195,0.118,-0.001,0.956
0.197,0.068,-0.019,1.000
0.200,0.050,-0.028,0.958
0.203,0.017,-0.036,1.007
0.205,0.035,-0.031,0.996
0.207,0.017,-0.033,1.068
0.209,0.011,-0.035,1.007
0.212,0.014,-0.028,0.991
0.214,-0.003,-0.023,1.003
0.217,0.003,-0.020,0.989
0.219,0.036,-0.012,0.945
0.222,0.008,-0.013,1.072
0.224,0.053,-0.006,0.975
0.226,0.033,-0.011,1.044
0.229,0.038,-0.004,1.009
0.231,0.044,-0.016,0.946
0.234,0.036,-0.023,1.002
0.236,0.022,-0.022,1.000
0.239,0.045,-0.007,0.953
0.241,0.013,-0.019,1.103
0.243,0.079,-0.011,0.911
0.246,0.006,-0.029,1.086
0.248,0.041,-0.013,0.959
0.251,0.004,-0.019,1.002
0.253,0.012,-0.020,1.006
0.256,0.003,-0.032,1.002
0.258,0.035,-0.031,0.970
0.260,0.025,-0.034,1.011
0.262,0.021,-0.037,1.060
