time,x,y,z
0.004,0.001,-0.014,1.000
0.004,0.004,-0.016,1.002
0.005,0.005,-0.017,1.003
0.007,0.002,-0.021,1.000
0.010,0.006,-0.027,0.997
0.013,0.011,-0.037,0.998
0.015,0.018,-0.049,1.000
0.017,0.021,-0.060,1.003
0.020,0.024,-0.060,1.005
0.023,0.029,-0.065,1.002
0.025,0.039,-0.074,1.003
0.027,0.043,-0.079,1.005
0.029,0.046,-0.077,0.994
0.032,0.044,-0.082,0.996
0.035,0.043,-0.083,0.998
0.037,0.034,-0.076,0.990
0.039,0.019,-0.072,0.990
0.041,0.008,-0.072,1.000
0.045,0.010,-0.074,1.008
0.046,0.011,-0.068,1.008
0.049,0.007,-0.058,1.005
0.051,0.005,-0.049,0.986
0.053,0.004,-0.039,1.006
0.056,0.009,-0.052,1.004
0.058,0.002,-0.045,1.013
0.061,-0.002,-0.045,0.995
0.063,-0.003,-0.042,0.986
0.065,-0.006,-0.050,0.981
0.068,-0.009,-0.049,0.994
0.070,-0.017,-0.047,1.010
0.073,-0.020,-0.052,1.006
0.075,-0.015,-0.055,1.019
0.079,-0.014,-0.061,1.017
0.080,-0.012,-0.066,0.989
0.082,-0.009,-0.061,0.993
0.085,-0.008,-0.065,0.989
0.087,-0.008,-0.071,0.994
0.090,-0.010,-0.085,0.999
0.092,-0.015,-0.095,1.011
0.094,-0.026,-0.096,0.997
0.097,-0.031,-0.106,1.009
0.099,-0.020,-0.116,1.019
0.102,-0.006,-0.123,0.989
0.104,-0.012,-0.135,0.970
0.106,-0.017,-0.134,0.988
0.109,-0.017,-0.123,1.020
0.113,-0.017,-0.124,1.024
0.114,-0.024,-0.116,1.019
0.116,-0.033,-0.116,0.973
0.119,-0.025,-0.127,0.954
0.121,-0.019,-0.129,0.982
0.123,-0.021,-0.141,0.995
0.126,-0.025,-0.118,1.060
0.128,-0.025,-0.116,1.017
0.130,-0.030,-0.123,0.980
0.133,-0.026,-0.112,0.983
0.136,-0.018,-0.109,0.990
0.138,-0.020,-0.108,1.014
0.140,-0.025,-0.118,0.969
0.142,-0.011,-0.103,0.999
0.146,-0.016,-0.085,1.028
0.147,-0.010,-0.083,0.987
0.150,-0.004,-0.090,0.988
0.152,0.000,-0.061,1.023
0.156,0.004,-0.077,1.000
0.157,-0.001,-0.059,1.013
0.159,0.006,-0.065,0.952
0.162,0.015,-0.054,1.005
0.165,0.018,-0.071,1.005
0.167,0.014,-0.081,0.998
0.169,0.023,-0.063,0.983
0.171,0.033,-0.049,1.026
0.174,0.031,-0.078,0.999
0.176,0.042,-0.065,1.042
0.179,0.038,-0.079,0.975
0.181,0.042,-0.079,0.983
0.183,0.041,-0.091,0.992
0.186,0.044,-0.098,0.982
0.188,0.041,-0.102,1.037
0.191,0.033,-0.109,0.999
0.193,0.030,-0.096,0.979
0.196,0.032,-0.085,0.998
0.198,0.035,-0.084,1.025
0.200,0.027,-0.103,0.997
