time,x,y,z
0.006,0.001,-0.009,0.999
0.006,-0.000,-0.011,1.003
0.007,-0.001,-0.010,1.002
0.007,-0.001,-0.009,1.000
0.010,-0.000,-0.010,1.002
0.012,0.000,-0.010,1.003
0.014,-0.002,-0.009,1.001
0.017,0.000,-0.010,1.002
0.019,-0.000,-0.009,1.002
0.022,-0.001,-0.009,1.001
0.024,0.000,-0.010,1.003
0.027,-0.000,-0.010,1.003
0.029,-0.001,-0.010,1.003
0.032,0.000,-0.009,1.001
0.034,-0.001,-0.012,1.002
0.036,-0.001,-0.008,1.001
0.039,-0.004,-0.010,0.998
0.041,0.001,-0.011,1.003
0.044,-0.000,-0.010,1.006
0.046,-0.000,-0.009,1.000
0.048,-0.000,-0.010,1.005
0.050,-0.001,-0.010,1.001
0.054,-0.002,-0.009,0.995
0.056,0.001,-0.010,1.005
0.058,-0.000,-0.009,1.000
0.060,0.001,-0.010,1.003
0.064,-0.000,-0.010,1.001
0.064,-0.000,-0.010,1.001
0.066,-0.001,-0.012,0.999
0.068,-0.000,-0.011,1.003
0.070,0.001,-0.011,1.003
0.072,-0.001,-0.010,0.999
0.075,0.001,-0.010,1.003
0.077,0.000,-0.011,1.000
0.080,0.001,-0.009,0.997
0.082,-0.000,-0.011,1.003
0.084,-0.001,-0.011,1.003
0.088,0.000,-0.012,1.001
0.089,0.003,-0.015,1.001
0.092,0.005,-0.018,0.997
0.094,0.008,-0.020,0.997
0.096,0.007,-0.019,0.998
0.099,0.010,-0.024,1.001
0.101,0.011,-0.029,1.002
0.105,0.012,-0.035,1.000
0.106,0.019,-0.048,1.000
0.108,0.024,-0.056,0.998
0.112,0.023,-0.057,0.995
0.113,0.024,-0.064,0.998
0.116,0.025,-0.072,1.004
0.118,0.022,-0.080,1.004
0.122,0.022,-0.094,1.000
0.123,0.025,-0.093,0.996
0.125,0.023,-0.095,0.999
0.128,0.027,-0.103,0.999
0.130,0.025,-0.097,0.994
0.133,0.023,-0.093,0.983
0.135,0.022,-0.088,0.994
0.138,0.021,-0.077,1.008
0.140,0.019,-0.082,1.019
0.142,0.016,-0.075,1.013
0.145,0.017,-0.070,0.995
0.147,0.009,-0.066,0.975
0.149,0.012,-0.069,0.982
0.152,0.018,-0.072,1.005
0.155,0.025,-0.092,1.012
0.157,0.092,-0.100,1.051
0.159,0.172,-0.117,1.104
0.161,0.119,-0.132,0.987
0.164,0.077,-0.144,0.949
0.166,0.051,-0.155,0.952
0.169,0.058,-0.164,0.968
0.171,0.051,-0.152,1.016
0.174,0.026,-0.125,0.999
0.174,0.026,-0.125,0.999
0.176,0.037,-0.116,1.018
0.178,0.067,-0.128,0.992
0.181,0.049,-0.129,1.006
0.183,0.048,-0.125,1.004
0.185,0.049,-0.112,0.988
0.189,0.050,-0.112,1.000
0.190,0.044,-0.109,0.992
0.193,0.046,-0.112,0.964
0.195,0.051,-0.110,1.052
0.197,0.057,-0.118,0.987
0.200,0.047,-0.106,1.014
0.202,0.052,-0.101,0.980
0.205,0.061,-0.129,1.000
0.207,0.068,-0.139,1.012
0.209,0.075,-0.132,0.976
0.212,0.079,-0.131,1.043
0.214,0.085,-0.128,1.021
0.217,0.071,-0.143,0.947
0.219,0.086,-0.130,1.029
0.222,0.079,-0.118,1.009
0.224,0.071,-0.106,1.012
0.227,0.072,-0.124,0.993
0.229,0.087,-0.145,0.981
0.231,0.065,-0.148,1.020
0.234,0.058,-0.158,0.967
0.236,0.063,-0.162,1.004
0.239,0.068,-0.181,0.979
0.241,0.057,-0.184,0.999
0.244,0.079,-0.163,1.027
0.247,0.061,-0.169,1.020
0.248,0.056,-0.150,1.030
0.250,0.071,-0.174,0.917
0.253,0.042,-0.166,1.074
0.256,0.072,-0.185,0.923
0.258,0.060,-0.154,1.062
