time,x,y,z
0.008,-0.002,-0.017,1.004
0.009,-0.002,-0.013,1.006
0.009,-0.001,-0.008,1.005
0.010,-0.000,-0.006,1.007
0.012,0.004,-0.003,1.004
0.014,0.005,-0.002,1.005
0.017,0.006,0.000,1.004
0.019,0.008,0.002,1.006
0.022,0.008,0.001,1.005
0.024,0.011,0.000,1.004
0.027,0.010,-0.001,1.003
0.029,0.012,-0.003,1.003
0.032,0.010,-0.005,1.001
0.034,0.011,-0.011,1.001
0.036,0.010,-0.013,1.001
0.040,0.007,-0.017,1.002
0.041,0.007,-0.018,1.003
0.043,0.004,-0.023,1.002
0.046,0.003,-0.024,1.003
0.048,0.002,-0.027,1.005
0.050,-0.001,-0.023,1.003
0.053,-0.001,-0.024,1.005
0.056,-0.003,-0.021,1.004
0.058,-0.003,-0.019,1.004
0.060,-0.001,-0.017,1.005
0.063,-0.001,-0.011,1.006
0.066,-0.000,-0.009,1.005
0.067,0.002,-0.007,1.007
0.070,0.004,-0.002,1.005
0.072,0.006,-0.002,1.005
0.074,0.007,0.001,1.005
0.077,0.011,0.002,1.004
0.079,0.011,-0.004,1.003
0.082,0.009,0.003,1.001
0.084,0.010,0.000,1.002
0.087,0.013,-0.003,1.002
0.089,0.013,-0.006,1.001
0.092,0.011,-0.009,1.002
0.094,0.010,-0.013,1.000
0.096,0.011,-0.017,1.001
0.099,0.013,-0.021,1.004
0.101,0.014,-0.026,0.999
0.103,0.016,-0.031,1.002
0.106,0.015,-0.033,1.000
0.108,0.009,-0.034,1.003
0.111,-0.000,-0.030,1.003
0.113,-0.008,-0.021,1.005
0.115,-0.013,-0.013,1.006
0.118,-0.012,-0.012,1.004
0.120,-0.009,-0.009,1.006
0.123,-0.005,-0.006,1.005
0.125,-0.002,-0.005,1.005
0.128,0.001,-0.003,1.004
0.130,0.004,0.001,1.005
0.133,0.007,0.001,1.004
0.135,0.008,0.001,1.005
0.137,0.010,0.002,1.004
0.140,0.012,0.000,1.002
0.142,0.014,-0.002,1.003
0.145,0.012,-0.005,1.000
0.147,0.014,-0.008,1.000
0.149,0.014,-0.011,1.001
0.152,0.014,-0.016,1.000
0.156,0.012,-0.019,1.002
0.157,0.010,-0.023,1.003
0.159,0.009,-0.023,1.003
0.161,0.006,-0.025,1.002
0.164,0.004,-0.024,1.004
0.167,-0.001,-0.023,1.004
0.169,-0.003,-0.020,1.007
0.171,-0.008,-0.015,1.001
0.173,-0.009,-0.012,1.006
0.176,-0.006,-0.011,1.002
0.178,0.003,-0.014,1.007
0.181,0.000,-0.009,1.008
0.183,0.001,-0.006,1.006
0.185,0.001,-0.003,1.004
0.195,0.003,-0.002,1.004
0.195,0.007,-0.001,1.006
0.195,0.008,0.002,1.003
0.195,0.010,0.002,1.005
0.197,0.012,0.002,1.003
0.201,0.011,-0.000,1.001
0.203,0.011,-0.003,1.000
0.205,0.010,-0.005,0.999
0.207,0.011,-0.010,1.001
0.209,0.010,-0.015,1.002
0.212,0.008,-0.017,1.002
0.214,0.005,-0.020,1.000
0.217,0.005,-0.024,1.002
0.219,0.003,-0.025,1.002
0.222,0.002,-0.024,1.003
0.224,0.001,-0.025,1.002
0.226,0.001,-0.026,1.005
0.229,-0.001,-0.023,1.004
0.231,-0.002,-0.020,1.005
0.234,-0.001,-0.018,1.006
0.236,0.000,-0.014,1.006
0.238,0.001,-0.011,1.006
0.241,0.002,-0.009,1.004
0.243,0.006,-0.006,1.004
0.247,0.007,-0.002,1.006
0.248,0.008,-0.001,1.003
0.250,0.010,-0.000,1.005
0.253,0.009,-0.000,1.003
0.256,0.011,-0.002,1.005
0.258,0.011,-0.002,1.001
0.260,0.013,-0.006,1.001
0.262,0.015,-0.011,1.000
0.265,0.015,-0.018,1.000
0.267,0.026,-0.056,0.998
0.270,0.050,-0.071,1.002
0.272,0.072,-0.100,1.004
0.274,0.069,-0.123,0.997
0.277,0.055,-0.118,1.005
0.279,0.045,-0.114,1.000
0.282,0.039,-0.096,1.003
0.284,0.028,-0.093,1.002
0.286,0.030,-0.096,1.005
0.291,0.039,-0.111,0.994
0.291,0.037,-0.102,1.008
0.294,0.042,-0.106,1.011
0.296,0.055,-0.116,1.011
0.298,0.065,-0.143,1.002
0.301,0.055,-0.146,0.997
0.303,0.043,-0.127,0.999
0.306,0.047,-0.108,1.002
0.308,0.055,-0.093,1.007
0.310,0.041,-0.085,1.006
