time,x,y,z
0.008,0.012,-0.025,0.998
0.008,0.003,-0.018,0.992
0.008,-0.001,-0.017,0.991
0.008,-0.007,-0.013,0.988
0.010,-0.006,-0.014,0.985
0.012,-0.005,-0.017,0.983
0.015,-0.006,-0.019,0.980
0.017,-0.008,-0.025,0.969
0.019,-0.008,-0.037,0.954
0.022,-0.007,-0.044,0.956
0.024,-0.006,-0.059,0.959
0.027,0.007,-0.061,1.168
0.029,0.008,-0.087,1.036
0.032,0.028,-0.069,1.065
0.034,0.026,-0.040,1.019
0.036,0.010,-0.025,0.988
0.039,0.002,-0.038,0.969
0.041,0.004,-0.054,0.984
0.044,0.014,-0.065,1.001
0.046,0.023,-0.072,1.019
0.048,0.033,-0.078,1.011
0.051,0.041,-0.089,1.006
0.053,0.055,-0.107,0.996
0.056,0.083,-0.136,0.992
0.058,0.097,-0.153,0.998
0.060,0.097,-0.164,0.999
0.063,0.101,-0.166,0.998
0.066,0.098,-0.168,0.997
0.068,0.097,-0.160,1.017
0.070,0.103,-0.155,0.995
0.073,0.102,-0.121,1.012
0.075,0.094,-0.106,1.010
0.078,0.052,-0.100,0.978
0.080,0.048,-0.054,1.002
0.082,0.060,-0.042,1.008
0.085,0.075,-0.046,0.984
0.087,0.056,-0.025,1.041
0.090,0.061,-0.018,0.998
0.092,0.069,-0.017,0.999
0.094,0.051,-0.027,0.984
0.096,0.064,-0.010,0.998
0.101,0.077,-0.008,1.014
0.102,0.080,-0.019,1.005
0.104,0.073,-0.024,1.046
0.106,0.081,-0.034,1.014
0.109,0.077,-0.039,1.049
0.111,0.080,-0.036,1.051
0.114,0.078,-0.010,1.019
0.116,0.074,-0.004,0.966
0.118,0.059,-0.014,0.932
0.121,0.051,-0.024,0.927
0.123,0.054,-0.024,0.933
0.126,0.069,-0.047,0.994
0.128,0.055,-0.054,1.047
0.130,0.058,-0.059,1.006
0.133,0.050,-0.056,1.026
0.135,0.059,-0.042,0.978
0.137,0.041,-0.042,0.992
0.141,0.020,-0.046,0.993
0.143,0.016,-0.059,0.985
0.145,0.008,-0.059,0.998
0.147,0.002,-0.058,0.989
0.150,-0.013,-0.042,1.006
0.152,0.015,-0.033,0.972
0.154,0.015,-0.049,1.016
0.157,0.035,-0.065,0.999
0.159,0.042,-0.072,1.021
0.162,0.073,-0.083,0.988
0.164,0.081,-0.079,1.018
0.167,0.121,-0.087,0.988
0.169,0.153,-0.092,1.017
0.171,0.167,-0.106,1.005
0.174,0.166,-0.129,1.001
0.176,0.184,-0.144,0.972
0.179,0.192,-0.146,1.017
0.181,0.183,-0.159,1.008
0.183,0.193,-0.178,0.983
0.186,0.173,-0.186,1.026
0.195,0.202,-0.203,0.947
0.196,0.205,-0.207,0.986
0.196,0.210,-0.215,1.038
0.196,0.199,-0.226,0.991
0.198,0.169,-0.220,1.020
0.201,0.156,-0.243,0.947
0.203,0.191,-0.254,0.928
0.205,0.183,-0.239,1.010
0.207,0.190,-0.214,0.996
0.211,0.200,-0.209,0.970
0.213,0.189,-0.210,1.099
0.215,0.220,-0.228,0.951
0.217,0.177,-0.231,1.056
0.219,0.206,-0.211,0.977
0.223,0.169,-0.195,1.041
0.224,0.203,-0.179,0.946
0.227,0.172,-0.191,1.032
0.229,0.174,-0.184,1.036
0.231,0.203,-0.183,1.006
0.234,0.156,-0.148,1.062
0.236,0.129,-0.118,0.995
0.239,0.169,-0.092,0.955
0.242,0.121,-0.106,1.037
0.244,0.161,-0.107,0.901
0.246,0.146,-0.123,1.015
0.248,0.152,-0.134,0.971
0.251,0.146,-0.081,1.038
0.253,0.126,-0.115,0.964
0.257,0.151,-0.089,1.056
0.258,0.159,-0.116,0.963
0.261,0.134,-0.088,1.038
0.263,0.107,-0.109,1.017
0.267,0.094,-0.101,0.993
0.269,0.103,-0.104,0.965
0.270,0.086,-0.099,1.007
0.273,0.090,-0.115,0.975
0.275,0.071,-0.098,1.031
0.278,0.080,-0.106,0.916
0.280,0.080,-0.049,1.031
0.282,0.122,-0.058,0.963
0.286,0.121,-0.055,1.062
0.287,0.091,-0.069,1.007
0.291,0.053,-0.055,1.032
0.292,0.100,-0.077,0.935
0.294,0.055,-0.070,1.094
0.297,0.038,-0.077,0.957
0.299,0.032,-0.057,0.980
0.301,0.030,-0.039,1.019
0.304,0.029,-0.045,0.884
0.307,0.023,-0.046,0.994
0.309,0.025,-0.046,1.021
0.311,0.059,-0.064,0.960
0.317,0.059,-0.065,1.050
0.317,0.037,-0.044,1.073
0.318,0.035,-0.063,1.011
0.320,0.041,-0.062,1.063
0.324,0.058,-0.050,0.990
0.326,0.062,-0.039,1.036
0.328,0.080,-0.035,0.968
0.330,0.053,-0.071,1.003
0.333,0.067,-0.064,0.984
0.335,0.087,-0.052,0.935
0.338,0.064,-0.039,1.001
0.341,0.066,-0.032,0.960
0.342,0.049,-0.028,1.037
0.346,0.032,-0.031,1.038
0.347,0.021,-0.058,0.930
0.350,0.048,-0.064,0.959
0.352,0.031,-0.054,1.123
0.354,0.084,-0.074,0.945
0.357,0.036,-0.043,1.128
0.359,0.091,-0.039,0.879
0.362,0.056,-0.027,1.012
0.364,0.072,-0.048,0.906
0.366,0.027,-0.046,1.025
0.369,0.054,-0.067,0.958
0.371,0.035,-0.091,1.091
0.375,0.041,-0.123,1.032
0.376,0.042,-0.097,1.065
0.380,0.073,-0.106,1.017
0.381,0.067,-0.103,0.978
0.383,0.031,-0.098,0.986
0.386,0.014,-0.103,1.014
0.388,0.053,-0.099,0.821
0.391,0.020,-0.110,1.088
0.393,0.041,-0.134,0.944
0.395,0.007,-0.111,1.035
0.398,0.019,-0.097,0.998
0.400,0.009,-0.105,0.980
0.403,-0.013,-0.090,1.049
0.405,0.030,-0.079,0.975
0.407,0.049,-0.083,1.010
0.410,0.025,-0.087,1.025
0.414,0.043,-0.082,0.978
0.414,0.056,-0.123,1.045
0.417,0.071,-0.069,1.003
0.419,0.106,-0.041,0.958
0.422,0.052,-0.069,1.084
0.425,0.113,-0.108,0.938
0.427,0.086,-0.073,1.060
0.429,0.144,-0.080,0.958
0.431,0.104,-0.083,1.094
0.434,0.098,-0.075,0.822
0.436,0.125,-0.085,0.911
0.439,0.072,-0.065,1.192
0.441,0.111,-0.063,0.983
0.444,0.074,-0.033,0.907
0.449,0.061,-0.044,1.023
0.449,0.058,-0.023,1.025
0.451,0.093,-0.039,0.894
0.453,0.039,-0.020,1.112
0.455,0.061,-0.035,0.967
0.459,0.037,-0.022,1.074
0.460,0.048,-0.038,0.925
0.463,0.022,-0.027,1.023
0.465,0.041,-0.048,0.991
0.467,0.051,-0.025,0.988
0.470,0.046,-0.005,0.964
0.472,0.045,-0.001,1.017
0.475,0.021,0.011,1.014
0.477,0.001,0.024,0.936
0.481,-0.003,0.003,1.011
0.482,-0.000,-0.005,0.995
0.484,-0.007,-0.001,1.043
0.487,-0.010,-0.002,1.028
0.489,0.009,-0.014,1.048
0.492,0.001,0.001,1.001
0.494,-0.025,0.013,1.014
0.496,-0.019,0.011,0.939
0.499,-0.009,-0.002,1.010
0.501,0.018,0.000,1.008
0.504,-0.003,0.004,0.977
0.506,0.001,0.005,0.985
0.508,-0.021,-0.001,1.022
0.511,-0.005,-0.019,0.964
0.514,-0.018,-0.011,1.079
0.516,0.000,-0.021,0.969
0.518,-0.039,-0.011,1.074
0.520,-0.014,-0.037,0.929
0.523,-0.051,-0.026,1.019
0.527,-0.014,-0.029,0.955
0.530,-0.018,-0.025,1.048
0.530,-0.008,-0.017,0.959
0.533,0.001,-0.027,1.035
0.535,-0.013,-0.029,1.059
0.538,-0.012,-0.029,0.953
0.540,-0.012,-0.026,0.975
0.542,0.004,-0.015,0.972
0.544,0.012,-0.036,1.017
0.548,0.006,-0.052,0.979
0.550,-0.006,-0.046,1.061
0.552,0.020,-0.056,0.938
0.554,0.002,-0.044,1.081
0.559,0.009,-0.050,0.993
0.559,0.017,-0.047,1.008
0.562,0.020,-0.025,1.020
0.564,0.000,-0.013,1.022
0.566,-0.009,-0.007,1.037
0.569,-0.020,-0.005,1.011
0.571,-0.035,0.003,0.945
0.573,-0.021,0.009,0.909
0.576,0.005,0.012,0.940
0.578,-0.009,0.006,1.086
0.583,0.006,-0.000,1.045
0.584,0.004,0.017,0.982
0.586,-0.029,0.015,1.000
0.588,-0.014,0.002,0.940
0.590,-0.039,0.001,1.075
0.593,-0.010,-0.009,1.018
0.595,-0.028,0.009,1.057
0.599,-0.037,0.021,0.852
0.600,-0.025,0.020,1.018
0.604,-0.040,0.023,1.045
0.605,-0.022,0.009,0.925
0.607,-0.053,0.011,1.064
0.609,-0.009,-0.015,0.923
0.612,-0.011,0.004,1.023
0.615,-0.019,-0.012,1.017
0.617,-0.010,-0.000,0.980
0.619,-0.032,-0.009,1.016
0.622,-0.052,-0.001,0.995
0.624,-0.063,0.005,1.022
0.627,-0.047,-0.002,0.965
0.629,-0.058,-0.001,1.050
0.631,-0.059,0.009,0.982
0.634,-0.040,0.023,0.994
0.638,-0.035,0.018,0.992
0.639,-0.057,0.005,1.054
0.641,-0.028,0.013,0.874
0.644,-0.057,0.001,1.123
0.646,-0.050,0.002,0.897
0.649,-0.069,-0.012,1.049
