time,x,y,z
0.009,-0.005,-0.007,1.001
0.009,0.000,-0.005,1.005
0.009,0.001,-0.002,1.001
0.009,0.003,-0.001,1.002
0.011,0.004,0.002,1.000
0.013,0.003,0.002,1.001
0.016,0.007,0.001,1.002
0.018,0.007,0.002,1.001
0.021,0.007,0.000,1.000
0.023,0.008,-0.003,0.999
0.025,0.007,-0.006,0.998
0.028,0.008,-0.010,0.999
0.030,0.006,-0.012,0.999
0.033,0.004,-0.015,0.999
0.035,0.001,-0.018,1.000
0.037,0.001,-0.020,0.999
0.040,0.000,-0.022,1.001
0.042,-0.003,-0.021,1.001
0.045,-0.003,-0.022,1.002
0.047,-0.005,-0.022,1.001
0.050,-0.006,-0.018,1.001
0.052,-0.005,-0.017,1.003
0.055,-0.004,-0.014,1.004
0.057,-0.003,-0.009,1.003
0.059,-0.005,-0.006,1.004
0.061,-0.000,-0.004,1.003
0.064,0.000,-0.002,1.001
0.067,0.003,-0.000,1.001
0.069,0.005,0.002,0.999
0.071,0.004,0.004,1.001
0.073,0.005,0.003,1.000
0.076,0.007,0.001,1.001
0.083,0.007,-0.000,1.000
0.083,0.007,-0.004,0.999
0.083,0.007,-0.007,0.999
0.085,0.006,-0.010,0.999
0.089,0.004,-0.013,1.000
0.090,0.002,-0.018,1.000
0.093,0.001,-0.020,1.001
0.095,0.001,-0.021,1.001
0.098,-0.001,-0.021,1.001
0.100,-0.003,-0.022,1.000
0.102,-0.004,-0.023,1.004
0.105,-0.006,-0.021,1.002
0.107,-0.006,-0.019,1.003
0.109,-0.006,-0.016,1.003
0.112,-0.003,-0.012,1.001
0.114,-0.004,-0.011,1.003
0.117,-0.002,-0.007,1.003
0.119,0.000,-0.004,1.004
0.122,0.001,-0.003,1.001
0.124,0.004,0.002,1.001
0.126,0.005,0.001,1.001
0.129,0.006,0.004,1.001
0.131,0.004,0.002,1.001
0.134,0.006,0.000,1.000
0.136,0.008,0.000,0.997
0.139,0.009,-0.005,1.000
0.141,0.007,-0.007,1.001
0.143,0.006,-0.010,0.999
0.146,0.006,-0.012,1.000
0.148,0.004,-0.018,1.001
0.150,0.001,-0.020,0.999
0.153,-0.000,-0.022,0.998
0.156,-0.002,-0.022,1.002
0.158,-0.003,-0.023,1.001
0.160,-0.005,-0.024,1.002
0.162,-0.005,-0.022,1.003
0.165,-0.004,-0.019,1.005
0.167,-0.006,-0.016,1.003
0.170,-0.006,-0.012,1.002
0.172,-0.004,-0.010,1.003
0.174,-0.002,-0.008,1.003
0.180,-0.001,-0.003,1.003
0.180,0.002,-0.001,1.002
0.182,0.003,-0.000,1.001
0.184,0.004,0.002,1.001
0.187,0.006,0.004,1.001
0.189,0.005,0.002,1.000
0.191,0.007,0.001,0.998
0.194,0.010,-0.003,1.003
0.196,0.009,-0.003,0.998
0.199,0.008,-0.008,1.000
0.201,0.005,-0.011,0.998
0.203,0.005,-0.016,0.999
0.206,0.003,-0.018,1.002
0.208,0.002,-0.020,0.996
0.212,-0.000,-0.020,1.001
0.213,-0.002,-0.022,1.001
0.215,-0.004,-0.023,1.003
0.218,-0.005,-0.021,1.000
0.220,-0.006,-0.021,0.999
0.223,-0.006,-0.019,1.008
0.225,-0.007,-0.015,1.000
0.227,-0.006,-0.012,1.002
0.230,-0.003,-0.009,1.005
0.233,-0.002,-0.006,1.001
0.235,-0.000,-0.004,1.002
0.237,0.002,-0.000,1.002
0.240,0.001,0.002,0.998
0.242,0.006,0.002,1.002
0.245,0.008,0.003,1.002
0.247,0.007,0.002,0.999
0.249,0.008,-0.000,0.999
0.252,0.007,-0.000,0.999
0.254,0.007,-0.005,0.999
0.257,0.008,-0.008,1.000
0.259,0.006,-0.010,0.997
0.261,0.005,-0.015,1.000
0.264,0.003,-0.016,1.000
0.266,0.003,-0.018,0.996
0.269,0.003,-0.023,1.002
0.271,-0.002,-0.021,1.001
0.273,-0.004,-0.026,0.998
0.276,-0.002,-0.022,1.006
0.284,-0.007,-0.023,1.000
0.284,-0.006,-0.019,1.005
0.285,-0.004,-0.019,1.000
0.285,0.001,-0.038,1.001
0.288,0.011,-0.038,1.009
0.291,0.020,-0.051,0.986
0.293,0.053,-0.121,1.003
0.295,0.068,-0.160,1.013
0.297,0.053,-0.163,0.986
0.300,0.035,-0.133,1.008
0.302,0.025,-0.104,0.997
0.305,0.032,-0.093,1.011
0.307,0.037,-0.089,0.994
0.309,0.025,-0.074,0.995
0.312,0.015,-0.073,1.001
0.314,-0.000,-0.060,0.996
0.317,-0.004,-0.039,1.003
0.319,0.015,-0.039,0.979
0.321,0.033,-0.060,1.011
0.324,0.034,-0.082,0.999
0.326,0.030,-0.100,1.003
0.329,0.026,-0.100,0.987
0.331,0.038,-0.113,1.022
0.333,0.053,-0.118,1.003
0.336,0.062,-0.141,0.966
0.339,0.070,-0.132,1.052
0.341,0.080,-0.129,0.973
0.343,0.085,-0.132,1.008
0.346,0.086,-0.142,0.997
0.348,0.087,-0.150,0.991
0.350,0.075,-0.149,1.016
0.353,0.073,-0.128,1.010
0.356,0.096,-0.129,0.982
0.358,0.105,-0.145,0.993
0.360,0.103,-0.127,1.010
0.362,0.106,-0.130,1.007
0.365,0.102,-0.116,0.976
0.367,0.111,-0.126,1.032
0.370,0.130,-0.147,0.926
0.372,0.108,-0.143,1.056
0.374,0.106,-0.130,1.033
0.377,0.102,-0.126,0.935
0.380,0.098,-0.120,0.988
0.382,0.128,-0.120,1.020
0.384,0.126,-0.087,1.071
0.386,0.103,-0.065,0.931
0.389,0.106,-0.072,0.996
0.391,0.118,-0.045,1.044
0.394,0.097,-0.047,1.001
0.396,0.087,-0.067,0.992
0.401,0.059,-0.090,0.957
0.401,0.039,-0.093,1.060
0.403,0.051,-0.076,0.997
0.406,0.063,-0.078,0.992
0.408,0.066,-0.088,0.987
0.411,0.064,-0.090,1.010
0.414,0.091,-0.094,1.002
0.415,0.091,-0.083,1.040
0.418,0.089,-0.087,0.965
0.420,0.082,-0.116,0.976
0.423,0.091,-0.093,1.061
0.425,0.075,-0.113,0.961
0.427,0.070,-0.083,1.017
0.430,0.096,-0.097,0.945
0.432,0.044,-0.074,1.074
0.436,0.096,-0.078,1.008
0.437,0.091,-0.098,0.993
0.439,0.064,-0.105,0.977
0.442,0.040,-0.093,0.996
0.444,0.060,-0.117,0.990
0.447,0.072,-0.143,0.966
0.449,0.059,-0.130,1.063
0.451,0.082,-0.145,0.996
0.454,0.047,-0.141,1.039
0.456,0.087,-0.116,0.948
0.459,0.071,-0.098,0.986
0.461,0.047,-0.113,1.019
0.465,0.048,-0.101,1.051
0.466,0.040,-0.086,1.013
0.470,0.049,-0.095,0.858
0.471,0.021,-0.078,1.146
0.473,0.075,-0.103,0.968
0.475,0.015,-0.083,0.939
0.478,0.015,-0.102,1.018
0.481,0.046,-0.074,1.059
0.483,0.066,-0.069,0.936
0.485,0.057,-0.066,0.958
0.488,0.039,-0.081,1.099
0.490,0.064,-0.074,0.905
0.493,0.057,-0.074,1.075
0.495,0.037,-0.084,0.961
0.497,0.037,-0.084,1.026
0.500,-0.012,-0.081,0.990
0.506,0.003,-0.065,0.992
0.506,0.043,-0.064,1.031
0.508,0.034,-0.073,0.959
0.509,-0.006,-0.060,1.052
0.512,-0.022,-0.070,0.941
