time,x,y,z
0.007,0.009,-0.015,1.003
0.007,0.006,-0.012,0.999
0.007,0.010,-0.011,1.000
0.008,0.010,-0.011,1.005
0.010,0.015,-0.013,1.000
0.013,0.018,-0.013,1.005
0.015,0.023,-0.015,1.001
0.017,0.029,-0.013,1.005
0.020,0.029,-0.007,1.001
0.022,0.033,-0.003,1.005
0.024,0.035,0.002,1.004
0.027,0.036,0.003,1.003
0.029,0.037,0.005,1.004
0.032,0.041,0.001,1.002
0.034,0.046,-0.003,1.005
0.037,0.049,-0.004,1.003
0.039,0.053,-0.006,1.003
0.041,0.051,-0.007,1.004
0.049,0.058,-0.005,1.004
0.049,0.071,-0.006,1.005
0.050,0.100,-0.001,1.008
0.051,0.138,0.013,1.012
0.053,0.164,0.035,1.004
0.056,0.161,0.041,0.994
0.058,0.154,0.028,1.010
0.061,0.144,0.014,1.000
0.063,0.129,-0.003,1.009
0.066,0.119,-0.007,0.998
0.068,0.099,-0.014,1.004
0.070,0.095,-0.020,0.997
0.073,0.085,-0.031,1.005
0.075,0.069,-0.033,1.009
0.078,0.066,-0.032,0.988
0.080,0.076,-0.029,1.002
0.082,0.085,-0.029,0.995
0.084,0.083,-0.027,1.006
0.087,0.095,-0.022,1.002
0.089,0.105,-0.017,0.995
0.092,0.102,-0.009,1.017
0.094,0.114,-0.003,0.989
0.097,0.113,-0.005,1.006
0.100,0.113,-0.003,1.007
0.101,0.091,-0.013,1.012
0.104,0.091,-0.015,1.022
0.107,0.119,-0.011,0.977
0.109,0.116,-0.011,1.002
0.111,0.108,-0.019,1.007
0.113,0.122,-0.020,0.992
0.116,0.123,-0.025,1.012
0.118,0.088,-0.041,0.990
0.121,0.091,-0.040,1.032
0.123,0.111,-0.038,0.996
0.125,0.091,-0.041,0.985
0.128,0.093,-0.040,1.040
0.130,0.126,-0.032,0.985
0.134,0.134,-0.027,0.996
0.135,0.137,-0.025,1.014
0.138,0.136,-0.030,0.997
0.140,0.116,-0.040,0.987
0.142,0.069,-0.055,1.019
0.145,0.104,-0.040,1.002
0.147,0.119,-0.030,0.990
0.150,0.092,-0.041,1.024
0.152,0.113,-0.041,0.989
0.155,0.140,-0.026,1.025
0.157,0.187,-0.015,0.979
0.159,0.158,-0.031,1.009
0.162,0.150,-0.036,1.011
0.164,0.152,-0.039,0.990
0.173,0.142,-0.034,1.018
0.174,0.137,-0.025,1.001
0.174,0.111,-0.028,1.002
0.174,0.128,-0.021,1.006
0.176,0.155,-0.022,0.999
0.179,0.175,-0.021,0.989
0.181,0.154,-0.024,1.036
0.183,0.132,-0.032,0.988
0.186,0.132,-0.028,0.999
0.190,0.141,-0.028,0.985
0.191,0.135,-0.032,1.020
0.193,0.105,-0.041,0.996
0.196,0.121,-0.025,0.974
0.198,0.094,-0.025,1.073
0.201,0.168,0.000,0.978
0.203,0.125,-0.009,0.975
0.205,0.134,-0.015,1.041
0.207,0.134,-0.013,0.987
0.210,0.081,-0.007,1.010
0.212,0.099,0.002,0.979
0.215,0.135,0.031,1.034
0.217,0.149,0.026,0.985
0.221,0.133,0.019,1.006
0.223,0.111,0.007,0.982
0.224,0.052,-0.009,1.068
0.227,0.134,0.016,0.930
0.229,0.110,0.007,1.012
0.231,0.125,0.009,1.038
0.234,0.130,0.008,0.987
0.236,0.128,0.015,1.001
0.239,0.123,0.013,0.995
0.241,0.118,0.016,1.001
0.243,0.119,0.015,1.047
0.246,0.129,0.015,0.967
0.248,0.131,0.020,0.986
0.251,0.081,0.007,1.070
0.253,0.088,0.012,0.949
0.256,0.038,0.005,0.998
0.258,0.068,0.014,1.030
0.260,0.116,0.029,0.997
0.263,0.120,0.022,1.001
0.265,0.088,0.002,1.044
0.268,0.137,0.009,0.924
0.270,0.122,-0.003,1.045
0.273,0.125,-0.007,1.026
0.275,0.130,-0.003,1.001
0.277,0.153,-0.004,0.997
0.280,0.157,-0.007,0.983
0.282,0.093,-0.020,1.034
0.286,0.066,-0.028,0.963
0.287,0.075,-0.010,1.107
0.290,0.106,-0.002,0.926
0.292,0.079,-0.009,1.012
0.294,0.071,-0.026,1.016
0.296,0.103,-0.014,1.027
0.299,0.135,-0.003,1.028
0.301,0.117,-0.011,0.981
0.304,0.084,-0.017,1.041
0.306,0.114,-0.006,0.969
0.308,0.102,-0.010,0.961
0.311,0.103,-0.008,1.037
0.314,0.081,-0.015,0.972
0.316,0.103,-0.005,1.044
0.318,0.125,-0.003,0.958
0.321,0.088,-0.006,0.976
0.324,0.041,-0.020,1.045
0.326,0.135,0.012,1.013
0.329,0.138,0.013,0.969
0.330,0.112,0.001,0.995
0.332,0.083,-0.016,1.061
0.335,0.128,-0.008,0.926
0.337,0.139,-0.005,1.070
0.340,0.144,-0.009,0.927
0.342,0.094,-0.011,1.061
0.345,0.070,-0.025,1.001
0.347,0.013,-0.030,0.966
0.350,0.012,-0.026,1.016
0.353,0.022,-0.018,1.004
0.354,0.015,-0.019,0.983
0.358,0.006,-0.016,1.051
0.359,0.041,-0.012,0.982
0.362,0.093,0.009,1.019
0.364,0.093,0.004,0.973
0.367,0.080,-0.002,1.024
0.369,0.085,-0.000,1.003
0.371,0.090,0.001,0.976
0.374,0.083,0.003,1.015
0.376,0.133,0.024,1.019
0.378,0.125,0.023,0.959
0.381,0.048,-0.008,1.090
0.383,0.072,-0.000,0.957
0.386,0.051,0.002,1.003
0.388,0.045,0.000,1.030
0.392,0.033,-0.006,0.961
0.393,0.049,-0.003,1.027
0.395,0.068,0.000,1.006
0.398,0.049,-0.004,1.004
0.400,0.059,-0.003,1.002
0.403,0.049,-0.013,1.000
0.405,0.080,-0.003,0.966
0.407,0.089,-0.003,1.030
0.410,0.023,-0.016,1.027
0.414,0.057,-0.008,1.005
0.415,0.063,0.003,0.986
0.417,0.045,-0.001,1.011
0.419,0.007,-0.015,1.005
0.422,0.052,-0.005,0.936
0.427,0.107,0.007,1.023
0.427,0.022,-0.022,1.075
0.429,0.056,-0.007,0.923
0.431,0.044,-0.001,1.064
0.434,0.024,-0.002,0.953
0.438,0.025,0.001,1.021
0.440,0.038,0.003,1.011
0.441,0.046,0.013,0.965
0.444,0.017,0.000,1.018
0.447,0.024,0.007,1.032
0.448,0.112,0.030,0.983
0.451,0.016,0.000,0.973
0.454,-0.004,-0.002,1.081
0.455,0.042,0.002,0.898
0.458,0.086,0.012,1.069
0.460,-0.018,-0.020,1.039
0.463,-0.005,-0.011,0.926
0.465,0.047,0.004,1.088
0.467,0.035,0.000,0.973
0.470,0.075,0.016,1.031
0.472,0.101,0.022,0.997
0.475,0.084,0.016,1.005
0.477,0.081,0.006,0.991
0.481,0.090,0.005,1.052
0.482,0.087,0.009,0.976
0.484,0.076,0.004,1.038
0.487,0.014,-0.005,1.016
0.489,-0.010,-0.012,0.907
0.493,-0.009,-0.006,1.042
0.494,-0.005,-0.008,1.064
0.496,0.031,0.010,0.886
0.499,-0.035,-0.009,1.102
0.501,0.003,-0.006,0.982
0.504,0.052,0.005,0.935
0.506,0.013,-0.005,1.069
0.509,0.030,-0.008,0.989
0.511,0.022,-0.007,0.984
0.516,-0.021,-0.020,1.031
0.516,-0.007,-0.015,0.948
0.518,0.024,-0.004,0.998
0.520,0.037,0.006,1.047
0.523,0.044,-0.002,1.000
0.526,0.059,-0.002,1.019
0.528,0.043,-0.006,0.894
0.530,-0.041,-0.032,1.152
0.532,0.026,-0.011,0.932
0.535,0.024,0.000,0.953
0.537,-0.047,-0.023,1.133
0.540,0.061,0.008,0.878
0.542,-0.037,-0.020,1.052
0.544,0.010,-0.008,1.048
0.548,0.018,-0.009,0.896
0.549,-0.086,-0.045,1.071
0.552,-0.014,-0.010,0.985
0.554,-0.060,-0.026,0.990
0.556,0.071,0.015,1.013
0.559,0.037,0.005,0.983
0.562,-0.030,-0.022,0.974
0.564,-0.003,-0.014,1.042
0.566,0.086,0.018,0.981
0.568,0.047,0.004,1.071
0.571,0.042,0.003,0.964
0.573,-0.018,-0.009,0.990
0.577,-0.076,-0.022,1.019
0.578,-0.016,0.002,0.995
0.582,-0.014,0.004,1.012
0.583,-0.006,0.009,1.020
0.585,-0.009,0.004,0.953
0.588,-0.095,-0.025,1.036
0.590,-0.050,-0.016,1.010
0.593,-0.080,-0.024,0.959
0.596,-0.011,-0.001,1.025
0.597,0.001,-0.004,0.990
0.600,0.001,-0.010,1.076
0.604,0.048,0.003,0.929
0.605,-0.001,-0.023,1.006
0.607,0.022,-0.016,1.080
0.610,0.065,-0.001,0.961
0.612,0.001,-0.021,0.980
0.615,-0.034,-0.027,1.047
0.617,0.043,0.003,1.001
0.619,0.064,0.005,0.987
0.621,-0.000,-0.009,0.998
0.624,-0.080,-0.038,0.982
0.627,-0.139,-0.056,1.040
0.629,-0.088,-0.031,1.003
0.631,-0.067,-0.025,0.949
0.634,-0.061,-0.017,1.039
0.638,-0.113,-0.050,0.965
0.639,-0.060,-0.033,1.026
0.641,0.063,0.006,1.013
0.643,-0.057,-0.039,0.988
0.646,-0.042,-0.036,0.971
0.649,-0.046,-0.024,1.076
0.651,-0.134,-0.052,0.923
0.653,-0.134,-0.037,0.986
0.655,-0.082,-0.015,1.084
0.658,-0.052,-0.004,0.974
0.660,-0.042,-0.010,0.949
0.663,-0.024,-0.011,1.045
0.665,-0.082,-0.028,0.997
0.667,-0.102,-0.035,0.961
0.673,-0.024,-0.012,1.035
0.673,-0.013,-0.009,0.988
0.675,-0.094,-0.027,1.010
0.680,-0.013,-0.013,0.995
0.680,-0.038,-0.023,1.045
0.682,-0.020,-0.021,0.922
0.684,-0.094,-0.041,1.146
0.687,-0.092,-0.039,0.952
0.689,-0.100,-0.034,0.886
0.691,-0.122,-0.037,1.134
0.694,-0.103,-0.031,1.006
0.696,-0.097,-0.027,0.966
0.700,-0.130,-0.042,0.935
0.702,-0.128,-0.044,1.069
0.704,-0.040,-0.019,0.961
0.706,-0.072,-0.026,1.067
0.708,0.001,-0.001,0.951
0.711,-0.020,-0.004,0.992
0.713,-0.052,-0.014,1.040
0.716,-0.015,0.001,1.034
0.718,-0.031,0.001,1.028
0.720,-0.054,-0.002,0.985
0.723,-0.119,-0.010,0.922
0.725,-0.110,-0.004,1.029
0.728,-0.131,-0.014,0.986
0.730,-0.166,-0.018,1.020
0.732,-0.157,-0.011,1.040
0.735,-0.105,0.008,0.986
0.739,-0.088,0.006,0.889
0.740,-0.091,-0.006,1.068
0.742,-0.072,-0.015,0.996
0.745,-0.149,-0.042,0.947
0.747,-0.152,-0.035,1.084
0.750,-0.044,0.006,0.946
0.752,-0.089,-0.007,0.975
0.754,-0.008,0.012,1.084
0.756,0.024,0.019,0.938
0.759,-0.056,-0.007,0.998
0.761,-0.077,-0.010,1.052
0.764,-0.044,-0.002,0.982
0.766,-0.043,0.005,0.995
0.768,-0.047,0.009,1.007
0.774,-0.131,-0.018,0.994
0.774,-0.144,-0.015,1.042
0.776,-0.112,0.004,0.951
0.778,-0.131,0.004,1.002
0.781,-0.146,0.008,1.017
0.783,-0.113,0.007,0.971
0.785,-0.190,-0.017,1.008
0.788,-0.137,0.005,1.020
0.790,-0.061,0.027,0.959
0.793,-0.087,0.008,1.023
0.795,-0.067,0.014,1.028
0.797,-0.105,-0.011,0.974
