index;x;y;z
0;0.008057;-0.006317;-0.988571
1;0.009094;-0.007477;-0.987228
2;0.008652;-0.006363;-0.988113
3;0.009109;-0.006149;-0.987976
4;0.008392;-0.006744;-0.987885
5;0.008987;-0.006042;-0.987427
6;0.008606;-0.006134;-0.987411
7;0.009888;-0.006470;-0.986816
8;0.112244;-0.044617;-0.989594
9;0.043732;0.118484;-0.988022
10;0.025589;-0.018509;-0.986588
11;0.012131;-0.102921;-0.986740
12;0.030151;-0.307495;-0.987183
13;-0.042542;-0.404419;-0.988220
14;-0.042557;-0.540482;-0.985275
15;-0.115860;-0.438995;-0.985916
16;-0.217682;-0.390182;-0.987381
17;-0.274979;-0.141937;-1.001297
18;-0.251968;0.109512;-0.995728
19;-0.309875;0.421631;-0.988495
20;-0.246185;0.587616;-0.990479
21;-0.257431;0.617691;-0.991302
22;-0.075089;0.547684;-0.989334
23;0.091797;0.425354;-0.985077
24;0.076263;0.222656;-0.985397
25;0.209290;0.276520;-0.987106
26;0.218796;0.134521;-0.988770
27;0.385696;0.081039;-0.989822
28;0.436295;0.217041;-0.987396
29;0.431549;0.098099;-0.988922
30;0.494080;0.061569;-0.988892
31;0.607162;-0.142868;-0.985184
32;0.500656;-0.293747;-0.988739
33;0.259079;-0.299362;-0.987534
34;-0.001617;-0.223083;-0.987045
35;-0.274551;-0.052994;-0.990845
36;-0.347321;0.023132;-0.987366
37;-0.411407;0.069687;-0.983948
38;-0.365906;0.021622;-0.988266
39;-0.363678;0.032959;-0.987396
40;-0.275742;-0.186630;-0.988327
41;-0.345123;-0.017639;-0.986923
42;-0.459351;0.076813;-0.987503
43;-0.438950;0.108566;-0.987579
44;-0.348892;0.187134;-0.988098
45;-0.114319;0.235672;-0.988632
46;0.177094;0.280533;-0.991699
47;0.375381;0.201584;-0.994522
48;0.380234;0.202286;-0.988541
49;0.315323;0.324112;-0.984406
50;0.294098;0.176727;-0.990753
51;0.204071;0.112625;-0.988342
52;0.289001;-0.013855;-0.989655
53;0.528320;-0.298920;-0.986160
54;0.677414;-0.377304;-0.991592
55;0.548828;-0.379517;-0.987198
56;0.327393;-0.409073;-0.988815
57;0.098969;-0.226395;-0.984787
58;-0.382767;-0.047867;-0.990799
59;-0.504333;0.149933;-0.987274
60;-0.582550;0.177643;-0.988983
61;-0.344757;0.144073;-0.989105
62;-0.210892;0.011719;-0.988129
63;0.009827;-0.006165;-0.987335
64;0.008713;-0.006378;-0.987701
65;0.002167;-0.033585;-0.989059
66;0.009903;-0.005478;-0.987640
67;0.008652;-0.006531;-0.988998
68;0.010529;-0.006546;-0.988449
69;0.011246;-0.006592;-0.987518
70;0.009171;-0.006439;-0.988708
71;0.009903;-0.006302;-0.988632
72;0.009918;-0.005737;-0.987000
73;0.008392;-0.006165;-0.988831
74;0.008270;-0.002960;-0.974747
75;0.011124;-0.007004;-0.998749
