index;x;y;z
0;0.007675;-0.005554;-0.988846
1;0.008896;-0.004150;-0.991562
2;0.006943;-0.005585;-0.986771
3;0.007828;-0.006195;-0.990372
4;0.008102;-0.002975;-0.989014
5;0.006805;-0.005478;-0.986801
6;-0.037888;-0.093140;-0.992096
7;0.022949;-0.018341;-0.987503
8;0.091156;-0.068054;-0.986465
9;0.201141;-0.219421;-0.990143
10;0.389618;-0.374008;-0.988724
11;0.518921;-0.148865;-0.985870
12;0.528412;-0.131714;-0.992828
13;0.449615;0.001236;-0.992294
14;0.360764;0.275452;-0.993805
15;0.170990;0.487610;-0.994080
16;0.007599;0.653412;-0.992676
17;-0.256287;0.749756;-0.993408
18;-0.367172;0.743347;-0.990189
19;-0.406525;0.615921;-0.941864
20;-0.373291;0.438141;-0.993713
21;-0.512436;0.379150;-0.989807
22;-0.503891;-0.126755;-0.990921
23;-0.580551;-0.066742;-0.979889
24;-0.648560;-0.254105;-0.991501
25;-0.461639;-0.539215;-0.979248
26;-0.195572;-0.602203;-0.981766
27;-0.164627;-0.558411;-0.992188
28;0.141708;-0.653671;-0.979507
29;0.190979;-0.398468;-0.991333
30;0.339966;-0.108322;-0.989212
31;0.284927;0.133759;-0.993896
32;0.311813;-0.059036;-0.986664
33;0.353455;0.041077;-0.989609
34;0.303375;0.161942;-0.990601
35;0.155197;0.153595;-0.988571
36;0.184006;0.202942;-0.988815
37;0.153046;0.164734;-0.988617
38;0.082626;0.179245;-0.990631
39;0.058212;0.064789;-0.986923
40;0.006546;-0.005066;-0.988159
41;0.007950;-0.004669;-0.988861
42;0.007462;-0.005997;-0.988876
43;0.007767;-0.004395;-0.987457
44;0.007843;-0.005264;-0.990845
45;0.007172;-0.006638;-0.988602
46;0.001587;-0.014496;-0.986343
47;0.008270;-0.003128;-0.990417
48;0.007904;-0.005463;-0.986542
49;0.007584;-0.005615;-0.989609
50;0.008041;-0.005249;-0.987061
51;0.008041;-0.006073;-0.996262
52;0.006775;-0.003891;-0.978958
