index;x;y;z
0;0.003693;-0.006226;-0.987778
1;0.004913;-0.006119;-0.987061
2;0.004013;-0.006393;-0.985352
3;0.004150;-0.005280;-0.986679
4;0.004532;-0.005524;-0.988510
5;0.004883;-0.006241;-0.987228
6;0.003540;-0.005066;-0.986084
7;0.003708;-0.005844;-0.987076
8;0.004639;-0.006165;-0.986984
9;0.004532;-0.006561;-0.987350
10;0.003311;-0.006714;-0.987061
11;0.004456;-0.006973;-0.986664
12;0.004684;-0.006165;-0.987869
13;0.004303;-0.005203;-0.987610
14;0.004272;-0.005814;-0.986237
15;0.003891;-0.006332;-0.986877
16;0.004349;-0.006378;-0.987198
17;0.004913;-0.006348;-0.987305
18;0.004135;-0.006256;-0.986755
19;0.004105;-0.006027;-0.986771
20;0.004532;-0.007263;-0.987015
21;0.016663;0.018692;-0.986389
22;0.005417;-0.005600;-0.986557
23;0.004745;-0.006546;-0.986694
24;0.038864;-0.000443;-0.987198
25;0.412766;0.049484;-0.996063
26;0.667603;-0.030579;-0.979126
27;1.038574;-0.085999;-0.982544
28;0.751648;-0.038467;-1.003464
29;-0.093643;0.109116;-0.989410
30;-0.816467;0.010269;-0.987930
31;-1.057556;0.026825;-0.985657
32;-0.821030;0.117783;-0.986099
33;0.010223;-0.001495;-0.987106
34;0.005096;-0.005310;-0.986008
35;0.000015;0.007935;-0.987457
36;0.032166;0.024887;-0.989258
37;0.028076;0.007401;-0.986389
38;0.046021;0.159882;-0.987106
39;0.084122;0.690826;-0.990677
40;0.198471;1.112564;-0.990448
41;0.246185;0.889297;-0.993622
42;0.006958;0.344376;-0.993973
43;-0.096619;-0.222870;-0.977905
44;-0.039169;-0.741196;-0.981369
45;-0.101151;-0.548782;-0.990677
46;0.005539;-0.729752;-0.988113
47;-0.141342;-0.498840;-0.988068
48;-0.116302;-0.380142;-0.983246
49;-0.013718;-0.196533;-0.985138
50;-0.005951;-0.030884;-0.986847
51;0.005051;-0.006317;-0.988876
52;0.005341;-0.006134;-0.985626
53;-0.415985;0.052505;-0.987167
54;-0.668182;0.187897;-0.988892
55;-0.871292;0.050262;-0.985748
56;-0.934082;0.008438;-0.986877
57;-0.297485;0.141464;-0.994049
58;0.610870;0.087616;-0.992340
59;0.878540;-0.049286;-0.990616
60;0.804245;-0.014618;-0.993134
61;0.627701;-0.129837;-0.980759
62;0.307022;0.032516;-0.986893
63;0.004547;-0.004669;-0.986145
64;0.004807;-0.005417;-0.987778
65;0.005798;-0.005478;-0.989166
66;0.238831;-0.079788;-0.986374
67;-0.057098;-0.023178;-0.987503
68;0.117645;-0.134628;-0.989975
69;0.239609;-0.177368;-0.986969
70;0.451981;-0.380035;-0.991989
71;0.634537;-0.390091;-0.984497
72;0.692657;-0.382248;-0.992340
73;0.427612;-0.139999;-0.978104
74;0.016296;0.178116;-0.982864
75;-0.306519;0.336105;-0.989578
76;-0.750153;0.612289;-0.990189
77;-0.592804;0.422623;-0.983704
78;-0.418076;0.224197;-0.989685
79;-0.264084;0.210693;-0.986160
80;0.013977;0.008316;-0.988953
81;0.003906;-0.004425;-0.987061
82;-0.025574;0.016083;-0.986588
83;-0.109131;0.036804;-0.990051
84;-0.301987;0.045944;-0.988327
85;-0.400772;0.019150;-0.984589
86;-0.545639;0.006989;-0.988724
87;-0.508911;0.027451;-0.989944
88;-0.424744;-0.074951;-0.986267
89;-0.043381;0.010361;-0.997681
90;0.353897;0.035553;-0.991013
91;0.790451;-0.082382;-0.988693
92;0.564117;0.040543;-0.989578
93;0.337479;0.050003;-0.987411
94;0.294128;-0.023453;-0.989227
95;0.149628;0.048904;-0.984070
96;0.004242;-0.005234;-0.985199
97;0.004486;-0.006927;-0.987473
98;0.004745;-0.005219;-0.986008
99;0.005112;-0.007339;-0.987900
100;0.005066;-0.005432;-0.987518
101;0.004761;-0.006424;-0.987732
102;0.004486;-0.006256;-0.988754
103;0.004425;-0.005264;-0.987076
104;0.004486;-0.005295;-0.988663
105;0.004395;-0.005615;-0.986816
106;0.005005;-0.005722;-0.987549
107;0.004257;-0.005310;-0.987732
108;0.004288;-0.006287;-0.987167
109;0.004349;-0.006042;-0.987503
110;0.004700;-0.006638;-0.986664
111;0.004959;-0.004852;-0.988373
112;0.004868;-0.005920;-0.987000
113;0.005295;-0.005417;-0.986496
114;0.004547;-0.005936;-0.987122
115;0.005157;-0.007019;-0.993683
116;0.004395;-0.005508;-0.983612
