index;x;y;z
0;0.005997;-0.005875;-0.988831
1;0.005920;-0.006042;-0.989014
2;0.005966;-0.006302;-0.986282
3;0.005585;-0.005356;-0.987625
4;0.006851;-0.006180;-0.986343
5;0.005646;-0.006134;-0.985504
6;0.006165;-0.006332;-0.988892
7;0.005630;-0.006149;-0.985382
8;0.005157;-0.006104;-0.987000
9;0.005447;-0.005539;-0.987152
10;0.006226;-0.007111;-0.987228
11;0.006989;-0.005310;-0.986542
12;0.006378;-0.005600;-0.987946
13;0.006607;-0.005966;-0.986710
14;0.005783;-0.006317;-0.985565
15;0.005371;-0.005890;-0.987198
16;0.005600;-0.005478;-0.986679
17;0.005005;-0.006226;-0.986115
18;0.006195;-0.006302;-0.987518
19;0.005783;-0.005905;-0.987350
20;0.006393;-0.005249;-0.985672
21;0.006363;-0.006317;-0.984955
22;-0.013153;-0.757614;-0.989670
23;0.015259;-0.485046;-0.981445
24;-0.037201;-0.741684;-0.987411
25;-0.081543;-0.611755;-0.984650
26;0.073593;-0.331024;-0.985672
27;0.045135;-0.008575;-0.989090
28;0.069977;0.393433;-0.984467
29;0.007065;0.730042;-0.985306
30;0.080505;0.643448;-0.988266
31;-0.070862;0.426163;-0.987976
32;-0.128464;0.290726;-0.986923
33;-0.139084;0.064774;-0.987091
34;-0.393311;0.098648;-0.985291
35;-0.619385;-0.119705;-0.985046
36;-0.925110;-0.092361;-0.990738
37;-0.771683;0.004684;-0.992523
38;-0.256927;0.231995;-0.991577
39;0.234955;0.157455;-0.988800
40;0.589905;0.140488;-0.986374
41;0.642654;0.065277;-0.983414
42;0.715500;0.038055;-0.986755
43;0.500031;0.026169;-0.989288
44;0.391525;0.002670;-0.985550
45;0.096909;-0.015549;-0.987213
46;0.438507;0.386719;-0.986832
47;0.656311;0.301270;-0.983780
48;0.763763;0.439743;-0.985748
49;0.645645;0.406189;-0.996597
50;0.232040;0.245148;-0.995026
51;-0.105408;-0.041458;-0.992142
52;-0.525543;-0.166412;-0.991913
53;-0.575974;-0.142715;-0.986008
54;-0.660309;-0.304291;-0.987839
55;-0.560852;-0.256042;-0.979752
56;-0.480316;-0.163132;-0.985352
57;-0.228256;-0.091370;-0.986862
58;-0.435257;0.031525;-0.986786
59;-0.624374;-0.052719;-0.982712
60;-0.729584;0.014893;-0.984619
61;-0.402420;0.039078;-0.982803
62;0.114853;-0.088882;-0.995850
63;0.253662;-0.040009;-0.997192
64;0.503448;0.063187;-0.988724
65;0.613968;0.060150;-0.990051
66;0.583374;0.003632;-0.994141
67;0.327835;0.031799;-0.988037
68;0.027908;-0.021622;-0.998703
69;0.005447;-0.006485;-0.988815
70;0.005859;-0.005493;-0.987534
71;0.004990;-0.005768;-0.986191
72;0.005096;-0.006500;-0.986755
73;0.006042;-0.005692;-0.986511
74;0.005112;-0.005524;-0.987976
75;0.004395;-0.005981;-0.987396
76;0.005707;-0.005066;-0.985947
77;0.005173;-0.006668;-0.987473
78;0.005875;-0.005310;-0.987915
79;0.005005;-0.005432;-0.987610
80;0.005447;-0.005554;-0.986771
81;0.004517;-0.005798;-0.987640
82;0.006058;-0.007996;-0.995636
83;0.004974;-0.005203;-0.983963
