index;x;y;z
0;0.004807;-0.004883;-0.982422
1;0.004379;-0.005066;-0.985168
2;0.005402;-0.004333;-0.987686
3;0.005310;-0.005417;-0.984558
4;0.004822;-0.004456;-0.985840
5;0.005539;-0.004822;-0.985855
6;0.005173;-0.004623;-0.986542
7;0.005447;-0.004822;-0.987228
8;0.005386;-0.005966;-0.985458
9;0.004501;-0.004440;-0.983154
10;0.004471;-0.005386;-0.986816
11;0.004959;-0.005188;-0.986938
12;0.005554;-0.005249;-0.984268
13;-0.167191;-0.226959;-0.982941
14;-0.036057;-0.350403;-0.985672
15;0.376678;-0.258438;-0.987518
16;0.417358;0.020325;-0.986984
17;0.498886;-0.003540;-0.987335
18;0.555725;0.213989;-0.990967
19;0.355850;0.447388;-0.985779
20;0.265198;0.552017;-0.982895
21;-0.004379;0.521210;-0.985321
22;-0.107574;0.403595;-0.988434
23;-0.270004;0.336975;-0.997604
24;-0.240326;0.211151;-0.978699
25;-0.396484;0.183655;-0.981583
26;-0.452866;0.037354;-0.993179
27;-0.495651;-0.001389;-0.986801
28;-0.491089;-0.083908;-0.985931
29;-0.419601;-0.183716;-0.985672
30;-0.456909;-0.332855;-0.981644
31;-0.409348;-0.255630;-0.984283
32;-0.295593;-0.287872;-0.984116
33;-0.254288;-0.197983;-0.982956
34;-0.121414;-0.175858;-0.982224
35;-0.098236;-0.109726;-0.984604
36;0.056198;-0.207855;-0.990631
37;0.064377;-0.232422;-0.987747
38;0.127045;-0.188675;-0.980515
39;0.242020;-0.169052;-0.987595
40;0.261429;-0.152649;-0.985672
41;0.404922;-0.049850;-0.983200
42;0.250992;-0.025620;-0.984055
43;0.272247;-0.084335;-0.984787
44;0.204712;0.096359;-0.985001
45;0.136826;0.180313;-0.987411
46;0.051483;0.161987;-0.981827
47;0.047333;0.241547;-0.988403
48;-0.020874;0.208694;-0.988739
49;-0.071854;0.159363;-0.985428
50;0.109604;0.100586;-0.985535
51;0.717224;0.261124;-0.987564
52;1.217743;0.053726;-0.985291
53;0.666916;-0.075775;-0.986847
54;-0.453888;0.035202;-0.991730
55;-0.981079;-0.144287;-0.977524
56;-0.832260;-0.045578;-0.987961
57;-0.308258;-0.035202;-0.984711
58;-0.213654;0.120316;-0.985687
59;0.147659;0.060074;-0.982635
60;-0.150833;-0.043594;-0.986465
61;0.006195;-0.005157;-0.985428
62;0.004089;-0.006454;-0.985764
63;0.005005;-0.005539;-0.985306
64;0.005524;-0.005371;-0.985580
65;0.006302;-0.005981;-0.987701
66;0.005371;-0.004761;-0.987259
67;0.005569;-0.004944;-0.984833
68;0.006226;-0.005646;-0.988113
69;0.006378;-0.003952;-0.979767
70;0.005417;-0.008057;-0.991730
71;0.005173;-0.005157;-0.988571
72;0.005386;-0.002716;-0.980865
73;0.005081;-0.007217;-0.987381
74;0.005432;-0.004471;-0.988632
75;0.006302;-0.005051;-0.983704
76;0.006088;-0.008530;-0.991653
