index;x;y;z
0;0.005692;-0.003784;-0.985474
1;0.006729;-0.004425;-0.987885
2;0.005875;-0.006027;-0.985977
3;0.006088;-0.005569;-0.986526
4;0.005829;-0.005356;-0.987595
5;0.005768;-0.004501;-0.987625
6;0.005234;-0.004379;-0.986633
7;0.006256;-0.005295;-0.987778
8;0.006546;-0.004013;-0.988174
9;0.005203;-0.003693;-0.983902
10;0.006134;-0.004868;-0.986847
11;0.007111;-0.004898;-0.987625
12;0.006363;-0.005569;-0.985565
13;0.006119;-0.005905;-0.988220
14;0.006226;-0.003281;-0.983124
15;0.005905;-0.005600;-0.987793
16;0.006226;-0.005005;-0.986954
17;0.005966;-0.003799;-0.987366
18;0.005859;-0.004364;-0.987076
19;0.006393;-0.005539;-0.986237
20;0.006775;-0.004440;-0.986649
21;0.044296;0.036926;-0.987839
22;-0.105133;0.618561;-0.977890
23;-0.027664;0.699493;-0.987457
24;-0.023270;0.780914;-0.984802
25;-0.080750;0.672958;-0.994202
26;0.056183;0.336731;-0.990082
27;0.186386;-0.114334;-0.984253
28;0.049271;-0.349899;-0.975952
29;0.034607;-0.605286;-0.984940
30;0.012283;-0.636703;-0.983994
31;0.000092;-0.485641;-0.988922
32;0.016830;-0.308319;-0.982819
33;0.005508;-0.268677;-0.987610
34;0.008041;-0.270203;-0.984985
35;-0.025742;-0.129883;-0.987411
36;0.102142;-0.514221;-0.989151
37;0.040039;-0.402359;-0.986893
38;0.001312;-0.492813;-0.987244
39;0.054367;-0.458023;-0.986557
40;0.051682;-0.311066;-0.989807
41;-0.073975;-0.086304;-0.987183
42;-0.206345;0.334442;-0.987610
43;-0.026413;0.397049;-0.986313
44;0.080032;0.337845;-0.989990
45;-0.000595;0.412903;-0.987427
46;0.012817;0.379486;-0.985825
47;-0.007050;0.167938;-0.987305
48;-0.063553;0.058014;-0.987701
49;-0.194916;0.076965;-0.988449
50;-0.264221;0.125137;-0.990341
51;-0.240555;0.030212;-0.989212
52;-0.303848;-0.039581;-0.982803
53;-0.204941;-0.013840;-0.989655
54;-0.094116;-0.012360;-0.985474
55;0.057510;0.016998;-0.996231
56;0.133835;0.050201;-0.982071
57;0.151199;0.022659;-0.987900
58;0.225464;-0.035461;-0.977646
59;0.305359;-0.069275;-0.985260
60;0.292160;-0.061401;-0.991089
61;0.246292;-0.092682;-0.991364
62;0.124100;-0.076401;-0.984970
63;0.057892;-0.262436;-0.988220
64;0.047348;-0.467255;-0.987488
65;-0.048355;-0.553848;-0.986588
66;-0.047333;-0.575317;-0.988373
67;-0.018295;-0.518372;-0.984528
68;0.009125;0.082108;-0.990494
69;-0.031647;0.468063;-0.983078
70;0.118851;0.681534;-0.982422
71;0.130676;0.678497;-0.987305
72;-0.042068;0.614456;-0.987579
73;-0.007980;0.333694;-0.989731
74;-0.041168;0.433121;-0.986359
75;-0.085464;0.635239;-0.987274
76;0.020721;0.820953;-0.991898
77;0.029129;0.700577;-0.988983
78;0.110336;0.574158;-0.976471
79;-0.033325;0.091721;-0.987076
80;-0.042023;-0.363098;-0.981400
81;0.045288;-0.698120;-0.981827
82;0.076630;-0.876663;-0.985474
83;0.135544;-0.781158;-0.993210
84;0.022797;-0.584991;-0.985016
85;-0.032745;-0.348770;-0.988083
86;-0.018555;-0.013260;-0.991272
87;0.015884;-0.031876;-0.974854
88;0.037476;-0.032623;-0.987793
89;0.018295;-0.016098;-0.988876
90;0.005325;-0.006042;-0.986679
91;0.003967;-0.005783;-0.987503
92;0.005615;-0.005859;-0.985825
93;0.004211;-0.006287;-0.985703
94;0.004700;-0.006973;-0.989655
95;0.005737;-0.007309;-0.987823
96;0.005844;-0.006348;-0.986328
97;0.004471;-0.006439;-0.987473
98;0.005814;-0.005981;-0.985947
99;0.005005;-0.006271;-0.987076
100;0.006531;-0.009308;-0.987762
101;0.005081;-0.008453;-0.989273
