index;x;y;z
0;0.006393;-0.004929;-0.988266
1;0.006317;-0.004456;-0.984756
2;0.007278;-0.004547;-0.985275
3;0.005905;-0.005264;-0.986481
4;0.006317;-0.004028;-0.986206
5;0.006180;-0.004791;-0.986084
6;0.007080;-0.005646;-0.986603
7;0.006348;-0.005219;-0.985428
8;0.006134;-0.004517;-0.985443
9;0.005142;-0.004715;-0.986099
10;0.005951;-0.004471;-0.986221
11;0.006195;-0.004929;-0.985336
12;0.006622;-0.004669;-0.986481
13;0.006424;-0.005264;-0.986313
14;0.006958;-0.005081;-0.985733
15;0.005661;-0.004913;-0.986404
16;0.006104;-0.005249;-0.984039
17;-0.075012;-0.044586;-0.986465
18;-0.102325;0.032364;-0.984802
19;-0.700806;0.048462;-0.981766
20;-1.794434;-0.144257;-0.986313
21;-1.388245;-0.072327;-0.986572
22;-0.290894;0.279755;-0.980423
23;0.584106;0.112015;-0.986023
24;1.361389;0.100967;-0.983109
25;1.057236;0.111633;-0.988022
26;0.871338;-0.117966;-0.985977
27;0.292725;0.005859;-0.986282
28;0.040024;-0.006454;-0.985992
29;0.019882;0.014206;-0.986511
30;0.023529;-0.012039;-0.985184
31;0.008591;0.017517;-0.987061
32;0.000443;-0.001083;-0.985886
33;0.063126;0.017303;-0.985550
34;0.435837;0.084427;-0.987625
35;1.015701;-0.068893;-0.985825
36;1.138123;-0.155731;-0.983795
37;0.408859;0.054947;-0.983704
38;-0.494217;0.195984;-0.982086
39;-0.786392;0.085785;-0.982437
40;-0.849701;0.100388;-0.983521
41;-0.536041;0.063599;-0.984680
42;-0.189606;0.011139;-0.986420
43;-0.035873;0.038055;-0.985764
44;0.028198;0.105927;-0.985474
45;0.054642;0.332230;-0.987823
46;0.018661;0.371582;-0.986755
47;0.196655;0.839233;-0.988266
48;0.205994;0.678726;-0.989029
49;0.041153;0.525787;-0.977203
50;-0.051147;-0.201447;-0.987579
51;-0.007919;-0.715897;-0.986389
52;-0.041183;-0.846451;-0.985474
53;-0.126556;-0.719452;-0.985397
54;-0.100845;-0.364807;-0.985657
55;0.026154;-0.132278;-0.986435
56;0.006607;-0.004761;-0.986023
57;0.103119;-0.000076;-0.985031
58;0.464050;0.033997;-0.985077
59;1.206024;-0.014694;-0.987900
60;1.084396;-0.035400;-0.987198
61;0.176544;0.176544;-0.995255
62;-0.551529;0.052353;-0.976654
63;-0.878937;-0.016266;-0.986084
64;-0.959702;-0.061707;-0.985855
65;-0.721390;0.075699;-0.986755
66;-0.251755;0.053116;-0.984070
67;-0.427750;0.151230;-0.990005
68;-0.604797;0.128799;-0.979248
69;-1.144150;0.060913;-0.985703
70;-1.969131;0.265350;-0.986801
71;-0.864105;-0.067886;-0.980331
72;0.357361;0.390762;-0.994781
73;1.485123;0.038666;-0.983566
74;1.924347;-0.184250;-0.985428
75;1.490005;0.063660;-0.991699
76;0.176712;-0.072586;-0.985611
77;-0.177841;0.104538;-0.984299
78;0.072891;-0.004166;-0.987930
79;-0.005554;-0.034470;-0.986832
80;0.005798;-0.005478;-0.988144
81;0.005478;-0.004639;-0.983597
82;0.005814;-0.005585;-0.983276
83;0.005325;-0.005249;-0.988693
84;0.005463;-0.005264;-0.987503
85;0.006165;-0.005951;-0.986374
86;0.005051;-0.004898;-0.984879
87;0.004654;-0.004974;-0.984360
88;0.005905;-0.005936;-0.988770
89;0.004807;-0.005478;-0.985306
90;0.006302;-0.005417;-0.982880
91;0.006027;-0.005600;-0.985107
92;0.005707;-0.005386;-0.986496
93;0.006195;-0.004990;-0.985397
94;0.005783;-0.006302;-0.986023
95;0.005066;-0.004990;-0.989029
96;0.005615;-0.004868;-0.980072
