index;x;y;z
0;0.005585;-0.004807;-0.985672
1;0.006012;-0.004745;-0.990067
2;0.006699;-0.004562;-0.985123
3;0.004822;-0.005081;-0.986740
4;0.006302;-0.004211;-0.985474
5;0.005554;-0.004807;-0.986557
6;0.006256;-0.004944;-0.987213
7;0.006989;-0.004669;-0.986328
8;0.006409;-0.005066;-0.986359
9;0.006485;-0.005585;-0.988174
10;0.006317;-0.005081;-0.987228
11;0.005569;-0.005661;-0.984833
12;0.005249;-0.004440;-0.985977
13;0.006058;-0.004517;-0.986053
14;0.006119;-0.004822;-0.986679
15;0.003098;-0.005356;-0.986176
16;-0.004761;0.212769;-0.992264
17;-1.452942;-0.071167;-0.984268
18;-1.098297;-0.279556;-0.980576
19;-0.741272;0.059769;-0.987320
20;0.526352;0.209885;-0.989563
21;0.951111;-0.095551;-0.990005
22;0.724075;0.030472;-0.988068
23;0.842438;0.084290;-0.988647
24;0.487717;-0.006760;-0.987793
25;0.039642;0.004288;-0.985062
26;-0.105286;0.322678;-0.985489
27;-0.155090;0.546738;-0.986679
28;0.015945;0.867966;-0.989136
29;0.073639;0.878738;-0.988785
30;0.325684;0.270905;-0.990250
31;0.385391;-0.005203;-0.990326
32;0.358093;-0.163727;-0.993652
33;0.359955;-0.277115;-0.993698
34;0.198212;-0.477142;-0.987656
35;0.252701;-0.438766;-0.986801
36;0.229095;-0.519653;-0.987488
37;0.060181;-0.484238;-0.995346
38;-0.259186;-0.564163;-0.980652
39;-0.342606;-0.457520;-0.980026
40;-0.496628;-0.641357;-0.983170
41;-0.420029;-0.393295;-0.973923
42;-0.292816;-0.373520;-0.988876
43;-0.106979;-0.161377;-0.980087
44;-0.072922;-0.091446;-0.984970
45;0.062256;0.175919;-0.989899
46;0.024689;0.411392;-0.986725
47;0.076614;0.427231;-0.986664
48;0.037094;0.408844;-0.987671
49;-0.027344;0.224731;-0.989365
50;-0.036362;0.203522;-0.991867
51;-0.103104;0.021362;-0.990494
52;-0.028854;0.014984;-0.983322
53;0.000763;-0.002808;-0.986694
54;0.005676;-0.005142;-0.987579
55;0.005157;-0.004883;-0.985855
56;0.005051;-0.004944;-0.986374
57;0.004578;-0.005356;-0.986130
58;0.006302;-0.005188;-0.985809
59;0.005814;-0.005585;-0.987289
60;0.004456;-0.004318;-0.979584
61;0.005447;-0.007523;-1.003281
62;0.005310;-0.004562;-0.978821
63;0.004593;-0.003265;-0.980179
64;0.005493;-0.004730;-0.988556
65;0.005157;-0.006317;-0.988586
66;0.008484;-0.007492;-0.993729
67;0.005646;-0.006775;-0.991211
