index;x;y;z
0;0.004837;-0.003754;-0.977859
1;0.006012;-0.004425;-0.990723
2;0.006973;-0.003967;-0.986084
3;0.005508;-0.004425;-0.985275
4;0.005737;-0.005081;-0.986084
5;0.005112;-0.005005;-0.985168
6;0.005417;-0.005219;-0.987640
7;0.006699;-0.003998;-0.988480
8;0.005859;-0.003799;-0.983078
9;0.005783;-0.005127;-0.985703
10;0.005707;-0.004807;-0.987396
11;0.006149;-0.004852;-0.985382
12;0.006210;-0.005661;-0.988281
13;0.005905;-0.005493;-0.986160
14;0.005600;-0.003860;-0.985458
15;-0.020767;-0.305740;-0.973938
16;0.015213;0.301926;-0.980240
17;-0.113098;0.871475;-0.990997
18;-0.156158;1.160995;-0.991852
19;-0.150055;0.916306;-0.985840
20;0.064362;0.491455;-0.976532
21;0.190689;-0.206421;-0.994675
22;0.122864;-0.843018;-0.984299
23;-0.032379;-0.990280;-0.987167
24;-0.110687;-0.819473;-0.984543
25;-0.058487;-0.539032;-0.985199
26;0.057465;-0.282745;-0.986954
27;0.008102;-0.007828;-0.986786
28;0.000046;-0.002747;-0.986252
29;-0.265991;0.109650;-0.985428
30;-0.766510;0.170105;-0.988541
31;-1.061996;0.093582;-0.984024
32;-0.919556;0.096924;-0.983627
33;-0.188461;-0.008377;-0.989914
34;0.358734;-0.009293;-0.999359
35;0.716766;-0.079391;-0.989349
36;0.981903;-0.106720;-0.980469
37;0.755646;-0.040039;-0.996658
38;0.355011;-0.117294;-0.989410
39;0.262009;0.043594;-0.984726
40;0.190323;-0.111526;-0.984314
41;0.284668;-0.230179;-0.991959
42;0.504639;-0.354965;-0.984055
43;0.726791;-0.592346;-0.983063
44;0.666931;-0.371170;-1.001831
45;0.525742;-0.100174;-0.985764
46;-0.086868;0.350433;-1.002487
47;-0.760437;0.579773;-0.987534
48;-0.700500;0.455978;-0.982620
49;-0.608307;0.346710;-0.988098
50;-0.521118;0.245499;-0.989182
51;-0.325333;0.023560;-0.983139
52;-0.200958;-0.027283;-0.990097
53;-0.080154;0.023621;-0.984940
54;-0.468048;-0.211365;-0.984070
55;-0.666245;-0.356018;-0.986481
56;-0.707809;-0.366882;-0.991074
57;-0.680542;-0.649277;-0.991577
58;-0.322495;-0.074966;-0.989807
59;0.572937;0.036942;-0.982254
60;0.810577;0.600204;-0.990692
61;1.064529;0.537918;-0.986160
62;0.450592;0.397858;-0.984634
63;0.037537;0.100922;-0.987503
64;-0.020737;0.001083;-0.989182
65;0.078751;0.110428;-0.985275
66;-0.056351;-0.094299;-0.979645
67;0.003693;-0.007141;-0.990753
68;0.005569;-0.003738;-0.987656
69;0.003571;-0.006241;-0.986755
70;0.004807;-0.004349;-0.986862
71;0.004776;-0.004395;-0.985550
72;0.004120;-0.004456;-0.986755
73;0.005020;-0.005203;-0.987213
74;0.004745;-0.004318;-0.985306
75;0.006378;-0.007690;-1.032715
76;0.003479;-0.001297;-0.954132
77;0.003021;-0.003357;-0.967667
78;0.006836;-0.005615;-0.999680
79;0.006088;-0.008728;-0.993179
80;0.005539;-0.003021;-0.986099
81;0.004303;-0.003738;-0.983444
82;0.004944;-0.004654;-0.981277
83;0.006821;-0.005112;-0.995743
84;0.004837;-0.005356;-0.983261
