index;x;y;z
0;0.006866;-0.004608;-0.989395
1;0.005447;-0.003845;-0.983231
2;0.005890;-0.004761;-0.985397
3;0.006546;-0.004288;-0.988342
4;0.006454;-0.004120;-0.987396
5;0.006012;-0.005005;-0.986160
6;0.006210;-0.004761;-0.987595
7;0.006470;-0.005005;-0.985809
8;0.005692;-0.005630;-0.986679
9;0.006378;-0.004791;-0.987717
10;0.005829;-0.005508;-0.985641
11;0.006546;-0.004730;-0.987198
12;0.005875;-0.005127;-0.987289
13;0.005981;-0.004730;-0.987411
14;0.005768;-0.004745;-0.987335
15;0.005905;-0.005005;-0.986771
16;0.005814;-0.005005;-0.987457
17;-0.141327;0.037460;-0.988922
18;0.092758;0.171539;-0.990417
19;0.027542;0.703445;-0.982315
20;-0.037918;1.116791;-0.985611
21;-0.031464;0.619766;-0.986816
22;-0.028427;0.261917;-0.988937
23;0.054153;-0.122604;-0.984177
24;0.070801;-0.529175;-0.986740
25;0.067932;-0.875336;-0.989380
26;-0.093796;-0.784836;-0.987564
27;-0.052856;-0.492874;-0.986542
28;-0.042343;-0.212082;-0.987259
29;0.061111;-0.148926;-0.985229
30;0.009140;-0.006393;-0.990173
31;-0.225967;0.122971;-0.984024
32;-0.472336;0.157455;-0.986389
33;-0.914886;-0.027740;-0.984863
34;-1.114136;-0.025955;-0.985641
35;-0.335571;-0.075226;-0.991486
36;0.966400;0.156082;-0.983795
37;1.054916;0.007736;-0.989059
38;0.688202;-0.054962;-0.992783
39;0.413239;0.040695;-0.990677
40;0.005234;-0.003906;-0.983566
41;-0.007202;-0.044464;-0.987152
42;0.007812;-0.008545;-0.975983
43;0.006592;-0.006714;-0.999786
44;0.005432;-0.006027;-0.987259
45;0.005722;-0.006149;-0.978470
46;0.006638;-0.006348;-0.988144
47;0.005981;-0.004868;-0.990738
48;0.006271;-0.006653;-0.986633
49;0.006180;-0.005417;-0.987411
50;0.006516;-0.006454;-0.984787
51;0.006271;-0.004898;-0.986542
52;0.006241;-0.005447;-0.991028
53;0.005493;-0.005768;-0.985748
54;0.006622;-0.005646;-0.981964
55;0.005508;-0.005753;-0.989578
56;0.005692;-0.005661;-0.988800
57;0.006485;-0.005249;-0.986008
58;0.006805;-0.005264;-0.986664
59;0.005753;-0.006516;-0.987564
60;0.006317;-0.004974;-0.987122
61;0.005920;-0.005630;-0.988327
62;0.005768;-0.006439;-0.986603
63;0.006546;-0.005692;-0.986542
64;0.005157;-0.005966;-0.988510
65;0.006042;-0.005707;-0.986679
66;0.004227;-0.005936;-0.992294
67;0.005905;-0.005737;-0.980103
