index;x;y;z
0;0.006668;-0.005524;-0.987976
1;0.006393;-0.005585;-0.983139
2;0.005188;-0.005661;-0.985840
3;0.006790;-0.005615;-0.987244
4;0.006531;-0.005966;-0.986557
5;0.006119;-0.006744;-0.984772
6;0.005936;-0.005737;-0.983917
7;0.006454;-0.005920;-0.986176
8;0.005783;-0.005692;-0.984772
9;-0.169983;-0.390991;-1.000885
10;0.008194;-0.805740;-0.970016
11;-0.582138;-0.784790;-0.981903
12;-0.373520;-0.594193;-0.992462
13;-0.124527;-0.634674;-0.980469
14;-0.024155;0.112274;-0.984024
15;0.107269;0.499466;-0.988861
16;0.262573;0.498398;-0.983459
17;0.142319;0.569550;-0.990387
18;0.418488;0.534836;-0.985168
19;0.176773;0.372009;-0.984543
20;0.073990;0.254272;-0.988922
21;0.077301;0.264404;-0.985931
22;0.076736;0.070862;-0.984360
23;-0.078262;0.426727;-0.987213
24;-0.186844;0.396179;-0.987686
25;-0.071991;0.463379;-0.988266
26;-0.098953;0.549911;-0.983704
27;-0.089584;0.277924;-0.987946
28;-0.151718;0.110535;-0.982178
29;0.101547;-0.127487;-0.990280
30;0.184357;-0.341415;-0.985596
31;0.180099;-0.427826;-0.985519
32;0.182526;-0.392136;-0.988037
33;0.124588;-0.345474;-0.988480
34;-0.017746;-0.328461;-0.984329
35;0.000641;-0.233322;-0.980850
36;-0.096313;-0.223465;-0.988892
37;-0.179260;-0.461914;-0.986557
38;-0.296402;-0.756607;-0.980865
39;-0.536942;-0.666870;-0.989365
40;-0.368149;-0.430740;-0.982559
41;0.197906;0.054153;-0.984619
42;0.366058;0.303207;-0.990906
43;0.269974;0.722168;-0.986359
44;0.466843;0.601685;-0.987976
45;0.169540;0.396271;-0.984024
46;0.095428;0.267319;-0.985733
47;0.122589;0.154953;-0.986923
48;0.064041;0.037216;-0.985321
49;-0.081421;0.447876;-0.985352
50;-0.035370;0.456100;-0.988968
51;0.018570;0.467697;-0.988373
52;0.068130;0.503830;-0.986481
53;-0.023560;0.525681;-0.986816
54;0.110886;0.260010;-0.987366
55;-0.009155;-0.018265;-0.977737
56;0.014297;-0.042877;-0.985367
57;0.128769;-0.330032;-0.980637
58;0.016647;-0.516586;-0.983505
59;-0.100143;-0.517242;-0.989548
60;0.132828;-0.480789;-0.984146
61;-0.036575;-0.382721;-0.983490
62;-0.116837;-0.270538;-0.987106
63;0.071213;-0.077744;-0.982849
64;0.072174;-0.048157;-0.980316
65;0.016907;-0.015503;-0.993362
66;0.004211;-0.006729;-0.983658
67;0.004425;-0.007278;-0.984161
68;0.003922;-0.006393;-0.988312
69;0.005661;-0.006577;-0.986984
70;0.005005;-0.006271;-0.987244
71;0.004501;-0.006271;-0.986237
72;0.003708;-0.005997;-0.984039
73;0.004898;-0.005936;-0.989182
74;0.004593;-0.006134;-0.987610
75;0.005264;-0.006317;-0.984970
76;0.004608;-0.006699;-0.987045
77;0.004486;-0.007126;-0.985901
78;0.006149;-0.006973;-0.986847
79;0.005554;-0.007217;-0.986389
80;0.004868;-0.006363;-0.986572
81;0.004440;-0.006638;-0.986511
82;0.004883;-0.006485;-0.987488
83;0.004471;-0.006012;-0.986710
84;0.004745;-0.005600;-0.987366
85;0.004410;-0.006180;-0.987350
86;0.005142;-0.006210;-0.987274
87;0.004807;-0.006729;-0.985046
88;0.003616;-0.007431;-0.987564
89;0.004562;-0.006226;-0.986130
90;0.005402;-0.006546;-0.987259
91;0.005295;-0.006409;-0.988098
92;0.005035;-0.006744;-0.988907
93;0.004532;-0.006271;-0.986023
