index;x;y;z
0;0.004578;-0.005051;-0.986053
1;0.005417;-0.005325;-0.989410
2;0.005234;-0.005066;-0.985992
3;0.004623;-0.005753;-0.986328
4;0.006073;-0.003540;-0.985062
5;0.005112;-0.005341;-0.987396
6;0.005295;-0.004944;-0.987305
7;0.005493;-0.004135;-0.986923
8;0.005692;-0.005814;-0.986343
9;0.005219;-0.005203;-0.987839
10;0.005936;-0.004242;-0.987015
11;0.005280;-0.005951;-0.986786
12;0.004211;-0.004242;-0.986496
13;0.005615;-0.006088;-0.986435
14;0.005844;-0.004578;-0.987091
15;0.004425;-0.004288;-0.985779
16;0.005112;-0.004501;-0.985016
17;0.005859;-0.005325;-0.986649
18;0.005142;-0.005234;-0.986832
19;0.005432;-0.004593;-0.986038
20;0.005310;-0.004410;-0.985748
21;0.005341;-0.004120;-0.985519
22;0.005508;-0.005356;-0.987473
23;0.005219;-0.004471;-0.987183
24;0.004761;-0.004211;-0.986221
25;0.096405;-0.033203;-0.987320
26;0.116882;0.071426;-0.986542
27;0.234665;0.082977;-0.986618
28;0.260529;0.030838;-0.987305
29;0.264008;0.059357;-0.988068
30;0.209778;0.106415;-0.988266
31;0.232712;0.175568;-0.988693
32;0.004883;0.243469;-0.985229
33;-0.019958;0.319687;-0.988983
34;-0.103333;0.323563;-0.987961
35;-0.155548;0.340454;-0.986633
36;-0.225922;0.293991;-0.987915
37;-0.242676;0.137253;-0.990738
38;-0.271545;0.015976;-0.986282
39;-0.416077;-0.025543;-0.983688
40;-0.459793;-0.136703;-0.986389
41;-0.417572;-0.152527;-0.988113
42;-0.374374;-0.298050;-0.985016
43;-0.367706;-0.366364;-0.987625
44;-0.320084;-0.338470;-0.983475
45;-0.200684;-0.397903;-0.978867
46;-0.050751;-0.385132;-0.980469
47;-0.106354;-0.360626;-0.990204
48;0.196136;-0.441650;-0.996704
49;0.034317;-0.288818;-0.988113
50;0.359528;-0.229218;-0.990616
51;0.184189;-0.075317;-0.984192
52;0.427612;-0.040161;-1.006027
53;0.388077;0.149551;-0.982193
54;0.630569;0.159653;-0.983704
55;0.520325;0.286728;-0.985855
56;0.546753;0.164124;-1.005646
57;0.443314;0.216827;-0.989349
58;0.398697;0.156998;-0.984146
59;0.253281;0.088791;-0.975830
60;-0.010895;0.109955;-0.991745
61;-0.067780;0.187653;-0.989914
62;-0.321823;0.164200;-0.980682
63;-0.187973;0.177246;-0.988068
64;-0.223511;0.155838;-0.984177
65;-0.172379;0.140259;-0.987976
66;-0.466904;0.044647;-0.985855
67;-0.291763;0.073166;-0.986526
68;-0.070618;0.015503;-0.987915
69;-0.003052;-0.004898;-0.990204
70;-0.031250;-0.018982;-0.990738
71;0.082123;-0.007965;-0.985199
72;0.005753;-0.005264;-0.987244
73;0.005737;-0.005569;-0.987900
74;0.005508;-0.005096;-0.988815
75;0.006042;-0.004959;-0.986359
76;0.004715;-0.005478;-0.987473
77;0.004318;-0.005402;-0.987656
78;0.005432;-0.005066;-0.988159
79;0.005264;-0.005096;-0.987213
80;0.004944;-0.004822;-0.988007
81;0.005737;-0.004761;-0.976868
82;0.007370;-0.009979;-1.002808
83;0.007385;-0.005356;-0.995026
84;0.004456;-0.002960;-0.972977
85;0.004135;-0.005432;-0.987976
86;0.007477;-0.006729;-0.991852
87;0.006439;-0.004990;-0.987961
88;0.004379;-0.005798;-0.993439
89;0.004532;-0.003876;-0.981491
90;0.006088;-0.003342;-0.981277
91;0.004669;-0.008667;-1.001083
92;0.006256;-0.004623;-0.983078
93;0.005234;-0.004715;-0.981445
94;0.004471;-0.007675;-0.993469
95;0.005692;-0.005905;-0.989059
96;0.005112;-0.005753;-0.983887
97;0.005051;-0.006042;-0.989120
98;0.005814;-0.004974;-0.988571
99;0.005890;-0.005829;-0.987122
100;0.005524;-0.006195;-0.987411
101;0.006454;-0.004547;-0.986679
102;0.006409;-0.004929;-0.987778
103;0.005081;-0.006744;-0.990814
104;0.005432;-0.004440;-0.988342
105;0.004929;-0.005203;-0.981812
