index;x;y;z
0;0.006210;-0.005432;-0.980591
1;0.004974;-0.005936;-0.991226
2;0.005920;-0.006760;-0.988800
3;0.005020;-0.006424;-0.987198
4;0.005661;-0.005600;-0.988190
5;0.006668;-0.005600;-0.987228
6;0.005356;-0.007217;-0.987503
7;0.005966;-0.006027;-0.989319
8;0.005432;-0.006424;-0.986252
9;0.006027;-0.006332;-0.986267
10;0.005875;-0.006729;-0.987961
11;0.005707;-0.006836;-0.986862
12;0.005539;-0.005920;-0.983200
13;0.020065;-0.190048;-0.993652
14;0.055099;-0.255768;-0.980804
15;-0.020172;-0.567871;-0.988495
16;-0.040497;-0.883301;-0.987961
17;0.006058;-0.841904;-0.985168
18;-0.060013;-0.489792;-0.984650
19;-0.117325;0.074463;-0.983215
20;-0.105240;0.586761;-0.988495
21;0.120377;0.960953;-0.986954
22;0.181061;1.011078;-0.991913
23;-0.012817;0.553604;-0.987778
24;0.010895;0.134979;-0.987213
25;0.055862;0.045212;-0.989365
26;0.042969;-0.022293;-0.986908
27;0.006424;-0.006561;-0.988998
28;-0.014511;-0.070282;-0.989243
29;-0.075912;-0.098053;-0.988007
30;-0.241577;-0.202896;-0.986801
31;-0.529800;-0.224777;-0.987289
32;-0.597488;0.126083;-0.986877
33;-0.485046;0.436996;-0.986160
34;-0.222000;0.445816;-0.987991
35;0.066986;0.473480;-0.984528
36;0.244522;0.408997;-0.990372
37;0.378983;0.274490;-0.985672
38;0.536499;0.124588;-0.986374
39;0.580414;0.175186;-0.987839
40;0.564240;0.175980;-0.985016
41;0.466095;0.019028;-0.985962
42;0.533188;-0.196030;-0.984589
43;0.534363;-0.278168;-0.985458
44;0.448837;-0.341904;-0.991409
45;0.183899;-0.332855;-0.986725
46;-0.042038;-0.253403;-0.989029
47;-0.269623;-0.178894;-0.987061
48;-0.604706;-0.071289;-0.985367
49;-0.581741;-0.039536;-0.991486
50;-0.342941;-0.018921;-0.985748
51;-0.303757;0.013123;-0.988007
52;-0.150650;0.004654;-0.986786
53;0.006607;-0.005859;-0.990524
54;0.005905;-0.004608;-0.980576
55;0.005890;-0.006210;-0.991302
56;0.005875;-0.006149;-0.987442
57;0.005280;-0.005402;-0.983246
58;0.005478;-0.007004;-0.989639
59;0.006317;-0.005798;-0.987778
60;0.005066;-0.004990;-0.986526
61;0.005615;-0.006256;-0.987762
62;0.005997;-0.005753;-0.985718
63;0.005600;-0.005310;-0.987122
64;0.005753;-0.006653;-0.986847
65;0.005402;-0.005997;-0.988129
66;0.005798;-0.004929;-0.985870
67;0.005402;-0.006332;-0.989044
68;0.006699;-0.006134;-0.998596
69;0.004410;-0.006393;-0.975449
