index;x;y;z
0;0.004227;-0.006226;-0.987686
1;0.004745;-0.005035;-0.982956
2;0.004135;-0.005951;-0.988297
3;0.004623;-0.006012;-0.986816
4;0.006088;-0.005737;-0.985809
5;0.005356;-0.007385;-0.987305
6;0.004028;-0.005020;-0.985916
7;0.005005;-0.005997;-0.987564
8;0.005157;-0.007095;-0.987793
9;0.005539;-0.005051;-0.985718
10;0.004166;-0.004852;-0.986115
11;0.004807;-0.006195;-0.988144
12;0.005493;-0.005432;-0.986847
13;0.004181;-0.006180;-0.984879
14;0.004379;-0.005676;-0.988113
15;0.004395;-0.006149;-0.986023
16;0.003387;-0.006363;-0.988174
17;0.044769;0.049911;-0.986145
18;-0.008667;-0.029312;-0.985413
19;-0.008911;-0.044724;-0.988388
20;-0.153000;-0.100586;-0.981049
21;-0.063934;-0.154053;-0.980774
22;-0.086243;-0.156204;-0.992859
23;0.037048;-0.124817;-0.972122
24;-0.035492;-0.130600;-0.988434
25;0.080704;-0.101730;-0.988434
26;0.145157;0.033386;-0.993164
27;0.214569;-0.027832;-0.983932
28;0.152161;-0.013504;-0.988892
29;0.207031;0.005508;-0.987442
30;0.214584;0.036682;-0.987732
31;0.245300;0.057999;-0.980484
32;0.178162;0.039688;-0.993073
33;0.144577;0.122208;-0.985870
34;0.151611;0.098312;-0.999695
35;0.143799;0.159302;-0.991226
36;0.052307;0.169586;-0.986053
37;0.101578;0.182907;-0.990585
38;-0.029678;0.269135;-0.993546
39;0.024490;0.249222;-0.994919
40;-0.066742;0.234024;-0.989670
41;-0.044739;0.222229;-0.985428
42;-0.043365;0.215439;-0.982132
43;-0.189835;0.140350;-0.992096
44;-0.192398;0.053177;-0.986511
45;-0.162308;0.124619;-0.981293
46;-0.262909;0.020035;-0.991867
47;-0.325256;0.025528;-0.988510
48;-0.273911;0.061874;-0.993073
49;-0.265030;-0.026367;-0.986252
50;-0.258102;-0.097122;-0.983673
51;-0.275314;-0.054398;-0.988892
52;-0.149384;-0.213028;-0.988235
53;-0.259033;-0.130844;-0.977386
54;-0.082947;-0.225830;-0.987961
55;-0.214401;-0.174576;-0.980682
56;-0.040298;-0.226471;-0.992310
57;0.048264;-0.209656;-0.991638
58;0.166672;-0.315247;-0.990524
59;0.162155;-0.237259;-0.989822
60;0.297836;-0.215393;-0.981186
61;0.275894;-0.127121;-0.988419
62;0.164429;-0.099472;-0.988907
63;0.202911;0.054794;-0.994370
64;0.159454;0.143845;-0.981110
65;0.075134;0.215775;-0.987869
66;0.127670;0.165375;-0.990952
67;0.026184;0.174637;-0.987534
68;-0.018723;0.121796;-0.988113
69;0.007095;-0.005386;-0.986496
70;-0.047974;0.192978;-0.988571
71;-0.129898;0.256836;-0.991547
72;-0.260178;0.283585;-0.989777
73;-0.482300;0.325577;-0.989548
74;-0.331345;0.182205;-0.987900
75;-0.116852;0.171768;-0.986664
76;0.230057;-0.245178;-0.986221
77;0.326111;-0.257416;-0.992233
78;0.421921;-0.312012;-0.985779
79;0.362305;-0.295517;-0.987747
80;0.102875;-0.074783;-0.981949
81;0.039276;-0.024139;-1.000504
82;0.008377;-0.009933;-0.989975
83;0.005295;-0.005417;-0.986984
84;0.003632;-0.006668;-0.987015
85;0.003738;-0.005341;-0.986252
86;0.005142;-0.006531;-0.988953
87;0.003342;-0.007034;-0.989304
88;0.004715;-0.006638;-0.987259
89;0.004715;-0.006470;-0.987579
90;0.004303;-0.006027;-0.989075
91;0.004501;-0.006577;-0.988983
92;0.004288;-0.006287;-0.987228
93;0.004364;-0.006317;-0.987534
94;0.004791;-0.006912;-0.987885
95;0.004242;-0.006714;-0.987137
96;0.004395;-0.005829;-0.987762
97;0.004883;-0.007141;-0.986374
98;0.004272;-0.006363;-0.989487
