index;x;y;z
0;0.006516;-0.004395;-0.983231
1;0.005051;-0.006058;-0.988220
2;0.005829;-0.007111;-0.987305
3;0.007568;-0.005142;-0.985474
4;0.005936;-0.007095;-0.989395
5;0.005844;-0.006561;-0.987122
6;0.006516;-0.005737;-0.985840
7;0.006332;-0.006561;-0.989502
8;0.005615;-0.006470;-0.987976
9;0.006271;-0.005066;-0.986099
10;0.040833;0.012268;-0.988388
11;0.057419;-0.373871;-0.981949
12;-0.278107;-1.111328;-0.994629
13;0.178970;-0.644989;-0.983276
14;-0.122726;-0.571198;-0.980484
15;-0.023499;-0.308624;-0.985153
16;-0.146530;-0.027237;-0.988205
17;-0.059692;0.499695;-0.989609
18;0.158051;0.796661;-0.992401
19;0.181259;0.527115;-0.983368
20;-0.026917;0.533371;-0.990372
21;0.037277;0.317535;-0.990845
22;-0.006638;0.047729;-0.987885
23;0.005615;-0.004227;-0.987045
24;-0.011185;-0.088409;-0.989059
25;0.004684;-0.007080;-0.987411
26;0.006516;-0.004562;-0.988708
27;0.030945;-0.027374;-0.988632
28;-0.078064;0.028061;-0.987305
29;-0.121292;-0.044418;-0.986923
30;-0.266037;-0.080338;-0.989380
31;-0.394516;-0.083511;-0.987457
32;-0.622833;0.063919;-0.986084
33;-0.506134;0.205872;-0.989075
34;-0.343201;0.344818;-0.982025
35;-0.041382;0.424393;-0.991959
36;0.128967;0.385666;-0.987930
37;0.271393;0.382889;-0.986099
38;0.695343;0.239578;-0.988403
39;0.773056;0.061218;-0.994675
40;0.822937;-0.089706;-0.989944
41;0.774536;-0.204514;-0.988983
42;0.742630;-0.360825;-0.988129
43;0.455139;-0.293030;-0.988052
44;0.127365;-0.279572;-0.987411
45;-0.402893;-0.111053;-0.989151
46;-0.420135;0.031113;-0.985641
47;-0.551025;-0.035522;-0.990326
48;-0.534515;0.094696;-0.985687
49;-0.334549;0.019943;-0.986954
50;0.020569;-0.008667;-0.989334
51;0.004608;-0.005753;-0.987885
52;0.048096;-0.030838;-0.989334
53;0.006668;-0.003403;-0.986435
54;-0.018646;0.037064;-0.987808
55;-0.067383;0.091629;-0.987686
56;-0.221176;0.257111;-0.987411
57;-0.530045;0.472946;-0.988876
58;-0.707367;0.412811;-0.985275
59;-0.403152;0.172012;-0.989792
60;0.081116;-0.050232;-0.985870
61;0.548569;-0.338272;-0.985718
62;0.634247;-0.316559;-0.989532
63;0.522736;-0.347183;-0.988022
64;0.197815;-0.148163;-0.989151
65;0.178162;0.118561;-0.988403
66;0.055695;-0.003815;-0.985733
67;0.014023;-0.127014;-0.985748
68;0.004349;-0.002258;-0.990921
69;0.005005;-0.005203;-0.986893
70;0.005295;-0.006577;-0.987259
71;0.004486;-0.005081;-0.988281
72;0.005814;-0.005905;-0.987839
73;0.005722;-0.005951;-0.987991
74;0.005386;-0.005676;-0.990509
75;0.005554;-0.006195;-0.986130
76;0.005630;-0.006058;-0.987335
77;0.004822;-0.006042;-0.988892
78;0.005554;-0.006363;-0.987640
79;0.005188;-0.006317;-0.986954
80;0.005951;-0.009018;-0.987473
81;0.005005;-0.005707;-0.989578
