index;x;y;z
0;0.005203;-0.004913;-0.984451
1;0.004745;-0.003738;-0.983459
2;0.003998;-0.006699;-0.989197
3;0.005676;-0.005188;-0.986313
4;0.005386;-0.004425;-0.987457
5;0.004547;-0.006287;-0.987976
6;0.004318;-0.005264;-0.983551
7;0.004135;-0.004761;-0.988327
8;0.004578;-0.005829;-0.990387
9;0.004684;-0.003845;-0.983368
10;0.004654;-0.004974;-0.986465
11;0.004166;-0.006302;-0.987839
12;0.004578;-0.004593;-0.986694
13;0.441299;0.040924;-0.992142
14;0.678467;-0.207321;-0.984161
15;0.458008;0.136322;-0.991150
16;0.451004;0.032532;-0.993393
17;0.238998;0.175491;-0.991455
18;0.050003;0.180099;-0.981049
19;-0.110977;0.222824;-0.983444
20;-0.224228;0.047531;-0.999054
21;-0.395706;-0.006805;-0.979141
22;-0.338501;0.060410;-0.986526
23;-0.364517;-0.004913;-0.985840
24;-0.434479;0.060745;-0.988785
25;-0.382004;0.000198;-0.991486
26;-0.407059;0.083862;-0.987793
27;-0.440720;0.034897;-0.985397
28;-0.345139;-0.007568;-0.984787
29;-0.293793;-0.078674;-0.989548
30;-0.292679;-0.014771;-0.981323
31;-0.218918;-0.058868;-0.981979
32;-0.229111;0.073029;-0.986740
33;-0.020737;0.048141;-0.983780
34;0.072266;0.115814;-0.982651
35;0.278763;0.068314;-0.990784
36;0.291122;0.070908;-0.985504
37;0.386444;0.045807;-0.988342
38;0.303177;0.061172;-0.989456
39;0.309616;-0.001144;-0.988754
40;0.288498;0.039871;-0.987717
41;0.322464;-0.007431;-0.989899
42;0.353058;-0.021210;-0.982101
43;0.499573;-0.086121;-0.993454
44;0.612701;0.012207;-0.980682
45;0.564209;-0.147903;-0.985489
46;0.386154;-0.074295;-0.974594
47;0.258316;-0.101578;-0.987442
48;0.116348;-0.071426;-0.982483
49;-0.257523;-0.022568;-0.983612
50;-0.392441;-0.010574;-0.994034
51;-0.636047;-0.014755;-1.000824
52;-0.430618;0.035446;-0.974594
53;-0.277969;-0.037598;-0.994385
54;-0.096298;-0.014923;-0.988754
55;-0.231232;0.037140;-0.991623
56;-0.164261;0.056305;-0.988998
57;-0.117340;0.005829;-0.986755
58;-0.015991;-0.007019;-0.983917
59;0.007004;-0.006592;-0.989471
60;0.007065;-0.005173;-0.988388
61;0.007385;-0.007065;-0.985855
62;0.005890;-0.006134;-0.987976
63;0.007324;-0.006653;-0.986969
64;0.006927;-0.005539;-0.980148
65;0.006531;-0.007767;-0.998596
66;0.007553;-0.006317;-0.982346
67;0.006653;-0.005722;-0.983765
68;0.006866;-0.006317;-0.990570
69;0.008987;-0.009415;-0.988937
70;0.021469;-0.017609;-0.987885
