index;x;y;z
0;0.005280;-0.006989;-0.994156
1;0.006180;-0.003540;-0.982010
2;0.006027;-0.006180;-0.990036
3;0.005783;-0.006378;-0.987625
4;0.005676;-0.004349;-0.984818
5;0.006180;-0.004868;-0.989304
6;0.005844;-0.005371;-0.987442
7;0.005356;-0.004196;-0.985504
8;0.005981;-0.005157;-0.988373
9;0.004959;-0.005051;-0.987732
10;0.006424;-0.004944;-0.987289
11;0.005676;-0.005783;-0.987930
12;0.164978;0.088577;-0.989731
13;-0.329102;-0.039505;-0.983688
14;-0.508102;0.016800;-0.988113
15;-0.734863;-0.037582;-0.988586
16;-0.939865;0.008667;-0.992661
17;-0.997360;-0.054688;-0.977463
18;-0.416946;0.140579;-0.998764
19;0.283905;0.044312;-0.997498
20;0.893860;0.180573;-0.993286
21;0.772217;0.099182;-0.993408
22;0.839752;0.053955;-0.981476
23;0.724045;0.031570;-0.989136
24;0.110275;0.025650;-0.989090
25;0.070175;0.002899;-0.986328
26;0.025055;0.022903;-0.989349
27;0.263153;0.017288;-0.987564
28;0.396362;0.100525;-0.991745
29;0.931351;0.113174;-0.988342
30;1.054321;0.029587;-0.995667
31;0.319275;-0.034332;-0.987946
32;-0.707520;0.023178;-0.995026
33;-0.665207;0.080154;-0.985672
34;-0.795074;0.060974;-0.989243
35;-0.476242;0.006424;-0.990341
36;-0.394714;0.084106;-0.987228
37;0.000015;-0.003326;-0.988068
38;-0.093628;0.038467;-0.987137
39;-0.009689;0.080841;-0.988144
40;0.041321;0.169235;-0.988983
41;0.030289;0.414474;-0.989822
42;0.082123;0.706070;-0.989212
43;0.211044;0.779068;-0.985077
44;0.014832;0.445267;-0.986053
45;-0.223831;0.167603;-0.986221
46;0.028381;-0.189636;-0.984222
47;0.074432;-0.521500;-0.985580
48;0.084305;-0.460236;-0.987549
49;-0.034607;-0.553177;-0.989441
50;-0.072281;-0.446671;-0.987366
51;-0.022003;-0.241577;-0.989258
52;0.025681;-0.139206;-0.988449
53;0.004883;-0.050400;-0.995392
54;-0.017212;-0.125946;-0.990494
55;0.020004;-0.019821;-0.984573
56;0.006104;-0.006348;-0.987274
57;0.006058;-0.006439;-0.989487
58;0.005264;-0.005539;-0.988754
59;0.005875;-0.006668;-0.987183
60;0.006149;-0.006973;-0.987305
61;0.006393;-0.006180;-0.987869
62;0.005524;-0.005920;-0.989471
63;0.006256;-0.006683;-0.987030
64;0.006683;-0.006516;-0.987473
65;0.005386;-0.007019;-0.988724
66;0.005676;-0.007904;-0.980972
67;-0.103409;-0.033997;-1.001663
68;0.094910;0.040680;-0.987396
