index;x;y;z
0;0.005814;-0.005310;-0.981796
1;0.004639;-0.006317;-0.987686
2;0.005920;-0.005264;-0.988037
3;0.005997;-0.005280;-0.987610
4;0.006607;-0.005783;-0.988403
5;0.006546;-0.005386;-0.986084
6;0.005692;-0.005783;-0.987259
7;0.006119;-0.005615;-0.988327
8;0.007248;-0.005310;-0.986694
9;0.006500;-0.006256;-0.985107
10;0.006439;-0.005829;-0.987610
11;0.006500;-0.006363;-0.987091
12;0.006470;-0.005661;-0.987274
13;0.006287;-0.006256;-0.987717
14;0.006332;-0.006012;-0.987198
15;0.006042;-0.005692;-0.987701
16;0.005661;-0.005478;-0.986496
17;0.006943;-0.005615;-0.987259
18;0.006516;-0.005371;-0.986221
19;0.012268;0.005630;-0.987625
20;0.008972;0.308365;-0.987564
21;-0.073975;0.339813;-0.979553
22;0.036682;0.698105;-0.988510
23;-0.258011;0.772018;-0.991272
24;-0.088898;0.593384;-0.991196
25;-0.283264;0.164520;-0.981934
26;-0.345688;-0.107300;-0.972778
27;-0.430130;-0.378174;-0.982239
28;-0.336929;-0.472626;-0.989502
29;-0.167633;-0.607803;-0.989212
30;-0.093048;-0.514404;-0.992203
31;0.211990;-0.602707;-0.984467
32;0.242020;-0.670242;-0.979706
33;0.262924;-0.519547;-0.984116
34;0.181824;-0.612778;-0.983444
35;0.363220;-0.532486;-0.989502
36;0.155640;-0.203506;-0.980743
37;0.290390;-0.026840;-0.985229
38;0.121246;0.167648;-0.994415
39;0.199646;0.434235;-0.993332
40;0.148743;0.412796;-0.985016
41;0.075607;0.542877;-0.989853
42;0.054306;0.352142;-0.992294
43;-0.040634;0.262695;-0.987122
44;-0.061401;0.240891;-0.990173
45;0.013382;0.122711;-0.989014
46;0.005371;-0.008545;-0.988998
47;0.004333;-0.003662;-0.987000
48;0.004898;-0.003906;-0.986786
49;0.004929;-0.006134;-0.987991
50;0.003983;-0.004425;-0.988190
51;0.004868;-0.005142;-0.987610
52;0.004471;-0.005112;-0.987747
53;0.004913;-0.004837;-0.987900
54;0.004669;-0.004303;-0.988113
55;0.005280;-0.005890;-0.987808
56;0.004517;-0.004791;-0.986893
57;0.004242;-0.005997;-0.987076
58;0.004639;-0.005127;-0.988037
59;0.003784;-0.004791;-0.988083
60;0.002701;-0.004150;-0.981033
61;0.005951;-0.005981;-0.994568
