index;x;y;z
0;0.006424;-0.005249;-0.988525
1;0.006775;-0.004501;-0.986832
2;0.006516;-0.005341;-0.988663
3;0.006561;-0.004288;-0.986725
4;0.007324;-0.004715;-0.987732
5;0.006683;-0.005264;-0.988815
6;0.006088;-0.004639;-0.989456
7;0.006882;-0.004227;-0.986526
8;0.006805;-0.005875;-0.988068
9;0.006409;-0.005051;-0.986664
10;0.006760;-0.004288;-0.988022
11;0.006653;-0.005417;-0.987625
12;0.006393;-0.005920;-0.987671
13;-0.029892;0.016403;-0.986588
14;-0.196030;0.256195;-0.987000
15;-0.102753;0.446106;-0.989288
16;-0.088272;0.907074;-0.987411
17;-0.221695;0.787689;-0.988922
18;-0.302689;0.326462;-0.981018
19;-0.203171;0.240845;-0.988419
20;0.201309;-0.137924;-0.993271
21;0.128754;-0.314713;-0.982880
22;0.389542;-0.598190;-0.989655
23;0.360092;-0.560135;-0.991455
24;0.180496;-0.510056;-0.985184
25;0.055954;-0.369461;-0.988113
26;0.006149;-0.254440;-0.987610
27;0.018951;-0.239746;-0.984833
28;-0.143280;-0.435867;-0.984085
29;-0.227310;-0.666367;-0.989136
30;-0.363220;-0.824936;-0.983627
31;-0.212158;-0.562454;-0.982254
32;-0.139099;-0.316925;-0.990829
33;0.059830;0.114563;-0.977570
34;0.151001;0.684753;-0.982651
35;0.407791;0.443192;-0.989380
36;0.276215;0.365509;-0.989792
37;0.171921;0.371902;-0.991562
38;0.149582;0.323883;-0.987930
39;0.052353;0.141266;-0.988602
40;0.049240;0.123947;-0.984375
41;0.061737;0.130630;-0.989487
42;0.080368;0.124908;-0.990372
43;0.003769;-0.008209;-0.987000
44;0.005219;-0.004730;-0.988174
45;0.005188;-0.005508;-0.987488
46;0.005112;-0.005295;-0.987213
47;0.005493;-0.002518;-0.970871
48;0.002411;-0.006683;-0.981339
49;0.006195;-0.006943;-1.012070
50;0.005646;-0.004303;-0.982285
51;0.004105;-0.005768;-0.985275
52;0.005219;-0.004028;-0.987717
53;0.005203;-0.003586;-0.983307
54;0.003647;-0.006760;-0.995438
55;0.004028;-0.005203;-0.986618
56;0.004883;-0.004395;-0.980789
