index;x;y;z
0;0.006195;-0.006256;-0.989365
1;0.007736;-0.005173;-0.991287
2;0.007431;-0.003952;-0.983322
3;0.005035;-0.006088;-0.988388
4;0.006424;-0.004913;-0.988937
5;0.006546;-0.004135;-0.986404
6;0.006271;-0.004517;-0.989517
7;0.006546;-0.005142;-0.986008
8;0.008438;-0.004547;-0.985306
9;0.006592;-0.005814;-0.989838
10;0.006912;-0.004349;-0.987686
11;0.007584;-0.004333;-0.983871
12;0.006210;-0.005768;-0.989441
13;0.006439;-0.004974;-0.988968
14;-0.027939;0.070358;-0.987564
15;-0.104538;0.438690;-0.988495
16;-0.094589;0.473694;-0.983612
17;-0.176544;0.687866;-0.989441
18;-0.251709;0.526215;-0.987350
19;-0.122177;0.321548;-0.985382
20;0.071411;0.106964;-0.989182
21;0.042023;-0.139450;-0.991302
22;0.095612;-0.362823;-0.983582
23;0.096237;-0.445541;-0.984879
24;0.155716;-0.490417;-0.982941
25;0.182663;-0.533463;-0.986343
26;0.042038;-0.390839;-0.984787
27;0.095520;-0.249039;-0.988251
28;-0.072998;-0.327881;-0.987778
29;-0.125381;-0.437927;-0.985062
30;-0.277496;-0.565018;-0.990509
31;-0.333817;-0.488724;-0.990784
32;-0.013580;-0.469925;-0.983337
33;0.045181;-0.124542;-0.989014
34;0.078293;0.291168;-0.984924
35;0.107208;0.433640;-0.994522
36;0.209366;0.590363;-0.990799
37;0.160477;0.519638;-0.991531
38;0.150009;0.355911;-0.985275
39;0.072357;0.114487;-0.989456
40;-0.055634;0.313690;-0.988464
41;-0.132660;0.336014;-0.987457
42;-0.174500;0.399338;-0.986420
43;-0.220642;0.547897;-0.988495
44;-0.144638;0.498535;-0.986252
45;-0.080963;0.128510;-0.995071
46;-0.009445;-0.125671;-0.988708
47;0.128433;-0.312332;-0.990570
48;0.224838;-0.390518;-0.987732
49;0.227707;-0.421326;-0.987076
50;0.163925;-0.360565;-0.987198
51;0.079895;-0.306992;-0.989334
52;0.086990;-0.248932;-0.988739
53;0.149368;-0.143356;-0.986465
54;-0.098999;-0.272888;-0.989883
55;-0.088150;-0.392365;-0.984406
56;-0.259354;-0.767578;-0.986160
57;-0.058624;-0.581024;-0.989807
58;-0.186310;-0.771988;-0.986694
59;-0.160599;-0.376587;-0.980057
60;-0.003265;0.136765;-0.983994
61;0.143784;0.330688;-0.993195
62;0.255295;0.744720;-0.989319
63;0.327240;0.801773;-0.985123
64;0.175003;0.665726;-0.989075
65;0.047867;0.321152;-0.990845
66;0.035675;0.083374;-0.991531
67;0.187805;0.217667;-0.987228
68;-0.081787;-0.096359;-0.988266
69;-0.034302;-0.071106;-0.980103
70;0.005325;-0.007370;-0.993347
71;0.006653;-0.004852;-0.989624
72;0.004044;-0.004013;-0.983536
73;0.004166;-0.005127;-0.987427
74;0.005188;-0.005081;-0.987289
75;0.004578;-0.004929;-0.987976
76;0.005127;-0.005020;-0.989410
77;0.004456;-0.003693;-0.980423
78;0.006882;-0.007034;-1.028702
79;0.005005;-0.004120;-0.973267
80;0.003433;-0.001831;-0.969162
81;0.003998;-0.004166;-0.992188
82;0.008026;-0.010437;-1.000397
83;0.006073;-0.004837;-0.998383
