index;x;y;z
0;0.006226;-0.004593;-0.987167
1;0.007294;-0.005493;-0.988037
2;0.007843;-0.004349;-0.987747
3;0.006577;-0.004150;-0.987915
4;0.006729;-0.004868;-0.987366
5;0.007339;-0.004517;-0.987579
6;0.007019;-0.005112;-0.987640
7;0.006500;-0.004791;-0.987747
8;0.006805;-0.005066;-0.987213
9;0.007126;-0.004623;-0.987885
10;0.006500;-0.004791;-0.987244
11;0.006744;-0.004959;-0.986908
12;0.007034;-0.004639;-0.987000
13;0.005951;-0.004532;-0.986862
14;0.006699;-0.005585;-0.987457
15;0.007812;-0.004318;-0.987518
16;0.007385;-0.004135;-0.986816
17;0.044678;0.084106;-0.987244
18;-0.086533;-0.040070;-0.986206
19;-0.258209;0.299042;-0.988083
20;-0.337387;0.546112;-0.987946
21;-0.603424;0.455200;-0.991211
22;-0.369385;0.639984;-0.992569
23;-0.187683;0.465897;-0.983292
24;-0.079666;0.141663;-0.978912
25;0.010117;0.027039;-0.991486
26;0.235550;-0.731094;-0.985703
27;0.250961;-0.434067;-0.982864
28;0.438797;-0.323685;-0.992615
29;0.457901;-0.386032;-0.986038
30;0.225189;-0.275955;-0.986847
31;0.217896;-0.290894;-0.985870
32;0.162125;-0.221802;-0.985901
33;0.027512;-0.014893;-0.987366
34;0.012192;-0.029572;-0.988464
35;-0.042999;-0.369919;-0.976959
36;-0.065674;-0.564117;-0.991913
37;0.019470;-0.647064;-0.989487
38;-0.031464;-0.768051;-0.978958
39;-0.160431;-0.176346;-0.987000
40;-0.033371;-0.042938;-0.977432
41;-0.031281;0.450592;-0.982086
42;0.040070;0.610550;-0.991730
43;0.150879;0.618027;-0.984421
44;0.065765;0.480255;-0.990173
45;-0.061966;0.262192;-0.988861
46;-0.063721;0.159958;-0.989197
47;-0.008835;0.109955;-0.986069
48;0.005890;-0.003204;-0.986618
49;0.178207;0.193909;-0.990509
50;0.309052;0.285355;-0.987396
51;0.506195;0.424927;-0.989395
52;0.754547;0.654221;-0.993591
53;0.506348;0.592377;-0.991150
54;0.369995;0.229919;-0.989548
55;-0.011063;-0.028198;-0.988892
56;-0.412888;-0.337708;-0.986176
57;-0.745026;-0.426636;-0.979080
58;-0.479660;-0.426041;-0.984268
59;-0.373642;-0.262192;-0.987427
60;-0.373825;-0.211624;-0.984970
61;-0.239944;-0.085388;-0.990082
62;-0.111938;-0.056854;-0.988037
63;-0.077820;-0.079163;-0.984100
64;-0.101639;-0.090897;-0.980362
65;-0.084259;-0.082245;-0.986038
66;-0.027100;-0.038956;-0.989929
67;0.008102;-0.005325;-0.986160
68;0.006424;-0.006470;-0.986923
69;0.006500;-0.006714;-0.987640
70;0.007431;-0.006241;-0.988937
71;0.007202;-0.006226;-0.987915
72;0.007599;-0.006500;-0.985931
73;0.006561;-0.006409;-0.986801
74;0.007233;-0.007721;-0.989151
75;0.007507;-0.006897;-0.989395
76;0.006516;-0.006760;-0.986069
77;0.007050;-0.006866;-0.987289
78;0.006790;-0.005249;-0.982162
79;0.006439;-0.005646;-0.985626
