index;x;y;z
0;0.005753;-0.004929;-0.983383
1;0.005280;-0.004776;-0.987335
2;0.007568;-0.005310;-0.986374
3;0.006104;-0.005890;-0.986984
4;0.005829;-0.005966;-0.987244
5;0.006622;-0.005157;-0.987503
6;0.007050;-0.005219;-0.987289
7;0.006500;-0.005844;-0.987427
8;0.006760;-0.004532;-0.985413
9;0.005478;-0.005234;-0.986084
10;0.006668;-0.006516;-0.987793
11;0.007797;-0.005447;-0.986786
12;-0.009125;-0.000183;-0.987076
13;-0.244278;0.274841;-0.984390
14;-0.232925;0.771576;-0.984818
15;-0.427048;0.535110;-0.989151
16;-0.238403;0.557587;-0.977234
17;0.105209;-0.321747;-0.984497
18;0.281296;-0.435974;-0.986633
19;0.326172;-0.433121;-0.986343
20;0.271820;-0.474564;-0.986145
21;0.113724;-0.311859;-0.987442
22;0.007721;-0.147705;-0.985107
23;-0.089005;-0.203705;-0.985062
24;-0.430725;-0.374954;-0.986084
25;-0.582977;-0.647247;-0.979782
26;-0.606522;-0.547943;-0.983627
27;-0.195877;-0.134003;-0.991638
28;-0.024826;0.137070;-0.988724
29;0.478134;0.484360;-0.992065
30;0.621094;0.548203;-0.991394
31;0.365173;0.474030;-0.985229
32;0.418793;0.242172;-0.989731
33;0.016922;-0.001862;-0.989182
34;0.112366;0.171402;-0.986862
35;0.213806;0.271606;-0.989700
36;0.372696;0.384796;-0.988983
37;0.670380;0.512772;-0.989456
38;0.732849;0.242844;-0.992569
39;0.170258;-0.068817;-0.982849
40;-0.392410;-0.348068;-0.983734
41;-0.589340;-0.330276;-0.980881
42;-0.670212;-0.425659;-0.986542
43;-0.489258;-0.245575;-0.986816
44;-0.075943;-0.017487;-0.987823
45;0.008270;-0.004974;-0.988113
46;0.005356;-0.005402;-0.987656
47;-0.039276;0.047638;-0.985916
48;0.143799;1.024246;-0.990311
49;0.190109;0.929977;-0.991943
50;-0.016922;0.607285;-0.990433
51;0.016403;-0.121613;-0.994843
52;0.017136;-0.698227;-0.989700
53;-0.072296;-0.676453;-0.985962
54;-0.084244;-0.605423;-0.987823
55;-0.117310;-0.426163;-0.987976
56;-0.011078;-0.366379;-0.986069
57;0.003662;-0.008286;-0.991119
58;0.026840;-0.019424;-0.982101
59;-0.019882;0.014725;-0.986969
60;0.005417;-0.005630;-0.984406
61;0.006897;-0.007141;-0.989182
62;0.006104;-0.006958;-0.988235
63;0.005402;-0.007202;-0.990234
64;0.007065;-0.005829;-0.985641
65;0.005493;-0.006729;-0.985550
66;0.006470;-0.006470;-0.988998
67;0.005920;-0.006470;-0.988007
68;0.005676;-0.006500;-0.985565
69;0.006027;-0.007126;-0.986038
70;0.006226;-0.006775;-0.989380
71;0.006104;-0.006912;-0.987061
72;0.005951;-0.006500;-0.987900
73;-0.005600;-0.005005;-0.967484
74;0.013870;-0.004654;-0.994705
