index;x;y;z
0;0.005188;-0.006256;-0.986176
1;0.006470;-0.006470;-0.991226
2;0.007812;-0.003555;-0.983505
3;0.005600;-0.005219;-0.986160
4;0.006332;-0.005646;-0.987442
5;0.007233;-0.004288;-0.986725
6;0.006134;-0.005356;-0.986984
7;0.007431;-0.005142;-0.987625
8;0.007416;-0.004517;-0.985825
9;0.006332;-0.005905;-0.986053
10;0.006241;-0.005569;-0.988693
11;0.007309;-0.003983;-0.986145
12;0.006058;-0.005600;-0.986954
13;0.007538;-0.005493;-0.987640
14;-0.358017;-0.046158;-0.982864
15;-0.171616;0.150314;-0.990402
16;-0.382202;0.004822;-0.985321
17;-0.899963;-0.044434;-0.986053
18;-1.258835;-0.086548;-0.983826
19;-0.582642;0.034729;-0.987045
20;-0.056534;0.240723;-0.988525
21;0.905014;0.172791;-0.993988
22;1.219376;0.055283;-0.981628
23;0.702240;0.074463;-0.989487
24;0.452774;0.081100;-0.990112
25;0.292267;-0.063248;-0.985962
26;0.003967;-0.004669;-0.987915
27;0.004333;-0.004013;-0.986374
28;0.004974;-0.004608;-0.987885
29;0.004883;-0.005325;-0.986145
30;0.005707;-0.004623;-0.987167
31;0.143158;0.138351;-0.984253
32;0.304596;0.258270;-0.988876
33;0.794952;0.658340;-0.992783
34;1.131714;1.046204;-0.999329
35;0.673874;0.862122;-0.981659
36;0.075424;0.409729;-0.984970
37;-0.403076;-0.313309;-0.977371
38;-0.690750;-0.744507;-0.986023
39;-0.814041;-0.639923;-0.987320
40;-0.612030;-0.643967;-0.988327
41;-0.317093;-0.321564;-0.986847
42;-0.275406;-0.255814;-0.987732
43;-0.202789;-0.167999;-0.985184
44;-0.005478;-0.021301;-0.987000
45;0.007156;-0.006271;-0.986404
46;0.088043;0.032196;-0.988892
47;-0.056732;-0.011429;-0.987000
48;-0.107590;0.076157;-0.983826
49;-0.462112;0.092056;-0.989929
50;-1.082626;0.060303;-0.987534
51;-1.202820;-0.023071;-0.984421
52;-0.633377;0.128967;-0.983109
53;0.310318;0.157288;-0.991119
54;0.920593;0.045151;-1.001633
55;1.043304;0.020721;-0.991562
56;0.824432;0.011810;-0.988632
57;0.583527;-0.090668;-0.988770
58;0.028610;0.025391;-0.992249
59;0.051910;0.068497;-0.971634
60;0.036179;-0.114243;-0.990784
61;0.006195;-0.005356;-0.987152
62;0.005554;-0.005447;-0.985229
63;0.005814;-0.006363;-0.988647
64;0.004852;-0.006210;-0.987045
65;0.005875;-0.006287;-0.987000
66;0.006470;-0.006058;-0.988861
67;0.004990;-0.006485;-0.986816
68;0.005280;-0.004730;-0.985703
69;0.004761;-0.006058;-0.988663
70;0.006119;-0.006271;-0.987518
71;0.006638;-0.006134;-0.987442
72;0.005112;-0.007019;-0.988571
73;0.005768;-0.006393;-0.987854
74;0.003479;-0.004715;-0.977890
75;0.006531;-0.007751;-0.996170
