time,x,y,z
0.013,-0.00,-0.00,1.00
0.014,-0.00,-0.00,1.00
0.014,-0.01,-0.00,1.00
0.014,-0.00,-0.00,1.00
0.014,-0.01,-0.00,1.00
0.017,-0.00,-0.00,1.00
0.018,-0.00,-0.00,1.00
0.018,-0.00,-0.00,1.00
0.018,-0.00,-0.00,1.01
0.019,-0.00,-0.00,1.01
0.020,-0.00,-0.00,1.01
0.023,-0.00,-0.00,1.01
0.025,-0.00,-0.00,1.01
0.032,-0.00,0.00,1.00
0.033,-0.00,0.00,1.00
0.033,-0.00,0.00,1.00
0.033,-0.00,0.00,1.00
0.034,-0.00,0.00,1.00
0.036,-0.00,0.00,1.00
0.038,-0.00,0.00,1.00
0.041,-0.00,0.00,1.00
0.042,-0.00,0.00,1.00
0.057,-0.00,0.00,1.00
0.057,-0.00,0.00,1.00
0.057,-0.00,0.01,1.00
0.058,-0.00,0.01,1.00
0.058,-0.00,0.01,1.00
0.058,-0.00,0.01,1.00
0.058,-0.00,0.01,1.01
0.058,-0.00,0.01,1.01
0.062,-0.00,0.01,1.01
0.088,-0.00,0.01,1.01
0.089,-0.00,0.01,1.00
0.089,-0.00,0.01,1.00
0.091,-0.00,0.01,1.01
0.092,-0.00,0.01,1.01
0.092,-0.00,0.01,1.01
0.093,-0.00,0.01,1.01
0.094,0.00,0.01,1.00
0.095,0.00,0.01,1.00
0.096,0.00,0.01,1.00
0.097,0.00,0.01,1.00
0.097,0.00,0.01,1.00
0.098,0.00,0.01,1.00
0.098,0.00,0.01,1.00
0.098,0.00,0.01,1.00
0.098,0.00,0.01,1.00
0.098,0.00,0.01,1.00
0.099,0.00,0.01,1.00
0.099,0.00,0.01,1.00
0.103,0.00,0.01,1.01
0.103,0.00,0.01,1.01
0.104,0.00,0.01,1.01
0.106,0.00,0.01,1.01
0.109,0.00,0.01,1.00
0.114,0.00,0.01,1.00
0.115,0.00,0.01,1.01
0.115,0.00,0.01,1.01
0.117,0.00,0.00,1.02
0.118,0.00,0.00,1.03
0.121,0.00,0.00,1.02
0.123,0.00,0.00,1.01
0.125,0.01,-0.00,1.01
0.131,0.03,-0.00,1.01
0.131,0.04,-0.01,1.00
0.132,0.06,-0.02,1.00
0.133,0.09,-0.03,1.00
0.139,0.11,-0.04,0.99
0.139,0.13,-0.06,0.99
0.139,0.14,-0.07,0.99
0.141,0.15,-0.08,0.99
0.142,0.15,-0.09,0.99
0.147,0.15,-0.10,0.99
0.148,0.15,-0.10,0.99
0.150,0.13,-0.10,1.00
0.151,0.11,-0.11,1.00
0.153,0.09,-0.10,1.00
0.155,0.07,-0.10,1.01
0.157,0.04,-0.10,1.01
0.158,0.01,-0.10,1.01
