time,x,y,z
0.015,-0.01,0.00,1.01
0.015,-0.01,0.00,1.01
0.015,-0.01,0.00,1.01
0.016,-0.01,0.00,1.01
0.016,-0.01,0.00,1.00
0.016,-0.01,0.00,0.98
0.017,-0.01,0.00,0.97
0.017,-0.01,0.00,0.99
0.017,-0.01,0.00,1.00
0.029,-0.01,0.00,1.01
0.031,-0.01,0.00,1.02
0.031,-0.01,-0.00,1.01
0.032,-0.01,-0.00,1.01
0.032,-0.01,0.00,1.00
0.032,-0.01,0.00,1.00
0.032,-0.01,-0.00,1.01
0.033,-0.01,0.00,1.01
0.043,-0.01,0.00,1.01
0.044,-0.01,0.00,1.01
0.044,-0.01,-0.00,1.01
0.044,-0.01,-0.00,1.01
0.045,-0.01,-0.00,1.01
0.047,-0.01,-0.00,1.01
0.048,-0.01,-0.00,1.01
0.048,-0.01,-0.00,1.01
0.050,-0.00,-0.00,1.01
0.053,-0.00,-0.00,1.01
0.055,-0.00,-0.00,1.01
0.056,-0.00,-0.00,1.01
0.061,-0.00,-0.00,1.01
0.061,-0.00,-0.00,1.01
0.068,-0.00,-0.00,1.01
0.069,-0.00,-0.00,1.01
0.069,-0.00,-0.00,1.01
0.072,-0.00,-0.00,1.01
0.072,-0.00,-0.00,1.01
0.072,-0.00,-0.00,1.01
0.074,-0.00,-0.00,1.01
0.077,-0.00,-0.00,1.01
0.089,-0.00,-0.00,1.01
0.090,-0.00,-0.00,1.01
0.090,-0.00,-0.00,1.01
0.090,-0.00,-0.00,1.01
0.090,-0.00,-0.00,1.01
0.091,-0.00,0.00,1.01
0.091,-0.00,-0.00,1.01
0.092,-0.00,-0.00,1.01
0.109,-0.00,-0.00,1.01
0.110,-0.00,-0.00,1.01
0.110,-0.00,-0.00,1.01
0.110,-0.00,-0.00,1.01
0.110,-0.00,-0.00,1.01
0.110,-0.00,-0.00,1.01
0.111,-0.00,-0.00,1.01
0.111,-0.01,-0.00,1.00
0.111,-0.00,-0.00,1.00
0.126,-0.00,-0.00,1.00
0.126,-0.00,-0.00,1.00
0.126,0.00,-0.00,0.99
0.127,0.00,-0.00,0.98
0.127,-0.00,-0.00,0.96
0.127,-0.01,-0.00,0.94
0.127,-0.01,-0.00,0.95
0.128,-0.00,-0.00,0.99
0.134,-0.00,-0.00,1.03
0.134,-0.00,-0.00,1.05
0.135,-0.00,-0.01,1.05
0.135,-0.00,-0.01,1.04
0.136,-0.00,-0.00,1.03
0.138,-0.01,-0.00,1.02
0.140,-0.01,-0.00,1.01
0.142,-0.01,-0.00,1.00
0.146,-0.01,-0.00,1.00
0.147,-0.01,-0.00,0.99
0.158,-0.01,-0.00,0.99
0.159,-0.01,-0.00,1.00
0.159,-0.01,-0.00,1.00
0.159,-0.01,-0.00,1.01
0.159,-0.01,-0.00,1.01
0.160,-0.01,-0.00,1.01
0.160,-0.01,-0.00,1.01
0.165,-0.01,-0.00,1.01
0.165,-0.01,-0.00,1.01
0.166,-0.00,-0.01,1.01
0.169,0.01,-0.01,1.01
0.171,0.01,-0.01,1.00
0.172,0.01,-0.01,1.00
0.176,0.00,-0.01,1.00
0.176,-0.00,-0.01,1.00
0.182,-0.00,-0.01,1.00
0.183,-0.00,-0.01,1.01
0.183,-0.00,-0.01,1.01
0.187,-0.00,-0.01,1.01
0.187,-0.00,-0.01,1.01
0.188,-0.00,-0.00,1.01
0.190,-0.00,-0.00,1.01
0.192,-0.01,-0.00,1.01
0.194,-0.01,-0.00,1.01
0.209,-0.01,-0.00,1.01
0.210,-0.01,-0.00,1.01
0.221,-0.01,0.00,1.00
0.223,-0.02,0.00,1.01
0.223,-0.02,0.00,1.01
0.224,-0.02,-0.00,1.01
0.224,-0.03,-0.00,1.01
0.225,-0.05,-0.01,1.01
0.225,-0.08,-0.01,1.01
0.225,-0.12,-0.02,1.01
0.226,-0.17,-0.02,1.01
0.226,-0.21,-0.03,1.01
0.227,-0.24,-0.03,1.01
0.227,-0.27,-0.03,1.01
0.227,-0.29,-0.03,1.01
0.227,-0.30,-0.03,1.01
0.229,-0.30,-0.03,1.01
0.240,-0.30,-0.03,1.01
0.240,-0.30,-0.03,1.01
0.241,-0.31,-0.03,1.01
0.241,-0.32,-0.03,1.01
0.241,-0.33,-0.03,1.00
0.241,-0.33,-0.03,1.00
0.242,-0.31,-0.03,1.01
0.244,-0.29,-0.02,1.01
0.255,-0.27,-0.02,1.01
0.256,-0.25,-0.02,1.01
0.256,-0.23,-0.02,1.01
0.256,-0.23,-0.02,1.01
0.257,-0.22,-0.02,1.01
0.257,-0.22,-0.02,1.01
0.258,-0.23,-0.02,1.01
0.260,-0.22,-0.02,1.01
0.266,-0.22,-0.02,1.00
0.267,-0.21,-0.02,1.00
0.267,-0.22,-0.03,1.01
0.268,-0.22,-0.03,1.01
0.270,-0.22,-0.03,1.01
0.273,-0.22,-0.04,1.01
0.274,-0.23,-0.04,1.01
0.276,-0.23,-0.05,1.00
0.278,-0.23,-0.05,1.01
0.281,-0.22,-0.05,1.00
0.282,-0.22,-0.06,1.00
0.285,-0.22,-0.06,1.00
0.286,-0.21,-0.06,1.00
0.289,-0.20,-0.06,1.00
0.290,-0.19,-0.06,1.01
0.292,-0.19,-0.07,1.01
0.294,-0.19,-0.07,1.01
0.307,-0.18,-0.07,1.00
0.307,-0.18,-0.07,1.01
0.307,-0.18,-0.07,1.01
0.308,-0.17,-0.07,1.00
0.308,-0.16,-0.07,1.00
0.308,-0.16,-0.07,1.00
0.309,-0.16,-0.07,1.00
0.310,-0.15,-0.07,1.00
0.315,-0.15,-0.07,1.00
0.315,-0.15,-0.07,1.00
0.317,-0.15,-0.07,1.00
0.318,-0.15,-0.07,1.00
0.321,-0.16,-0.07,1.00
0.322,-0.16,-0.08,1.00
0.324,-0.17,-0.08,1.00
0.326,-0.16,-0.08,1.00
0.329,-0.15,-0.09,1.00
0.341,-0.14,-0.09,1.00
0.343,-0.13,-0.09,1.01
0.343,-0.13,-0.09,1.00
0.343,-0.12,-0.09,1.00
0.343,-0.11,-0.09,1.01
0.343,-0.10,-0.09,1.01
0.344,-0.10,-0.09,1.00
0.344,-0.11,-0.09,1.00
0.350,-0.12,-0.10,1.00
0.351,-0.13,-0.10,1.00
0.351,-0.12,-0.10,1.01
0.353,-0.12,-0.11,1.01
0.354,-0.13,-0.11,1.00
0.357,-0.14,-0.11,1.00
0.358,-0.14,-0.11,1.00
0.360,-0.14,-0.12,1.00
0.375,-0.14,-0.12,1.00
0.375,-0.15,-0.12,1.01
0.375,-0.16,-0.12,1.01
0.376,-0.15,-0.12,1.01
0.376,-0.14,-0.12,1.01
0.376,-0.13,-0.12,1.01
0.377,-0.12,-0.12,1.00
0.377,-0.12,-0.12,1.00
0.378,-0.12,-0.12,1.00
0.382,-0.12,-0.12,1.00
0.383,-0.13,-0.13,1.01
0.384,-0.14,-0.13,1.01
0.386,-0.14,-0.13,1.01
0.388,-0.14,-0.13,1.01
0.391,-0.14,-0.13,1.01
0.392,-0.14,-0.13,1.01
0.394,-0.14,-0.13,1.01
0.399,-0.13,-0.13,1.00
0.400,-0.11,-0.13,1.00
0.414,-0.09,-0.12,1.00
0.414,-0.08,-0.12,1.00
0.414,-0.08,-0.12,1.01
0.414,-0.09,-0.12,1.01
0.415,-0.09,-0.12,1.00
0.415,-0.09,-0.12,1.00
0.415,-0.08,-0.12,1.01
0.416,-0.08,-0.12,1.01
0.419,-0.07,-0.12,1.01
0.419,-0.06,-0.12,1.01
0.420,-0.06,-0.12,1.00
0.423,-0.05,-0.12,1.00
0.424,-0.03,-0.12,1.00
0.427,-0.03,-0.12,1.00
0.428,-0.02,-0.12,1.01
0.431,-0.02,-0.12,1.01
0.433,-0.02,-0.13,1.01
0.434,-0.02,-0.13,1.01
0.436,-0.01,-0.13,1.01
