time,x,y,z
0.016,-0.00,-0.00,1.00
0.017,-0.00,0.00,1.00
0.017,-0.00,0.00,1.00
0.017,-0.00,0.00,1.00
0.018,-0.00,0.00,1.00
0.018,-0.00,0.00,1.00
0.018,-0.00,0.00,1.00
0.018,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.025,-0.01,0.00,1.00
0.026,-0.01,0.00,1.00
0.027,-0.01,0.00,1.00
0.027,-0.00,0.00,1.00
0.042,-0.00,0.00,1.00
0.043,-0.00,0.00,1.01
0.043,-0.00,0.00,1.01
0.044,-0.00,0.00,1.01
0.044,-0.00,0.00,1.01
0.047,-0.00,0.00,1.01
0.047,-0.00,0.00,1.00
0.048,-0.00,0.00,1.00
0.048,-0.00,0.00,1.00
0.048,-0.00,0.00,1.00
0.049,-0.00,0.00,1.00
0.053,-0.00,0.00,1.00
0.053,-0.00,0.00,1.00
0.058,-0.00,0.00,1.00
0.059,-0.00,-0.00,1.00
0.060,-0.00,-0.00,1.00
0.075,-0.00,-0.00,1.00
0.075,-0.00,-0.00,1.00
0.076,-0.00,-0.00,1.00
0.076,-0.00,-0.00,1.00
0.076,-0.00,-0.00,1.00
0.077,-0.00,-0.00,1.00
0.077,-0.00,-0.00,1.00
0.078,-0.00,-0.00,1.00
0.079,-0.00,-0.00,1.00
0.079,-0.00,-0.00,1.00
0.091,-0.00,-0.00,1.00
0.092,-0.00,-0.00,1.00
0.092,-0.00,-0.00,1.00
0.092,-0.00,-0.00,1.00
0.092,-0.00,-0.00,1.00
0.093,-0.00,-0.00,1.00
0.098,-0.00,-0.00,1.00
0.098,-0.01,-0.00,1.00
0.099,-0.01,-0.00,1.00
0.099,-0.01,-0.00,1.00
0.101,-0.01,-0.00,1.00
0.105,-0.01,-0.00,1.00
0.106,-0.01,-0.00,1.00
0.106,-0.01,-0.00,1.00
0.108,-0.01,-0.00,1.00
0.123,-0.01,-0.00,1.00
0.123,-0.01,-0.00,1.00
0.124,-0.01,-0.00,1.00
0.124,-0.01,-0.00,1.00
0.124,-0.01,-0.00,1.00
0.124,-0.01,-0.01,1.00
0.124,-0.01,-0.01,1.00
0.125,-0.01,-0.01,1.00
0.127,-0.01,-0.01,1.01
0.132,-0.01,-0.00,1.01
0.133,-0.01,-0.00,1.01
0.133,-0.01,-0.00,1.01
0.134,-0.01,-0.00,1.01
0.137,-0.01,-0.00,1.01
0.138,-0.01,-0.00,1.00
0.140,-0.01,-0.01,1.00
0.142,-0.01,-0.01,1.00
0.146,-0.01,-0.01,1.00
0.147,-0.01,-0.01,1.00
0.151,-0.01,-0.01,1.00
0.151,-0.01,-0.01,1.00
0.152,-0.01,-0.01,1.00
0.155,-0.01,-0.01,1.00
0.158,-0.01,-0.01,1.00
0.159,-0.01,-0.01,1.00
0.163,-0.01,-0.01,1.00
0.164,-0.01,-0.01,1.00
0.165,-0.01,-0.01,1.00
0.166,-0.01,-0.01,1.01
0.168,-0.01,-0.01,1.01
0.170,-0.01,-0.01,1.01
0.172,-0.01,-0.01,1.01
0.174,-0.01,-0.02,1.00
0.176,-0.03,-0.03,1.00
0.180,-0.09,-0.11,1.00
0.180,-0.14,-0.22,1.00
0.182,-0.14,-0.28,1.00
0.184,-0.11,-0.30,1.00
0.187,-0.09,-0.30,1.00
0.188,-0.08,-0.30,1.01
0.190,-0.07,-0.29,1.01
0.192,-0.04,-0.27,1.00
0.203,-0.02,-0.24,1.00
0.203,-0.00,-0.22,1.00
0.204,0.01,-0.19,1.00
0.204,0.01,-0.18,1.00
0.204,0.01,-0.17,1.00
0.205,0.01,-0.16,1.00
0.215,0.01,-0.16,1.01
0.216,0.01,-0.15,1.01
0.216,0.01,-0.16,1.01
0.217,0.01,-0.16,1.00
0.217,0.01,-0.16,1.00
0.217,0.01,-0.15,1.00
0.234,0.01,-0.15,1.00
0.235,0.01,-0.15,1.00
0.235,0.01,-0.16,1.00
0.235,0.02,-0.16,1.00
0.236,0.02,-0.16,1.00
0.236,0.02,-0.16,1.00
0.236,0.03,-0.17,1.00
0.236,0.03,-0.17,1.00
0.236,0.03,-0.18,1.00
0.237,0.03,-0.19,1.00
0.240,0.03,-0.19,1.00
0.241,0.03,-0.19,1.00
0.242,0.03,-0.19,1.00
0.251,0.03,-0.19,1.00
0.251,0.03,-0.19,1.00
0.251,0.03,-0.19,1.00
0.252,0.03,-0.19,1.00
0.252,0.02,-0.19,1.00
0.254,0.02,-0.19,1.00
0.256,0.02,-0.19,1.00
0.258,0.02,-0.19,1.00
0.261,0.02,-0.19,1.00
0.264,0.02,-0.20,1.00
0.265,0.02,-0.22,1.00
0.266,0.02,-0.23,1.00
0.268,0.02,-0.25,1.00
0.270,0.02,-0.26,1.00
0.272,0.02,-0.26,1.00
0.274,0.02,-0.26,1.00
0.276,0.03,-0.26,1.00
0.281,0.04,-0.25,1.00
0.281,0.04,-0.23,1.01
0.282,0.04,-0.21,1.01
0.284,0.04,-0.20,1.00
0.286,0.04,-0.19,1.00
0.288,0.04,-0.19,1.00
0.290,0.04,-0.19,1.00
0.292,0.04,-0.20,1.00
0.298,0.04,-0.21,1.00
0.299,0.05,-0.21,1.00
0.299,0.05,-0.22,1.00
0.300,0.06,-0.21,1.00
0.302,0.06,-0.21,1.00
0.305,0.06,-0.21,1.00
0.306,0.06,-0.21,1.00
0.311,0.06,-0.20,1.00
0.311,0.06,-0.20,1.00
0.315,0.06,-0.19,1.00
0.316,0.06,-0.19,1.00
0.316,0.06,-0.18,1.00
0.318,0.06,-0.18,1.00
0.320,0.06,-0.17,1.00
0.322,0.06,-0.16,1.00
0.324,0.07,-0.16,1.00
0.326,0.07,-0.16,1.01
0.329,0.07,-0.16,1.00
0.330,0.07,-0.16,1.00
0.332,0.08,-0.15,1.00
0.337,0.08,-0.15,1.00
0.337,0.08,-0.14,1.00
0.340,0.07,-0.13,1.00
0.340,0.07,-0.13,1.00
0.343,0.07,-0.12,1.00
0.346,0.08,-0.11,1.01
0.347,0.09,-0.11,1.00
0.348,0.10,-0.10,1.00
0.350,0.10,-0.10,1.00
0.352,0.10,-0.09,1.00
0.354,0.11,-0.09,1.00
0.356,0.11,-0.09,1.00
0.358,0.12,-0.10,1.00
0.360,0.12,-0.10,1.00
0.366,0.13,-0.10,1.00
0.367,0.13,-0.10,1.00
0.367,0.14,-0.11,0.99
0.369,0.14,-0.12,1.00
0.371,0.15,-0.12,1.00
0.372,0.15,-0.12,1.00
0.374,0.15,-0.12,1.00
0.376,0.15,-0.12,1.00
0.390,0.16,-0.12,1.00
0.391,0.16,-0.12,1.00
0.391,0.15,-0.11,1.01
0.391,0.15,-0.11,1.00
0.392,0.14,-0.11,1.01
0.392,0.14,-0.10,1.00
0.392,0.15,-0.09,1.00
0.392,0.14,-0.08,1.00
0.405,0.15,-0.07,1.00
0.405,0.15,-0.05,1.00
0.405,0.15,-0.03,1.00
0.405,0.14,-0.01,1.00
0.406,0.15,0.01,1.01
0.406,0.15,0.02,1.01
0.406,0.15,0.03,1.00
0.410,0.15,0.05,1.00
0.411,0.15,0.06,1.00
0.421,0.15,0.07,1.01
0.421,0.14,0.08,1.01
0.422,0.13,0.09,1.00
0.422,0.12,0.10,1.01
0.422,0.12,0.12,1.01
0.422,0.14,0.12,1.00
0.426,0.15,0.12,1.00
0.426,0.16,0.11,1.00
0.431,0.16,0.11,1.00
0.432,0.17,0.11,1.00
0.433,0.18,0.11,1.00
0.434,0.18,0.11,1.01
0.436,0.19,0.11,1.00
0.438,0.19,0.11,1.01
0.440,0.18,0.11,1.01
0.442,0.18,0.11,1.01
0.444,0.17,0.12,1.01
0.448,0.16,0.13,1.01
0.450,0.16,0.13,1.01
0.451,0.15,0.13,1.01
0.452,0.15,0.14,1.01
0.455,0.13,0.15,1.01
0.456,0.13,0.16,1.01
0.458,0.14,0.15,1.00
0.460,0.15,0.15,1.01
0.466,0.16,0.15,1.01
0.467,0.16,0.14,1.01
0.467,0.17,0.14,1.01
0.469,0.18,0.14,1.01
0.471,0.18,0.14,1.01
0.472,0.18,0.15,1.01
0.474,0.18,0.15,1.01
0.476,0.18,0.16,1.00
0.482,0.19,0.16,1.01
0.483,0.19,0.16,1.01
0.484,0.20,0.16,1.01
0.485,0.20,0.17,1.01
0.486,0.20,0.17,1.01
0.489,0.20,0.17,1.00
0.492,0.20,0.18,1.00
0.492,0.20,0.18,1.01
0.495,0.20,0.18,1.00
0.504,0.20,0.19,1.00
0.504,0.19,0.19,1.01
0.504,0.18,0.19,1.00
0.506,0.18,0.19,1.00
0.507,0.19,0.19,1.00
0.507,0.20,0.19,1.00
0.510,0.21,0.19,1.01
0.510,0.21,0.18,1.01
0.527,0.21,0.18,1.00
0.531,0.22,0.17,1.01
0.531,0.23,0.16,1.01
0.531,0.21,0.16,1.00
0.532,0.19,0.16,1.01
0.532,0.18,0.17,1.00
0.532,0.17,0.17,1.00
0.532,0.17,0.17,1.00
0.533,0.17,0.16,1.00
0.533,0.15,0.17,1.00
0.533,0.15,0.17,1.01
0.536,0.16,0.17,1.00
0.537,0.17,0.17,1.01
0.538,0.16,0.18,1.01
0.540,0.14,0.18,1.00
0.543,0.11,0.19,1.01
0.545,0.10,0.20,1.01
0.548,0.10,0.21,1.00
0.550,0.11,0.21,1.00
0.550,0.13,0.21,1.01
0.552,0.14,0.21,1.01
0.554,0.13,0.21,1.01
