time,x,y,z
0.016,-0.01,-0.00,1.01
0.016,-0.01,-0.00,1.01
0.016,-0.01,-0.00,1.01
0.017,-0.01,-0.00,1.01
0.018,-0.01,-0.00,1.01
0.018,-0.01,-0.00,1.01
0.018,-0.01,-0.00,1.01
0.018,-0.01,-0.00,1.01
0.019,-0.01,-0.00,1.01
0.019,-0.01,-0.00,1.01
0.019,-0.01,-0.00,1.00
0.025,-0.01,-0.00,1.00
0.025,-0.01,-0.00,1.00
0.026,-0.01,-0.00,1.00
0.027,-0.01,-0.00,1.00
0.028,-0.01,-0.00,1.01
0.033,-0.01,-0.00,1.01
0.033,-0.01,-0.00,1.01
0.034,-0.01,-0.00,1.01
0.036,-0.01,-0.00,1.01
0.039,-0.01,-0.00,1.01
0.040,-0.01,-0.00,1.01
0.043,-0.01,0.00,1.01
0.044,-0.01,0.00,1.01
0.049,-0.01,0.00,1.01
0.050,-0.01,0.00,1.01
0.050,-0.01,0.00,1.01
0.052,-0.01,-0.00,1.01
0.055,-0.00,-0.00,1.01
0.056,-0.00,-0.00,1.01
0.059,-0.00,-0.00,1.00
0.061,-0.00,-0.00,1.00
0.065,-0.00,-0.00,1.00
0.065,-0.00,-0.00,1.00
0.068,-0.00,-0.00,1.00
0.068,-0.00,-0.00,1.00
0.070,-0.00,-0.00,1.00
0.072,-0.00,-0.00,1.00
0.074,-0.00,-0.00,1.00
0.076,-0.00,-0.00,1.00
0.078,-0.00,-0.00,1.00
0.083,-0.00,-0.00,1.01
0.083,-0.00,-0.00,1.00
0.084,-0.00,-0.00,1.01
0.086,-0.00,-0.00,1.01
0.089,-0.00,-0.00,1.01
0.092,-0.00,-0.00,1.01
0.092,-0.00,-0.00,1.01
0.095,-0.00,-0.00,1.00
0.099,0.00,-0.00,1.00
0.099,0.00,-0.00,1.00
0.100,0.00,-0.00,1.01
0.102,-0.00,-0.00,1.01
0.104,-0.00,-0.00,1.00
0.106,-0.00,-0.00,1.00
0.108,-0.00,-0.00,1.00
0.110,-0.00,-0.00,1.00
