time,x,y,z
0.011,-0.00,0.00,1.00
0.011,0.00,0.00,1.00
0.012,0.00,0.00,0.99
0.012,0.00,0.00,0.99
0.012,0.00,0.00,0.99
0.014,0.00,0.00,0.99
0.014,0.00,0.00,0.99
0.015,0.00,0.00,1.00
0.015,-0.00,0.00,1.00
0.026,-0.00,0.00,1.00
0.026,-0.00,0.00,1.00
0.027,0.00,0.00,1.00
0.027,0.00,0.01,1.00
0.027,-0.00,0.01,0.99
0.027,-0.00,0.01,0.99
0.028,0.00,0.00,0.99
0.047,0.00,0.01,0.98
0.047,0.00,0.01,0.98
0.048,0.00,0.01,0.97
0.048,0.00,0.01,0.97
0.048,0.01,0.01,0.97
0.049,0.01,0.01,0.97
0.049,0.01,0.01,0.97
0.049,0.01,0.01,0.96
0.049,0.01,0.01,0.96
0.050,0.00,0.01,0.97
0.053,0.00,0.01,0.99
0.056,-0.00,0.00,1.03
0.056,-0.01,0.00,1.06
0.056,-0.02,-0.00,1.07
0.059,-0.02,-0.00,1.07
0.061,-0.03,-0.00,1.04
0.065,-0.03,-0.00,1.03
0.065,-0.02,-0.00,1.02
0.066,-0.02,-0.00,1.03
0.069,-0.02,-0.00,1.04
0.071,-0.01,-0.00,1.03
0.073,-0.01,-0.00,1.02
0.075,-0.01,0.00,1.00
0.077,-0.01,0.00,0.99
0.078,-0.01,0.00,0.99
0.081,-0.01,0.00,0.99
0.083,-0.01,0.00,0.99
0.085,-0.01,0.00,1.00
0.086,-0.01,-0.00,1.01
0.089,-0.01,-0.00,1.01
0.090,-0.01,-0.00,1.01
0.092,-0.01,-0.00,1.01
0.094,-0.01,-0.00,1.01
0.099,-0.01,-0.00,1.01
0.099,-0.01,-0.00,1.01
0.101,-0.01,-0.00,1.01
0.102,-0.01,-0.00,1.00
0.105,-0.01,-0.00,1.00
0.107,-0.01,-0.00,1.00
0.108,-0.01,-0.00,1.00
0.110,-0.01,-0.00,1.00
0.113,-0.01,-0.00,1.00
0.115,-0.01,-0.00,1.00
0.117,-0.01,-0.00,1.00
0.118,-0.01,-0.00,1.00
0.120,-0.01,-0.00,1.00
0.122,-0.01,-0.00,1.01
0.129,-0.01,-0.00,1.01
0.130,-0.01,-0.00,1.01
0.130,-0.01,-0.00,1.01
0.130,-0.01,-0.00,1.00
0.134,-0.01,-0.00,1.00
0.134,-0.01,-0.00,1.00
0.137,-0.01,-0.00,1.00
0.138,-0.01,-0.00,1.00
0.141,-0.01,-0.00,1.00
0.143,-0.01,-0.00,1.00
0.144,-0.01,-0.00,1.00
0.150,-0.01,-0.00,1.00
0.151,-0.01,-0.00,1.00
0.151,-0.01,-0.00,1.00
0.153,-0.01,-0.00,1.00
0.158,-0.01,-0.00,1.00
0.158,-0.01,-0.00,1.00
0.159,-0.01,0.00,1.00
0.161,-0.01,0.00,1.00
0.163,-0.01,-0.00,1.00
0.166,-0.01,-0.00,1.00
0.167,-0.01,-0.00,1.00
0.169,-0.01,-0.00,1.00
0.171,-0.01,0.00,1.00
0.173,-0.01,0.00,1.00
0.175,-0.01,-0.00,1.00
0.176,-0.02,-0.00,1.01
0.178,-0.02,-0.00,1.02
0.182,-0.02,-0.00,1.04
0.184,-0.03,-0.00,1.07
0.184,-0.03,-0.00,1.09
0.186,-0.02,-0.00,1.07
0.189,-0.00,0.00,1.02
0.190,0.00,0.01,0.96
0.193,0.00,0.01,0.92
0.194,0.01,0.01,0.91
0.198,0.01,0.01,0.92
0.210,0.01,0.01,0.94
0.210,0.01,0.01,0.96
0.210,0.00,0.01,0.99
0.211,-0.00,0.00,1.01
0.211,-0.01,0.00,1.02
0.211,-0.02,0.00,1.02
0.211,-0.03,-0.00,1.02
0.212,-0.03,-0.01,1.02
0.215,-0.03,-0.01,1.02
0.218,-0.03,-0.02,1.02
0.219,-0.02,-0.03,1.01
0.221,-0.01,-0.03,1.01
0.223,0.01,-0.04,1.01
0.225,0.03,-0.04,1.00
0.226,0.04,-0.04,1.00
0.228,0.06,-0.04,1.00
0.232,0.07,-0.04,1.00
0.233,0.07,-0.04,1.00
0.236,0.08,-0.03,1.01
0.236,0.08,-0.03,1.01
0.239,0.08,-0.02,1.01
0.240,0.07,-0.01,1.01
0.242,0.07,-0.00,1.01
0.245,0.06,0.01,1.01
0.250,0.06,0.02,1.01
0.250,0.06,0.03,1.01
0.251,0.08,0.05,1.00
0.252,0.11,0.06,0.99
0.254,0.14,0.07,0.99
0.257,0.16,0.08,0.99
0.258,0.18,0.09,0.99
0.260,0.19,0.10,1.00
0.262,0.19,0.11,1.01
0.266,0.20,0.11,1.01
0.270,0.20,0.12,1.01
0.271,0.21,0.12,1.01
0.271,0.21,0.13,1.01
0.273,0.21,0.14,1.00
0.275,0.21,0.14,1.00
0.276,0.21,0.14,1.01
0.278,0.20,0.15,1.01
0.294,0.19,0.15,1.01
0.294,0.19,0.15,1.01
0.295,0.18,0.15,1.01
0.295,0.18,0.15,1.01
0.295,0.17,0.15,1.01
0.295,0.17,0.15,1.01
0.296,0.17,0.16,1.01
0.296,0.18,0.16,1.01
0.296,0.18,0.16,1.01
0.318,0.19,0.17,1.01
0.319,0.19,0.17,1.01
0.319,0.20,0.17,1.01
0.319,0.21,0.18,1.01
0.319,0.22,0.18,1.01
0.319,0.24,0.18,1.01
0.320,0.25,0.18,1.01
0.320,0.26,0.18,1.01
0.320,0.28,0.18,1.01
