time,x,y,z
0.015,-0.00,0.00,1.00
0.015,-0.00,0.00,1.00
0.016,-0.00,0.00,1.00
0.016,-0.00,0.00,1.00
0.017,-0.00,0.00,1.00
0.017,-0.00,0.00,1.00
0.017,-0.00,0.00,1.00
0.017,-0.00,0.00,1.00
0.018,-0.00,0.00,1.00
0.018,-0.00,0.00,1.00
0.024,-0.00,0.00,1.00
0.024,-0.00,0.00,1.00
0.024,-0.00,0.00,1.00
0.026,-0.00,0.00,1.00
0.029,-0.00,0.00,1.00
0.030,-0.00,0.00,1.00
0.031,-0.00,0.00,1.00
0.033,-0.00,0.00,1.00
0.036,-0.01,0.00,1.00
0.037,-0.00,0.00,1.00
0.039,-0.00,0.00,1.00
0.041,-0.00,0.00,1.00
0.046,-0.00,0.00,1.00
0.047,-0.00,0.00,1.00
0.048,-0.00,0.00,1.00
0.050,-0.00,0.00,1.00
0.052,-0.00,0.00,1.00
0.054,-0.01,0.00,1.00
0.056,-0.01,0.00,1.00
0.058,-0.01,0.00,1.00
0.065,-0.01,0.00,1.00
0.066,-0.01,0.00,1.00
0.066,-0.01,0.00,1.00
0.070,-0.01,0.00,1.00
0.072,-0.01,0.00,1.00
0.072,-0.01,0.00,1.00
0.072,-0.01,0.00,1.00
0.074,-0.01,0.00,1.00
0.076,-0.01,0.00,1.00
0.081,-0.01,0.00,1.00
0.082,-0.01,0.00,1.00
0.082,-0.01,0.00,1.00
0.085,-0.01,0.00,1.00
0.086,-0.01,0.00,1.00
0.088,-0.01,0.00,1.00
0.090,-0.01,0.00,1.00
0.092,-0.01,0.00,1.00
0.098,-0.01,0.00,1.00
0.098,-0.01,0.00,1.00
0.099,-0.01,0.00,1.00
0.100,-0.01,0.00,1.00
0.101,-0.01,0.00,1.00
0.103,-0.01,0.00,1.00
0.105,-0.01,0.00,1.01
0.107,0.00,-0.00,1.00
0.110,0.01,-0.00,1.00
0.113,0.03,-0.00,1.00
0.114,0.04,-0.01,1.00
0.116,0.05,-0.01,1.00
0.118,0.06,-0.01,1.00
0.120,0.07,-0.01,1.00
0.121,0.07,-0.01,1.00
